query_id,context_relevance,answer_faithfulness,answer_relevance
853057,1,1,1
1100119,1,1,1
1093487,1,1,1
191536,1,1,1
1022735,1,1,1
839878,1,0,0
53897,1,1,1
998735,1,1,1
1049774,1,1,1
771170,1,1,1
1090029,0,1,0
62554,1,1,1
91722,0,1,0
1036656,1,0,0
863623,0,1,0
1101568,1,1,1
148016,1,1,1
1084516,1,0,0
540456,1,1,1
761096,1,1,1
898318,1,1,1
843409,1,1,1
412532,1,1,1
1066043,1,1,1
1040088,1,1,1
58074,0,1,0
208198,1,1,1
559018,1,1,1
1024305,1,1,1
1101670,1,1,1
1070867,1,1,1
137889,1,1,1
1091833,1,1,1
146244,1,1,1
206117,1,1,1
635150,1,1,1
1037826,1,1,1
1049085,1,1,1
755465,1,0,1
1051943,1,1,1
1003114,1,1,1
1030451,0,1,0
1090841,1,1,1
474659,1,1,1
1100724,1,1,1
1040082,1,1,1
1090270,1,1,1
1089846,0,1,0
992652,1,1,1
1087544,1,1,1
1047010,1,1,1
116820,1,0,0
1099105,1,1,1
993234,1,1,1
528760,1,1,1
1058325,0,1,0
10312,0,1,0
1088685,0,1,0
604673,1,1,1
1038879,1,1,1
141185,1,1,1
425505,0,1,0
25603,1,1,1
917022,1,1,1
1038724,1,1,1
1083663,1,1,1
852179,1,1,1
1077006,0,1,0
525660,0,1,0
176744,0,1,0
571474,1,1,1
414276,1,0,0
727707,1,1,1
442377,1,1,1
439375,1,0,0
276979,0,1,0
1095725,0,1,0
1049329,1,1,1
1091450,1,1,1
1060305,1,1,1
44072,1,0,0
1037033,1,1,1
813193,1,1,1
1097995,1,1,1
677936,1,0,0
1099880,1,1,1
83506,1,1,1
786009,1,1,1
607292,1,1,1
420867,1,1,1
800792,1,1,1
1101347,1,0,0
1093717,1,1,1
474419,1,1,1
808528,0,1,0
639084,1,1,1
1035247,1,1,1
1042099,0,1,0
1057488,1,0,0
1089121,1,1,1
1095966,0,1,0
1092007,1,1,1
1087735,1,1,1
743668,1,1,1
1101674,1,0,0
1057656,1,1,1
643359,1,0,0
342156,1,0,0
563995,1,1,1
988710,1,1,1
985259,1,1,1
894161,1,1,1
544260,1,1,1
1086855,1,0,0
855031,1,1,1
1095437,0,1,0
76283,1,0,0
261521,1,1,1
1002940,1,1,1
1083161,1,1,1
399617,0,1,0
211621,1,1,1
535627,1,1,1
234651,1,0,0
433680,1,1,1
405867,1,1,1
1092643,1,1,1
1097027,1,1,1
997542,1,0,0
559771,1,1,1
1084383,1,1,1
1011713,1,1,1
1080495,1,1,1
1095704,1,1,1
197024,1,1,1
1056644,1,1,1
538570,1,1,1
1087047,0,1,0
1088693,1,1,1
740624,1,0,1
1051339,1,0,0
558448,0,1,0
818612,1,1,1
1030381,0,1,0
290830,0,1,0
299732,1,1,1
1087492,0,1,0
693152,1,1,1
1095816,1,0,0
1092238,1,1,1
85095,1,1,1
1003481,1,1,1
1079050,1,1,1
1088938,1,1,1
853995,1,1,1
858421,1,1,1
208145,1,1,1
724947,1,1,1
1092910,1,1,1
1054438,1,1,1
1015347,1,1,1
624143,1,1,1
853699,0,1,0
1084599,1,1,1
890890,1,1,1
1068408,0,1,0
1086271,0,1,0
1090115,1,1,1
251172,1,0,0
1016676,1,1,1
1083721,1,1,1
1098536,1,1,1
1090700,1,1,1
1002716,1,1,1
1008979,1,0,0
142382,1,1,1
1093491,1,1,1
328474,1,1,1
296993,1,1,1
786918,0,1,0
984178,1,1,1
446834,1,1,1
778095,1,1,1
594105,1,0,0
873886,1,1,1
11006,1,0,0
930326,1,1,1
1050231,1,1,1
716641,0,1,0
190212,1,1,1
99461,1,0,0
831474,1,0,0
957607,1,1,1
546956,1,1,1
1016565,1,0,0
1095982,1,0,0
83448,1,1,1
1031032,1,1,1
372137,1,1,1
831601,1,1,1
