user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
nitty gritty dirt band fishin in the dark album,"['Fishin\' in the Dark ""Fishin\' in the Dark"" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band. It was released in June 1987 as the second single from their album Hold On.[1] It reached number-one on the U.S. and Canadian country charts. It was the band\'s third number-one single on the U.S. country music charts and the second in Canada. After it became available for download, it has sold over a million digital copies by 2015.[2] It was certified Platinum by the RIAA on September 12, 2014.[3]', ""The Dark Side of the Moon One of the more notable covers of The Dark Side of the Moon is Return to the Dark Side of the Moon: A Tribute to Pink Floyd. Released in 2006, the album is a progressive rock tribute featuring artists such as Adrian Belew, Tommy Shaw, Dweezil Zappa, and Rick Wakeman.[137] In 2000, The Squirrels released The Not So Bright Side of the Moon, which features a cover of the entire album.[138][139] The New York dub collective Easy Star All-Stars released Dub Side of the Moon in 2003[140] and Dubber Side of the Moon in 2010.[141] The group Voices on the Dark Side released the album Dark Side of the Moon a Cappella, a complete a cappella version of the album.[142] The bluegrass band Poor Man's Whiskey frequently play the album in bluegrass style, calling the suite Dark Side of the Moonshine.[143] A string quartet version of the album was released in 2004.[144] In 2009, The Flaming Lips released a track-by-track remake of the album in collaboration with Stardeath and White Dwarfs, and featuring Henry Rollins and Peaches as guest musicians.[145]"", 'Dark Is the Way, Light Is a Place Drew Beringer of AbsolutePunk rated the album a 90 out of 100-percent, highlighting how the release contains ""engaging rock and roll album anyone can relate to"" that also ""will serve as the perfect companion.""[13] At Kerrang!, they rated the album three stars out of five, saying how Anberlin with respect to this release ""get it right, returning to form with a combination of heartfelt bombast, big choruses and bona fide hooks.""[21] Adam Thomas of Sputnikmusic rated the album four stars out of five, stating how the release is no masterpiece but still further solidifies the band ""at the top of the US radio-rock universe.""[27] At Mojo, they rated the album two stars out of five, cautioning how ""Listeners outside their target teen demographic will find all this painfully sincere emoting pretty joyless.""[24] Essi Berelian over at Classic Rock rated the album a six out of ten.[28]', 'Bernie Leadon In 1985, he recorded an album of bluegrass and gospel favorites under the name Ever Call Ready, featuring Chris Hillman and Al Perkins. He also had a short stint with the Nitty Gritty Dirt Band in the late 1980s.', 'Archive (band) On October 7, 2016 Archive released their tenth album The False Foundation.[7] The band released music videos for ""Driving In Nails"", ""Bright Lights"" and ""The False Foundation"".']","The album for ""Fishin' in the Dark"" by the Nitty Gritty Dirt Band is titled ""Hold On.""",,1.0,0.9059120067227566,0.0
when is the new tappan zee bridge going to be finished,"['Tappan Zee Bridge (2017–present) Tappan Zee Constructors began construction in 2013. The north span officially opened to westbound traffic on August 26, 2017; it also opened to eastbound traffic on October 6, 2017. Tappan Zee Constructors then began demolishing the old bridge. Eastbound traffic will be switched to the south span upon its completion. Both spans are expected to be operational by June 15, 2018.', ""Tappan Zee Bridge (2017–present) Originally, some motorists thought that bridge tolls could more than double (to $12-$15 for automobiles, eastbound only), rising to those of New York City's Hudson River crossings.[5] However, the state passed legislation freezing the toll on the bridge at $5 through 2020 in its 2016 legislative session.[16]"", ""Bridge of Sighs The Bridge of Sighs (Italian: Ponte dei Sospiri) is a bridge located in Venice, northern Italy. The enclosed bridge is made of white limestone, has windows with stone bars, passes over the Rio di Palazzo, and connects the New Prison (Prigioni Nuove) to the interrogation rooms in the Doge's Palace. It was designed by Antonio Contino (whose uncle Antonio da Ponte had designed the Rialto Bridge) and was built in 1600."", 'Gordie Howe International Bridge The bridge will connect to an extension of Highway 401, locally named the Rt. Hon. Herb Gray Parkway, on its east side. The parkway is below-grade and has six through-lanes. It follows (but does not replace) Talbot Road and Huron Church Road from a new interchange at the former end of Highway 401 to the E. C. Row Expressway, where it runs concurrently westward for 2 km (1.2 mi). From there, it turns northwest and follows a new alignment to the border.[31] Initial construction of a noise barrier from North Talbot Road to Howard Avenue began in March 2010. Two new bridges south of the Highway 3/401 junction were also constructed.[32] Full construction of the parkway began in 2011,[33] and was completed in November 2015.[34][35]', 'Brooklyn Bridge The Brooklyn Bridge started construction in 1869 and was completed fourteen years later in 1883. It was originally called the New York and Brooklyn Bridge and the East River Bridge, but it was later dubbed the Brooklyn Bridge, a name coming from an earlier January 25, 1867 letter to the editor of the Brooklyn Daily Eagle[8] and formally so named by the city government in 1915. Over the years, the Brooklyn Bridge has undergone several reconfigurations; it formerly carried horse-drawn vehicles and elevated railway lines, but now carries vehicular, pedestrian, and bicycle traffic. Commercial vehicles are banned from the bridge.']","Both spans are expected to be operational by June 15, 2018.",,1.0,0.21173831299280563,0.0
when did they stop cigarette advertising on television,"[""Tobacco advertising After World War II, cigarette companies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act.[8] Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel.[9] The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.[10]"", 'Electronic cigarette A 2014 review said, ""the e-cigarette companies have been rapidly expanding using aggressive marketing messages similar to those used to promote cigarettes in the 1950s and 1960s.""[23] E-cigarettes and nicotine are regularly promoted as safe and beneficial in the media and on brand websites.[148] While advertising of tobacco products is banned in most countries, television and radio e-cigarette advertising in some countries may be indirectly encouraging traditional cigarette smoking.[23] There is no evidence that the cigarette brands are selling e-cigarettes as part of a plan to phase out traditional cigarettes, despite some claiming to want to cooperate in ""harm reduction"".[23] In the US, six large e-cigarette businesses spent $59.3 million on promoting e-cigarettes in 2013.[246] Easily circumvented age verification at company websites enables young people to access and be exposed to marketing for e-cigarettes.[45]', 'Advertisement film In India, the Code for Self-Regulation of Advertising in India, established by the Advertising Standards Council of India (ASCI), is applicable on Television Commercials (TVCs). If consumers see an advertisement which they consider misleading or offensive, they can write to ASCI.[34] As per the provisions under The Cable Television Networks (Regulation) Act of 1995, and the Policy Guidelines for Uplinking of Television Channels from India (first introduced in 2000), give the government the power to block the transmission and re-transmission of any channel in the country.[35] Telecom Regulatory Authority of India has clear guidelines for TV advertising in India.[36] The Indian television channels are widely segmented through Broadcast television, Cable television, Satellite television, Internet Protocol television.[37][better source needed] There are 857 permitted private satellite stations and also 190 government channels under the list of television stations in India.[38][better source needed] The TV advertising rate varies for TV ad spots, regional/national channels, prime/non-prime time and also on the media planning platform.[39] The Advertising Standards Council Of India has defined the principles and guidelines for individuals, corporate bodies and associations engaged in or otherwise concerned with the practice of advertising for medium such as television. The principles include honest representations, non-offensive to public, against harmful products/situations, fair in competition. The guidelines include Automotives & Safety, Educational Institutions, Foods & Beverages, Disclaimers in an Advertisement.[40] TV advertising means conveying a message, typically to market a product or service. TV advertising allows you to show and tell a wide audience about your business, product, or service. It allows', 'Advertisement film In many countries, including the United States, television campaign advertisements are considered[by whom?] indispensable for a political campaign. In other countries, such as France, political advertising on television is heavily restricted,[5] while some countries, such as Norway, completely ban political advertisements.', ""Advertising to children In the USA, children's advertisings were limited between 1946 and 1983. Legislation then became more liberal throughout the rest of the 1980s.[60] With the Children's Television Act, which was introduced in 1990 and strengthened in August 1996, legislation once again became stricter.[61]""]","Cigarette advertising on television stopped on January 2, 1971.",,1.0,0.9364596498646833,0.0
when did the us take over wake island,"['Wake Island In the early 1980s the National Park Service conducted an evaluation of Wake Island to determine if the World War II (WWII) cultural resources remaining on Wake, Wilkes and Peale were of national historical significance. As a result of this survey, Wake Island was designated as a National Historic Landmark (NHL) on September 16, 1985, helping to preserve sites and artifacts on the atoll associated with WWII in the Pacific and the transpacific aviation era prior to the war. As a National Historic Landmark, Wake Island was also included in the National Register of Historic Places.[72]', 'Wake Island On January 17, 1899, under orders from President William McKinley, Commander Edward D. Taussig of USSÂ Bennington landed on Wake and formally took possession of the island for the United States. After a 21-gun salute, the flag was raised and a brass plate was affixed to the flagstaff with the following inscription:', 'Wake Island With the annexation of Hawaii in 1898 and the seizure of Guam and the Philippines during the Spanish–American War that same year, the United States began to consider unclaimed and uninhabited Wake Island, located approximately halfway between Honolulu and Manila, as a good location for a telegraph cable station and coaling station for refueling warships of the rapidly expanding United States Navy and passing merchant and passenger steamships. On July 4, 1898, United States Army Brigadier General Francis V. Greene of the 2nd Brigade, Philippine Expeditionary Force, of the Eighth Army Corps, stopped at Wake Island and raised the American flag while en route to the Philippines on the steamship liner SS China.[24]', 'Occupation of Alcatraz In 1969, Adam Fortunate Eagle planned a symbolic occupation for November 9. University student leaders Mohawk Richard Oakes and Shoshone Bannock LaNada Means, head of the Native American Student Organization at the University of California, Berkeley,[5] with a larger group of student activists joined Fortunate Eagle. A group of five boats was organized to take approximately 75 indigenous peoples over to the island, but none of the boats showed up. Adam Fortunate Eagle convinced Ronald Craig, the owner of the Monte Cristo, a three-masted yacht, to pass by the island when their own boats did not arrive.[3] Oakes, Jim Vaughn (Cherokee), Joe Bill (Eskimo), Ross Harden (Ho-Chunk) and Jerry Hatch jumped overboard, swam to shore, and claimed the island by right of discovery.[6] The Coast Guard quickly removed the men, but later that day, a larger group made their way to the island again, and fourteen stayed overnight. The following day, Oakes delivered a proclamation, written by Fortunate Eagle, to the General Services Administration (GSA) which claimed the island by right of discovery, after which the group left the island.[7]', 'Territories of the United States The status of several territories is disputed: Navassa Island is disputed by Haiti, Wake Island is disputed by the Marshall Islands, Swains Island (part of American Samoa) is disputed by Tokelau, and Serranilla Bank and Bajo Nuevo Bank (both administered by Colombia) are disputed by Colombia, Jamaica, Honduras, and Nicaragua.[44][45]']","The United States took over Wake Island on January 17, 1899.",,1.0,0.8785637343803926,0.3333333333
what event provoked congress to propose the eleventh amendment and the states to ratify it,"[""Eleventh Amendment to the United States Constitution The Eleventh Amendment (Amendment XI) to the United States Constitution, which was passed by Congress on March 4, 1794, and ratified by the states on February 7, 1795, deals with each state's sovereign immunity and was adopted to overrule the U.S. Supreme Court's decision in Chisholm v. Georgia, 2 U.S. 419 (1793).[1]"", 'Eleventh Amendment to the United States Constitution The Eleventh Amendment was the first Constitutional amendment adopted after the Bill of Rights. The amendment was adopted following the Supreme Court\'s ruling in Chisholm v. Georgia, 2 U.S. 419 (1793). In Chisholm, the Court ruled that federal courts had the authority to hear cases in law and equity brought by private citizens against states and that states did not enjoy sovereign immunity from suits made by citizens of other states in federal court. Thus, the amendment clarified Article III, Section 2 of the Constitution, which gives diversity jurisdiction to the judiciary to hear cases ""between a state and citizens of another state"".[2]', 'Twenty-sixth Amendment to the United States Constitution During debate of the 1970 extension of the Voting Rights Act, Senator Ted Kennedy argued that the Equal Protection Clause of the Fourteenth Amendment allowed Congress to pass national legislation lowering the voting age. In the 1966 decision of Katzenbach v. Morgan, the Supreme Court had ruled that ""if Congress acts to enforce the 14th Amendment by passing a law declaring that a type of state law discriminates against a certain class of persons, the Supreme Court will let the law stand if the justices can \'perceive a basis\' for Congress\'s actions"".[12]', 'Tenth Amendment to the United States Constitution In 1998, the Court again ruled that the Brady Handgun Violence Prevention Act violated the Tenth Amendment in Printz v. United States.[19] The act required state and local law enforcement officials to conduct background checks on people attempting to purchase handguns. Justice Antonin Scalia, writing for the majority, applied New York v. United States to show that the law violated the Tenth Amendment. Since the act ""forced participation of the State\'s executive in the actual administration of a federal program"", it was unconstitutional.[19]', 'Convention to propose amendments to the United States Constitution United States v. Sprague, 282 U.S. 716 (1931): ""[A]rticle 5 is clear in statement and in meaning, contains no ambiguity and calls for no resort to rules of construction. ... It provides two methods for proposing amendments. Congress may propose them by a vote of two-thirds of both houses, or, on the application of the legislatures of two-thirds of the States, must call a convention to propose them.""']","The event that provoked Congress to propose the Eleventh Amendment and the states to ratify it was the U.S. Supreme Court's decision in Chisholm v. Georgia, which ruled that federal courts had the authority to hear cases brought by private citizens against states, thereby challenging state sovereign immunity.",,1.0,0.8765363029932046,0.49999999995
what is the meaning of the dragon boat festival,"[""Dragon Boat Festival The Duanwu Festival, also often known, especially in the West, as the Dragon Boat Festival, is a traditional holiday originating in China, occurring near the summer solstice. It is also known as Zhongxiao Festival (Chinese: 忠孝節; pinyin: Zhōngxiàojié), commemorating fealty and filial piety. The festival now occurs on the 5th day of the 5th month of the traditional Chinese calendar, which is the source of the festival's alternative name, the Double Fifth Festival.[1] The Chinese calendar is lunisolar, so the date of the festival varies from year to year on the Gregorian calendar. In 2016, it occurred on June 9; and in 2017, on May 30."", 'Red Dragon (1595) Under the command of Thomas Best, Red Dragon took part in the tenth voyage of the East India Company, securing trading rights for the company at Surat in September 1612, and two months later engaging a Portuguese fleet and driving them from the Gulf of Cambay at the Battle of Swally. Hosiander (or Osiander) assisted Red Dragon in defeating the fleet, which consisted of some 30 vessels.[1][Note 2]', ""How to Train Your Dragon (film) How to Train Your Dragon topped the North American box office with $43.7 million in its first weekend of release.[14] The film grossed $217,581,231 in the United States and Canada and $277,297,528 in foreign countries with a worldwide total of $494,878,759.[1] How to Train Your Dragon is DreamWorks Animation's highest-grossing film in the American and Canadian box office other than the Shrek films.[15] It is the fifth-highest-grossing animated film of 2010 with $494.8 million, behind Toy Story 3 with $1,063.2 million, Shrek Forever After with $752.6 million, Tangled with $576.6 million, and Despicable Me with $543.1 million and the 10th-highest-grossing movie of 2010.[16]"", ""How to Train Your Dragon (franchise) How to Train Your Dragon, the first film in the series, was released on March 26, 2010. It was directed by Dean DeBlois and Chris Sanders. The film is loosely based on the 2003 book of the same name by Cressida Cowell. The film grossed nearly $500Â million worldwide, and was nominated for the Academy Award for Best Animated Feature. The story takes place in a mythical Viking world where a young Viking teenager named Hiccup aspires to follow his tribe's tradition of becoming a dragon slayer. After finally capturing his first dragon, and with his chance of finally gaining the tribe's acceptance, he finds that he no longer has the desire to kill the dragon and instead befriends it."", ""Berlin The annual Berlin International Film Festival (Berlinale) with around 500,000 admissions is considered to be the largest publicly attended film festival in the world.[172][173] The Karneval der Kulturen (Carnival of Cultures), a multi-ethnic street parade, is celebrated every Pentecost weekend.[174] Berlin is also well known for the cultural festival, Berliner Festspiele, which includes the jazz festival JazzFest Berlin. Several technology and media art festivals and conferences are held in the city, including Transmediale and Chaos Communication Congress. The annual Berlin Festival focuses on indie rock, electronic music and synthpop and is part of the International Berlin Music Week.[175][176] Every year Berlin hosts one of the largest New Year's Eve celebrations in the world, attended by well over a million people. The focal point is the Brandenburg Gate, where midnight fireworks are centred, but various private fireworks displays take place throughout the entire city. Partygoers in Germany often toast the New Year with a glass of sparkling wine.""]","The Dragon Boat Festival, also known as the Duanwu Festival, commemorates fealty and filial piety.",,1.0,0.8755677824959597,0.0
when was theme from a summer place released,"['Theme from A Summer Place Percy Faith recorded the most popular version of the theme, an instrumental orchestral arrangement, at the Columbia 30th Street Studio in New York City.[2] It was released in September 1959 as a single on Columbia Records, credited to ""Percy Faith and his Orchestra,"" prior to the November 1959 release of the film A Summer Place.[1]', 'Theme from A Summer Place Following its initial film appearance, the theme has been recorded by many artists in both instrumental and vocal versions, and has also appeared in a number of subsequent films and television programs. The best-known cover version of the theme is an instrumental version by Percy Faith and his orchestra that was a Number One hit for nine weeks on the Billboard Hot 100 chart in 1960.[1]', 'Somewhere (song) ""Somewhere"", sometimes referred to as ""Somewhere (There\'s a Place for Us)"" or simply ""There\'s a Place for Us"", is a song from the 1957 Broadway musical West Side Story that was made into a film in 1961. The music is composed by Leonard Bernstein with lyrics by Stephen Sondheim, and takes a phrase from the slow movement of Beethoven\'s \'Emperor\' Piano Concerto, which forms the start of the melody,[1] and also a longer phrase from the main theme of Pyotr Tchaikovsky\'s Swan Lake.', ""Summer of '69 The music video, released in 1985, was directed by Irish director Steve Barron.[19] In 1985 the music video was nominated for an MTV Video Music Award in the category for Best Male Video. While the song did not win the award, it was one of the four nominated songs from Adams' fourth studio album Reckless.[20] The video includes appearances by Lysette Anthony and Garwin Sanford."", '2008 Summer Olympics The theme song of the 2008 Olympic Games was ""You and Me,"" which was composed by Chen Qigang, the musical director of the opening ceremony. It was performed during the opening ceremony by Chinese singer Liu Huan and British singer Sarah Brightman.[49][50]']",The theme from A Summer Place was released in September 1959.,,1.0,0.9402149468489981,0.0
who plays v on orange is the new black,"['Matt McGorry On television, McGorry made his debut in 2011 on the ABC daytime soap opera One Life to Live. He later appeared in small guest-starring roles on Person of Interest, Gossip Girl, and Royal Pains. In 2013, McGorry began a recurring role on the Netflix dramedy series Orange Is the New Black as corrections officer John Bennett.[5][6]', 'List of Orange Is the New Black characters Sam Healy (played by Michael J. Harney) â€“ Healy is an experienced Corrections Officer and supervisor at Litchfield Penitentiary who has a Master of Social Work and acts as prison counselor to many of the inmates. He is initially presented as someone who, though rigid, genuinely wants to help the inmates under his care. Due to his preference for avoiding confrontation, Healy is contemptuously referred to as ""Samantha"" by Caputo, who feels that Healy is not tough enough on the inmates. Healy generally appears weary and often tells the inmates what they want to hear so they will leave him alone - he later admits to his own counselor that he is dissatisfied with his job, having gone into it with such idealistic notions of changing the world, but his experiences have left him cynical. Despite this, he still shows a sense of justice, such as forging evidence to show that Suzanne (who was going to take for the fall for an assault she did not commit) was in fact innocent. Healy has an outspoken personal vendetta against lesbians for unknown reasons, cautioning Piper at the beginning of the series not to be involved with lesbian activity. While early on he appears particularly sympathetic towards Piper and even acts biased in her favor, he increasingly dislikes her as he hears rumors of her alleged lesbian activities. His hatred of lesbians, first presented as a quirk, is later revealed to be a deep-seated pathological problem when he explosively sends', 'List of recurring Orange Is the New Black characters Erica ""Yoga"" Jones (played by Constance Shulman) – An older Caucasian inmate who teaches yoga. She has an unusually calm, peaceful demeanor, completely out of place in the prison environment, and as such gives no indication about why she might be in prison. Her calmness shatters, however, when she has a fight with an angry Janae, who deduces that her commitment to spirituality and yoga stems from her having committed a particularly heinous crime, and cruelly suggests that she may have killed a child — leading to Jones snapping and hitting her across the face. Later, while the two are working in the rec room, Jones explains that while she was a marijuana farmer in California, she accidentally shot and killed an 8-year old child she mistook for a deer, and is therefore in prison for manslaughter. Watson realizes, as she had thought, that Jones is indeed using her yoga and commitment to spirituality to cope with the intense emotional pain and guilt that she feels as a result of her crime. During the second season, she is seen participating in a hunger strike with Brook, to protest prison conditions. This is also her attempt to protest Janae having been thrown in the SHU, but her efforts are met with indifference by Janae herself, who coldly rebuffs her. During the fourth season, she is selected to be Judy King\'s roommate after she gets a private cell. She frequently criticizes Judy\'s special treatment, while not completely abstaining from', 'Kate Mulgrew Since 2013, Mulgrew stars as Galina ""Red"" Reznikov in the Netflix original series Orange Is the New Black, the role for which she was nominated for her first Primetime Emmy Award in 2014. The popular character was re-signed for seasons two, three, four and five. On working in the series she was reunited with her Mercy co-star Taylor Schilling.', 'List of Orange Is the New Black characters Although Caputo wished to be seen as a more providing and kinder warden that his predecessor, he soon learned that Litchfield was to close with the prisoners transferred and all the staff fired. Desperate to save his job and those of his co-workers, he convinces Figueroa to give him details on how to make Litchfield desirable to the Management & Correction Corporation, a private investor. This works, and although Litchfield is saved, Caputo became a figurehead who reported to Danny Pearson, the son of one of MCC\'s senior executives, and is forced to endure severe budget cuts like low-quality pre-packed food and his staff being reduced to part-time while under-qualified staff with minimum training were brought in to fill the void, resulting in many serious mistakes. Around this time, Caputo begins an affair with Figueroa in order to relieve his self-hate at all the compromises he is being forced to make. Due to the incumbent staff angry at their hours and wages being cut as well as being expelled from their union due to working for a private company, Caputo suggests they form their own union and agrees to lead it. When Sophia is seriously assaulted by other inmates while the CO on duty runs off in a panic, she threatens the prison with a lawsuit. As a result, Sophia is taken into ""protective custody,"" which is actually just her being thrown into isolation as punishment for her threat to sue. Caputo and Pearson argue with the latter\'s']",I cannot answer from the given context.,,0.0,0.0,0.0
who sang in the movie i walk the line,"['Walk the Line Some critics found the film too constrained by Hollywood plot formulas of love and loss, ignoring the last twenty years of Cash\'s life and other more socio-politically controversial reasons he was considered ""the man in black"".[15]', 'Walk the Line (soundtrack) Walk the Line: Original Motion Picture Soundtrack is the soundtrack album to the 2005 biographical drama film of the same name released November 15, 2005 by Wind-Up Records. There are nine songs performed by Joaquin Phoenix (as Johnny Cash), four songs by Reese Witherspoon (as June Carter Cash), one song by Waylon Payne (as Jerry Lee Lewis), one song by Johnathan Rice (as Roy Orbison), two songs by Tyler Hilton (as Elvis Presley), and one song by Shooter Jennings (as Waylon Jennings). At the Golden Globe Awards Joaquin Phoenix was awarded the Best Actor - Musical or Comedy and Reese Witherspoon was awarded the Best Actress - Musical or Comedy, as well as the film won the Best Picture - Musical or Comedy. Joaquin Phoenix and Reese Witherspoon were also nominated for the Academy Award for Best Actor and Best Actress, which Witherspoon won.', 'Walk This Way While the Runâ€“D.M.C. cover is nearly identical to the original version, the Girls Aloud/Sugababes version has a few changes tweaked into the song; the additional line ""Walk this way, you wanna talk this way"" is added, the vocoder is added, the rap breakdown, the lyrics are moved around, and the beat is slightly sped up and realized on a drum machine to add a further dance-pop feel to the song.', 'Phineas and Ferb the Movie: Across the 2nd Dimension The soundtrack of the movie Phineas and Ferb: Across the 1st and 2nd Dimensions includes 8 songs from the movie and 14 songs from the series, released on August 2. Guns n\' Roses guitarist Slash co-wrote and performed in a song for the soundtrack titled ""Kick It Up a Notch"". The song ""I Walk Away"" is not included in the soundtrack. A song cut from the film, ""Mysterious Force"", is included.', '1980s in music As the 1980s dawned, pop-influenced country music was the dominant style, through such acts as Kenny Rogers, Ronnie Milsap, T.G. Sheppard, Eddie Rabbitt, Crystal Gayle, Anne Murray and Dolly Parton. The 1980 movie Urban Cowboy, a romantic comedy starring John Travolta and Debra Winger, spawned a successful soundtrack album featuring pop-styled country songs, including ""Lookin\' for Love"" by Johnny Lee, ""The Devil Went Down to Georgia"" by the Charlie Daniels Band, ""Could I Have This Dance"" by Murray and ""Love the World Away"" by Rogers. The songs, and the movie itself, resulted in an early 1980s boom in pop-styled country music, and the era is sometimes known as the ""Urban Cowboy Movement"".']",I cannot answer from the given context.,,0.0,0.0,0.0
when does the new season of lost in space come out,"['Lost in Space The fate of the castaways is never resolved, as the series was unexpectedly canceled at the end of season 3.[citation needed]', 'Lost in Space (2018 TV series) Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course. It is written by Matt Sazama and Burk Sharpless and consists of ten episodes produced by Legendary Television, Synthesis Entertainment, Clickety-Clack Productions, and Applebox Entertainment, with Zack Estrin serving as showrunner. Netflix released the series on April 13, 2018.[1]', 'Lost in Space During its three-season run, many actors made guest appearances, including familiar actors and/or actors who went on to become well-known. Among those appearing in Lost in Space episodes: Kevin Hagen, Alan Hewitt, Sherry Jackson, Werner Klemperer, Warren Oates, Don Matheson, Kurt Russell, Wally Cox, Grant Sullivan, Norman Leavitt, Tommy Farrell, Mercedes McCambridge, Lyle Waggoner, Albert Salmi, Royal Dano, Strother Martin, Michael J. Pollard, Byron Morrow, Arte Johnson, Fritz Feld, John Carradine, Al Lewis, Hans Conried, Dennis Patrick, Michael Rennie among many others. Future Hill Street Blues stars, Daniel J. Travanti (billed as ""Danny Travanty"") and Michael Conrad, made guest appearances on separate episodes. Jonathan Harris, although a permanent cast member, was listed in the opening credits as ""Special Guest Star"" of every episode of Lost in Space.', 'Lost in Space (film) VHS, DVD, and later a Blu-ray have been released for the film. Both the DVD and Blu-ray releases contain deleted scenes.[10]', 'Lost in Space (2018 TV series) The series was released on April 13, 2018, on Netflix.[1] On March 31, 2018, the pilot of the series was screened exclusively at Awesome Con in Washington, D.C., followed by a Q&A session with series executive directors and writers Matt Sazama & Burk Sharpless.[19]']",I cannot answer from the given context.,,0.0,-0.0,0.0
