user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
botulinum definition,"['medical Definition of botulinum toxin : a very powerful neurotoxin that causes botulism and is produced by the botulinum bacterium (Clostridium botulinum); also: botulinum toxin type a Note: Botulinum toxin acts primarily on the parasympathetic nervous system.', 'botulinum and E.', 'There are five main kinds of botulism: 1  Foodborne botulism can happen by eating foods that have been contaminated with botulinum toxin. 2  Wound botulism can happen if the spores of the bacteria get into a wound and make a toxin. 3  Infant botulism can happen if the spores of the bacteria get into an infantâ\x80\x99s intestines.', 'Also, botulinum toxin does not pass into breast milk.', 'Definition of ichor.']",Botulinum toxin is a very powerful neurotoxin that causes botulism and is produced by the botulinum bacterium (Clostridium botulinum); it acts primarily on the parasympathetic nervous system.,,1.0,0.6895200203525457,0.0
central city definition,"['Definition of central city. : a city that constitutes the densely populated center of a metropolitan area.', 'Central Jersey. Central Jersey is the central region of the U.S. state of New Jersey. The designation of central New Jersey with a distinct toponym is a colloquial one rather than an administrative one, with no official definition and even a contentious taxonomic existence.', 'Central Time Zone in the United States. 1  The Central Time Zone, includes that part of the United States that is west of the boundary line between the eastern and central standard time zones (view) and east of the boundary line between the central and mountain standard time zones described (view). Five states are in both the eastern and central time zones.', 'Central Time, or CT, is actually a blanket term used to describe the areas that observe either the Central Standard Time or Central Daylight Time. Central Standard Time is six hours behind the Coordinated Universal Time standard, written as an offset of UTC - 6:00.', 'Central Region.']",A central city is defined as a city that constitutes the densely populated center of a metropolitan area.,,1.0,0.9110079422043438,0.0
hotels in thornton co,"['Econo Lodge Thornton -Denver North, a Thornton hotel near Downtown Denver. 1  For everything you need while on the road, book with our Econo LodgeÂ® Thornton-Denver North hotel in Thornton, CO near Downtown Denver to explore Colorado with ease. Visit these popular attractions near this pet-friendly discount hotel in Thornton during your stay in Colorado: Denver Botanic Gardens.', 'Thornton Hotels. Candlewood Suites Denver North - Thornton. Welcome to the Candlewood Suites Thornton serving Northglenn, Westminster, Brighton, Commerce City, Broomfield, and Thornton.', ""Hampton Inn Denver-North/Thornton. From Business: Property Location With a stay at Hampton Inn Denver Thornton in Thornton, you'll be close to Boondocks Food and Fun and Thorncreek Golf Course."", 'Hotels in Jackson.', 'Comfort Suites Norwich - Book your stay at Hotels in Norwich CT and Norwich CT Hotels and Foxwoods Casino Area Hotels, Mohegan Sun area hotels. Get information on Norwich CT Hotels, Foxwoods Casino Area Hotels, Mohegan Sun area hotels and Hotels in Norwich CT from www.comfortsuitesnorwich.com.']","The context mentions the following hotels in Thornton, CO: Econo Lodge Thornton - Denver North, Candlewood Suites Denver North - Thornton, and Hampton Inn Denver-North/Thornton.",,1.0,0.8911411947017431,0.3333333333
how bicycle tire tubes are sized,"['a UCI rule stating the length and the width of the bicycle tubes cannot exceed the ratio of 3:1.', 'Inspect the sidewall of the bicycle tire that needs a new tube.', 'Do not attempt to inflate the tire using a standard hand pump. Mounting and inflating tubeless bicycle tires requires a rapid burst of air pressure.', 'They are usually sized to fit multiple sizes of tubing, so sizing is not that important.', 'The tire size will be printed there in raised numbers along with the recommended tire pressure and possibly other information.']","They are usually sized to fit multiple sizes of tubing, so sizing is not that important.",,1.0,0.0,0.0
"synonyms for the word, decline","['See Synonyms at refuse 1.', 'decline | definition: grow worse | synonyms: retrogress, slip, tumble, deprive, fall away, drop away, degenerate, fail, suffer, come down, sicken, worsen, deteriorate, lose, impoverish, inflame, turn down, drop off, drop, turn, retrograde, regress, devolve, change state| antonyms: better, enrich, recuperate, progress, advisable', 'But medications might slow that decline and help with symptoms, such as behavior changes.', 'Thesaurus Antonyms Related Words Synonyms Legend: Switch to new thesaurus .', ""Failing Economy and High Inflation Unemployment working class The 'Mob' and the cost of the Gladiatorial Games Decline in Ethics and Values Slave Labor Natural Disasters Christianity Barbarian Invasion Major Causes For The Empire to Decline One of the main causes for the fall of the Roman Empire were problems between the Senate and the Emperor.""]","retrogress, slip, tumble, deprive, fall away, drop away, degenerate, fail, suffer, come down, sicken, worsen, deteriorate, lose, impoverish, inflame, turn down, drop off, drop, turn, retrograde, regress, devolve, change state",,1.0,0.9678318937954188,0.49999999995
causes for uti in women,"['UTI vs.', 'A UTI is an infection anywhere in the urinary tract.', 'in many cases gbs colonization of the urinary tract in women probably occurs by an ascending route from the vagina where gbs can persist asymptomatically gbs is cultured from approximately 2 % of all uti cases de mouy et al 2007 munoz et al 1992 persson et al 1988', 'Two microorganisms account for the majority of cases of uncomplicated UTI and pyelonephritis. Approximately 80% of acute uncomplicated UTIs are caused by E.', 'Healing Nutrition for UTI and Bladder Infections.']",I cannot answer from the given context.,,0.0,-0.0,0.0
how long does respite last,"[""At assisted living communities, temporary care respite stays are usually less than one month long, and can cost between $75 to $200 per day, according to 2012 Genworth.com data. It's important to keep in mind that the cost of respite care varies with the type of agency and services the person needs."", ""One important function of respite care is that it allows you to take a break from being a caregiver so that you can manage the other important responsibilities in your life. The Alzheimer's Association said that people often use respite care to give them time to run errands during the week."", 'Duration of a Miscarriage. How long does a miscarriage last? Miscarriages can last from one day to about 3 weeks in duration.', 'How Long it Lasts.', 'For how long it lasts I have seen 1 week, 2 weeks, and several weeks.']",I cannot answer from the given context.,,0.0,0.0,0.0
task definition,"['Be sure task has current folder set or use full path.', 'The definition of sisyphean is a task that is endless and cannot ever be completed. An example of a Sisyphean task is a task that will never be done no matter how long you work at it. Sisyphean', 'Nursesâ\x80\x99 responsibilities for tasks delegated to them by a medical provider include direction and competence to perform the task with consultation and supervision of the medical provider. The law goes on to define the responsibilities involved in the process of delegation of a nursing task to someone less skilled. Delegation of a nursing task involves assessment of the knowledge and skill level of those supervised, providing direction, assistance, observation and', 'â\x80¢ Time to complete a task (which could be measured to fractions of seconds).', 'Hold down Ctrl and click the two tasks you want to link (in the Task Name column).']",I cannot answer from the given context.,,0.0,0.0,0.0
technology working group definition,"['2.0 Promoter Group technical working groups.', ""Convene a working group comprised of representatives of compliance, affected business lines, IT, and internal audit to understand the Beneficial Ownership Rule's impact on operations and business prospects."", 'Working in a team oriented environment can be tough, especially when each person in the group wants to implement their best ideas, show their worth to the group and have a strong impact on the project and company as a whole.', 'Technology can be most broadly defined as the entities, both material and immaterial, created by the application of mental and physical effort in order to achieve some value. In this usage, technology refers to tools and machines that may be used to solve real-world problems.', 'This definition appears very rarely and is found in the following Acronym Finder categories: Information technology (IT) and computers.']",I cannot answer from the given context.,,0.0,0.0,0.0
temperature in clearwater florida per month,"['Clearwater Beach: Annual Weather Averages. January is the hottest month in Clearwater Beach with an average temperature of 59 Â°F (15 Â°C) and the coldest is January at 59 Â°F (15 Â°C). Average Temperature: Clearwater Beach Loading weather data.', 'Days per month in Clearwater of at least 70, 80 or 90 Â°F.', 'The warmest month of the year is July with an average maximum temperature of 91.00 degrees Fahrenheit, while the coldest month of the year is January with an average minimum temperature of 47.10 degrees Fahrenheit.', ""Clearwater Beach, located on Central Florida's West Coast and home to the nightly Pier 60 Sunset Celebration, has an overall average high temperature of 83Â° and an average low of 63Â°."", 'The warmest month of the year is July with an average maximum temperature of 89.30 degrees Fahrenheit, while the coldest month of the year is January with an average minimum temperature of 31.40 degrees Fahrenheit.']",I cannot answer from the given context.,,0.0,-0.0,0.0
the cast of emoji movie,"['The Emoji Movie is a 2017 American 3D computer-animated comedy film directed by Tony Leondis, and written by Leondis, Eric Siegel and Mike White, based on the trend of emojis.', ""The film centers on Gene, a multi-expressional emoji who lives in a teenager's phone, and who sets out on a journey to become a ..."", 'Dwayne Johnson and Zac Efron will star in the big screen revival, and the cast of C.J.', 'Read the The Lords of Flatbush plot and find out who is in the cast and crew at Movies.com.', ""Here's a recipe for disaster: a low-budget movie with a cast that's never acted before, a first-time director, and a star who refuses to do publicity.""]",I cannot answer from the given context.,,0.0,0.0,0.0
the economics is or are,"['Economics is the study of: A.', 'Economics is a social science, and, unlike the physical sciences, cannot engage in controlled experimentation to demonstrate how variables are connected.', 'The Principles of Economics Frank A.', 'Business economics is the study of the financial issues and challenges faced by corporations operating in a specified marketplace or economy. Business economics deals with issues such as business organization, management, expansion and strategy.', ""1  Natural resource economics focuses on the supply, demand, and allocation of the Earth's natural resources. 2  Every man-made product in an economy is composed of natural resources to some degree. 3  Natural resources can be classified as potential, actual, reserve, or stock resources based on their stage of development.""]",I cannot answer from the given context.,,0.0,0.0,0.0
britne oldford worth,"['Britne Oldford Net Worth is $100,000 Britne Oldford Biography 19 Synopsis: Twenty-three yrs .', 'old Britne Oldford is certainly a Canadian film and television actress, whoâ\x80\x99s best known on her behalf attractive function as Eddie Campbell on the American remarks of Skins.', 'Her estimated net worth is $100 million, according to reports on Celebrity Net Worth and The Richest, and she was already pulling in $40,000 for motivational speaking tours when she was known as Bruce.', 'Sam Waterston. Sam Waterston Net Worth is $35 Million. Samuel Atkinson Sam Waterston is an American actor and occasional producer and director, with a net worth of $35 million. Sam Waterston has earned his net worth from many movie and TV roles such as Award-win. Samuel Atkinson Sam Waters...', 'This is currently worth around US$13.']","Britne Oldford's net worth is $100,000.",,0.0,0.8713915281453181,0.0
does flomax cause liver damage,"['Food and Drug Administration (FDA) warned about the risk of liver damage in 2009 and again in 2012.', 'Long-term effects on the body from products that contain acetaminophen can lead to severe liver damage and liver failure.', 'Strattera can cause liver injury in some patients.', 'White phosphorus can also cause severe liver damage on ingestion.', '1 exposure to poisons â\x80\x93 can damage the liver because one of the liverâ\x80\x99s main roles is to remove toxins from the blood. Prolonged exposure to environmental toxins such as arsenic can damage the liver and lead to cirrhosis.']",I cannot answer from the given context.,,1.0,-0.0,0.0
united home life insurance phone number,"['United Home Life Insurance Company(UHL) 225 S.', 'Best: A- (Excellent) BBB: A-About: United Home Life Insurance Company was formed in 1948.', '210-531-USAA (or 210-531-8722) Phone Menu Tips for Auto and Property Insurance Claims(Opens Pop-up Layer) 800-531-USAA (or 800-531-8722) Phone Menu Tips for Auto and Property Insurance Claims(Opens Pop-up Layer)', ""This People's United Bank phone number is ranked #3 out of 6 because 774 People's United Bank customers tried our tools and information and gave us feedback after they called. The reason customers call 800-525-9248 is to reach the People's United Bank Customer Service department for problems like Setup an account, Question, Complaint."", 'Asurion Verizon Customer Service Phone Number Phone Number of Asurion Verizon is +1 615-837-3000. Asurion LLC is a leading provider of insurance services based in the United States.']",I cannot answer from the given context.,,1.0,-0.0,0.0
us estate tax for canadians,"['The US estate tax affects Canadians who are dual US citizens and even Canadians who own US situs property, which includes both real property and US-based securities (whether registered or not).', 'As a reminder, US estate tax, which Trump calls the death tax, is a federal estate tax that applies at a rate of 40% on individual estates over $5.49million or $10.98million for married couples.', 'Be sure to include federal Form 706, United States Estate Tax Return. You must complete and include Form 706 even if the estate is not required to file a federal estate tax return.', 'File Form ET-706, New York State Estate Tax Return.', 'The House voted to repeal the estate tax last week.']","The US estate tax affects Canadians who are dual US citizens and even Canadians who own US situs property, which includes both real property and US-based securities (whether registered or not).",,1.0,0.8748472211270529,0.49999999995
cadillac meaning,"['Cadillac definition: The definition of a Cadillac is a car brand produced by General Motors, or something that is the highest quality of its kind.', '(noun) An example of a Cadillac is the most expensive and well made designer bag on the market....', 'SERVING Raleigh & Durham CUSTOMERS - Hendrick Buick GMC Cadillac IN Cary. Welcome to our Buick and GMC vehicle showroom - Hendrick Buick GMC Cadillac - at the Cary Auto Mall.', 'Certified Pre-Owned: No Transmission: 6-Speed Manual Color: Radiant Silver Metallic Description: Used 2016 Cadillac ATS-V Sedan for sale - $46,977, 8,760 miles with Navigation System, Leather Seats.', 'It was $4100 brand new and I think a brand new Cadillac was $6500 back then.']","The definition of a Cadillac is a car brand produced by General Motors, or something that is the highest quality of its kind.",,1.0,0.8438018020246679,0.0
calculation of geometric mean,"['How to calculate Geometric Mean. The Geometric mean of a set of data can be derived from the formula Geometric Mean Calculation Example For example, to find the geometric mean of 9, 27 and 66; The first step is to multiplying the given numbers 9 x 27 x 66 will yield the result 16038. By taking cube root of the result 16038 gives the resulting Geometric Mean 25.2184.', 'Geometric mean.', 'Sum of the Terms of a Geometric Sequence (Geometric Series) To find the sum of the first n terms of a geometric sequence use the formula, S n = a 1 ( 1 â\x88\x92 r n ) 1 â\x88\x92 r , r â\x89\xa0 1 , where n is the number of terms, a 1 is the first term and r is the common ratio .', 'The calculation of the.', 'Example 2: Find the first five terms and the common ratio of the geometric sequence . Since a geometric sequence is a sequence, you find the terms exactly the same way that you do a sequence.']","The geometric mean can be calculated by multiplying the given numbers and then taking the root based on the number of values. For example, to find the geometric mean of 9, 27, and 66, you multiply them to get 16038, and then take the cube root of 16038 to get the geometric mean of approximately 25.2184.",,0.8,0.929538993653123,0.0
weather in avon in,"['The lowest monthly average temperature in Avon for February is 30 degrees. The most monthly precipitation in Avon occurs in June with 5.1 inches.', 'The air quality index in Avon is 18% worse than the national average. The pollution index in Avon is 53% better than the national average.', 'Avon is used chiefly in the English language and its origin is Celtic.', 'In its lower reaches from Bath to the Severn Estuary at Avonmouth near Bristol the river is navigable and known as the Avon Navigation. The Avon is the 19th longest river in the UK at 75 miles (121 km) although there are just 19 miles (31 km) as the crow flies between the source and its mouth in the Severn Estuary.he river Avon had been navigable from Bristol to Bath during the early years of the 13th century but construction of mills on the river forced its closure. The floodplain of the Avon, on which the city centre of Bath is built, has an altitude of about 59 ft (18 m) above sea level.', 'Weather is unpredictable, you could have beautiful weather or overcast and rainy weather in September.']",I cannot answer from the given context.,,0.0,-0.0,0.0
what are bound fields connected to,"['ï\x82· Bound Controls are connected to a data source (like a combo box that lets you choose the customer.', 'If you count these two fields as separate and add them to the other 3 traditional force fields -- the Gravitational, Strong, and Weak fields -- then, nature might be described as having a total of 5 fundamental fields in Physics.', '1  Clamp ends are fittings which allow hoses or tubes to be clamped over the part. 2  Plain ends are fittings with surfaces which allow pipes or tubes to be connected by adhesive, solder, welding, or other permanent means.', 'That means one need to fill in the fields with the information at them.', 'for an order.) In Design View, they display the name of the bound field; in Form or Layout View, they.']",Bound Controls are connected to a data source.,,1.0,0.5678500593156579,0.0
what are cuban links,"['The Cuban link, also called a concave curb link, is a variation of the traditional cable chain, which is the most common type of jewelry chain.', 'On TAG Heuer watches, the links are connected by little metal bars, and one end of each metal bar is larger than the other end.', ""MIAMI-Alan Gross remains in a Cuban prison, five years after Cuban authorities arrested him in Havana for distributing communications equipment to members of the island's small Jewish community."", 'General Machado was the oldest brother of Colonel Lorenzo Machado-Morales of the Cuban Mambi army of Las Villas Province under General Calixto Garcia. General Machado was one of the youngest Cuban generals of the 1895 to 1898 Cuban War of Independence.', 'In 1898 the US government decided to intervene on the side of the Cuban rebels in their struggle against Spanish rule.']","The Cuban link, also called a concave curb link, is a variation of the traditional cable chain, which is the most common type of jewelry chain.",,1.0,0.8513100289235899,0.0
calories in soy oil,"['The 126 calories in one serving of soy oil are equivalent to the calories burned while: Running (6 mph) for 10 minutes; Stationary rowing for 22 minutes; Chopping wood for 16 minutes; Sleeping for 1 hour and 51 minutes (Calculations are based on a 150-lb person.)', 'No matter what type of fat you consume, every gram contains 9 calories. To convert fat calories into grams of fat, just divide the calories by nine. For example, a tablespoon of olive oil has 119 calories, all of which come from fat.', '20 calories of Olive Oil Cooking Spray - 1 sec.', '20 calories of Olive Oil Cooking Spray - 1 sec.', 'Yet despite the powerful health benefits of whole soy foods, myths and misinformation regarding the â\x80\x98dangersâ\x80\x99 of soy consumption are being widely circulated and presented as fact.']",The calories in soy oil are 126 calories per serving.,,1.0,0.9111867744118468,0.0
what are investigators and special agents responsible for ?,"['We have criminal investigatorsâ\x80\x94aka special agentsâ\x80\x94who are responsible for investigating violations of the laws that govern Social Securityâ\x80\x99s programs.', 'In fact, dozens of Federal agencies have their own law enforcement authority, and special agents who use that authority every day.', 'Currently, about 230 special agents work in 66 offices across the United States.', 'Salaries for special agents also are based on where jobs are located.', 'High Salary Range Factors. The pay at the higher end of the salary range for BAU special agents can be much higher. For example, a BAU supervisory special agent with a pay grade of GS 14, Step 7 can earn $101,637. The demand for BAU special agents is good.']",Investigators and special agents are responsible for investigating violations of the laws that govern Social Security’s programs.,,1.0,0.7348223292879608,0.0
what are mesas,"['T and B cells are as you describe small cells with what looks like they have a large nucleus they are like this as it is what they need to do what they need to.', 'Mesa is a city in Maricopa County, in the U.S.', 'What is attrition? 3 What are signs of attrition?', ""Mesa has a larger top than the sides, whereas a Butte's sides are higher than the top area."", 'There are a number of misconceptions about a pet microchip, so letâ\x80\x99s take a closer look at what the chip is and what it isnâ\x80\x99t. What pet microchipping isnâ\x80\x99t What pet microchipping is A microchip does not broadcast a signal and has no internal power source.Microchips are the size of a grain of rice with very small electrical components. Microchips do not act as a GPS system, allowing you to track down your petâ\x80\x99s exact location.here are a number of misconceptions about a pet microchip, so letâ\x80\x99s take a closer look at what the chip is and what it isnâ\x80\x99t. What pet microchipping isnâ\x80\x99t What pet microchipping is A microchip does not broadcast a signal and has no internal power source.']",I cannot answer from the given context.,,0.0,0.0,0.0
what are the five basic chart forms,"[""To get a good idea of what you can add to or change in your chart, under Chart Tools, click the Design, Layout, and Format tabs, and then explore the groups and options that are provided on each tab. Tip If you don't see the Chart Tools, make sure that you click anywhere inside the chart to activate it.elect the type of chart that you want and then click OK. When you rest the mouse pointer over any chart type, a ScreenTip displays its name. Tip For more information about chart types, see Available chart types."", '1  Chart Image. 2  Chart Data.', 'About the Stock Charts Page. The default chart is 1 year Open/High/Low/Close (OHLC) chart for an individual stock.', 'Chart and Diagram Slides for PowerPoint - Beautifully designed chart and diagram s for PowerPoint with visually stunning graphics and animation effects. Our new CrystalGraphics Chart and Diagram Slides for PowerPoint is a collection of over 1000 impressively designed data-driven chart and editable diagram s guaranteed to impress any audience.', 'Basic form The basic formis the one that you find in the dictionary.']",I cannot answer from the given context.,,0.0,0.0,0.0
what are the salaries of big bang actors,"['If The Big Bang Theory actors are working roughly 40 hours a week, that would translate to $25,000 an hour. Even if you give the actors the benefit of the doubt and say they work 60 hours a week (12 hours a day), that still comes out to more than $16,000 an hour.', 'â\x80\x9cThe Big Bang Theoryâ\x80\x9d spinoff is making movement, setting its core cast, including the young star who will play the childhood version of Sheldon has been cast, Variety has learned.', '1  The Big Bang Theory has experienced continuous success ever since the CBS sitcom premiered back in 2007.', 'These high salaries are chocking the Big Three.', 'TV Guide Magazine recently released a full list of salaries for more than 150 TV stars. Among the highest paid names are Michael Strahan, co-host of â\x80\x98Live with Kelly & Michael!â\x80\x99 and Aisha Tyler, of â\x80\x98The Talk.â\x80\x99.V Guide Magazine recently released a full list of salaries for more than 150 TV stars. Among the highest paid names are Michael Strahan, co-host of â\x80\x98Live with Kelly & Michael!â\x80\x99 and Aisha Tyler, of â\x80\x98The Talk.â\x80\x99.']","The salaries of The Big Bang Theory actors translate to $25,000 an hour if they work roughly 40 hours a week, and more than $16,000 an hour if they work 60 hours a week.",,1.0,0.8359717476261568,0.0
