user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
nitty gritty dirt band fishin in the dark album,"['He also had a short stint with the Nitty Gritty Dirt Band in the late 1980s.', 'Fishin\' in the Dark ""Fishin\' in the Dark"" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band.', ""The Dark Side of the Moon One of the more notable covers of The Dark Side of the Moon is Return to the Dark Side of the Moon: A Tribute to Pink Floyd. Released in 2006, the album is a progressive rock tribute featuring artists such as Adrian Belew, Tommy Shaw, Dweezil Zappa, and Rick Wakeman.[137]  In 2000, The Squirrels released The Not So Bright Side of the Moon, which features a cover of the entire album.[138][139]  The New York dub collective Easy Star All-Stars released Dub Side of the Moon in 2003[140] and Dubber Side of the Moon in 2010.[141] The group Voices on the Dark Side released the album Dark Side of the Moon a Cappella, a complete a cappella version of the album.[142]  The bluegrass band Poor Man's Whiskey frequently play the album in bluegrass style, calling the suite Dark Side of the Moonshine.[143]  A string quartet version of the album was released in 2004.[144]  In 2009, The Flaming Lips released a track-by-track remake of the album in collaboration with Stardeath and White Dwarfs, and featuring Henry Rollins and Peaches as guest musicians.[145]"", 'Breaking Benjamin Breaking Benjamin toured in support of the album in January and February 2010 with Three Days Grace and Flyleaf,[45] then with Red, Chevelle, and Thousand Foot Krutch in March 2010.[46] In April, Breaking Benjamin began touring with Nickelback, Shinedown, and Sick Puppies on their Dark Horse Tour.[47] Prior to the last show of the Dark Horse Tour, Burnley stated he was ill and therefore no longer able to tour in support of the album, placing the band on hiatus.[4] After internet rumors began to circulate that the band had broken up, Burnley released a statement ""officially letting everyone know that Breaking Benjamin has not broken up.""[4]', 'Taking the idea to the next level, the band promised to play a complete album by another band on Halloween night, taking fan votes by mail.[5] The winning album was the legendary White Album from The Beatles.']",I cannot answer from the given context.,,0.0,0.0,0.0
when is the new tappan zee bridge going to be finished,"['Tappan Zee Bridge (2017–present) Tappan Zee Constructors began construction in 2013.', ""Tappan Zee Bridge (2017–present) Originally, some motorists thought that bridge tolls could more than double (to $12-$15 for automobiles, eastbound only), rising to those of New York City's Hudson River crossings.[5] However, the state passed legislation freezing the toll on the bridge at $5 through 2020 in its 2016 legislative session.[16]"", 'Tappan Zee Constructors then began demolishing the old bridge.', ""Each year, this rivalry takes center stage during their annual football game, dubbed the 'Little Brown Jug Game.' Pearl River has another rival, the Tappan Zee High School Dutchmen."", 'Cornish–Windsor Covered Bridge The bridge is owned and maintained by the State of New Hampshire, and though often associated with Windsor, is in fact part of the town of Cornish, since the defined boundary between New Hampshire and Vermont is at the western mean low-water mark of the river. When one drives onto the bridge from the Windsor side of the river one is immediately in New Hampshire.[6]']",I cannot answer from the given context.,,0.0,-0.0,0.0
when did they stop cigarette advertising on television,"[""Tobacco advertising After World War II, cigarette companies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act.[8] Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel.[9] The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.[10]"", 'Electronic cigarette A 2014 review said, ""the e-cigarette companies have been rapidly expanding using aggressive marketing messages similar to those used to promote cigarettes in the 1950s and 1960s.""[23] E-cigarettes and nicotine are regularly promoted as safe and beneficial in the media and on brand websites.[148] While advertising of tobacco products is banned in most countries, television and radio e-cigarette advertising in some countries may be indirectly encouraging traditional cigarette smoking.[23] There is no evidence that the cigarette brands are selling e-cigarettes as part of a plan to phase out traditional cigarettes, despite some claiming to want to cooperate in ""harm reduction"".[23] In the US, six large e-cigarette businesses spent $59.3 million on promoting e-cigarettes in 2013.[246] Easily circumvented age verification at company websites enables young people to access and be exposed to marketing for e-cigarettes.[45]', 'Advertisement film In India, the Code for Self-Regulation of Advertising in India, established by the Advertising Standards Council of India (ASCI), is applicable on Television Commercials (TVCs). If consumers see an advertisement which they consider misleading or offensive, they can write to ASCI.[34] As per the provisions under The Cable Television Networks (Regulation) Act of 1995, and the Policy Guidelines for Uplinking of Television Channels from India (first introduced in 2000), give the government the power to block the transmission and re-transmission of any channel in the country.[35] Telecom Regulatory Authority of India has clear guidelines for TV advertising in India.[36] The Indian television channels are widely segmented through Broadcast television, Cable television, Satellite television, Internet Protocol television.[37][better\xa0source\xa0needed] There are 857 permitted private satellite stations and also 190 government channels under the list of television stations in India.[38][better\xa0source\xa0needed] The TV advertising rate varies for TV ad spots, regional/national channels, prime/non-prime time and also on the media planning platform.[39] The Advertising Standards Council Of India has defined the principles and guidelines for individuals, corporate bodies and associations engaged in or otherwise concerned with the practice of advertising for medium such as television.', 'Advertisement film In many countries, including the United States, television campaign advertisements are considered[by whom?] indispensable for a political campaign. In other countries, such as France, political advertising on television is heavily restricted,[5] while some countries, such as Norway, completely ban political advertisements.', '3D television Fewer and fewer 3D TVs were sold and soon TV manufactures stopped making them. Vizio stopped production in 2014 and was followed by others.[90] In January 2017, the last two major television manufacturers still producing 3D televisions, Sony and LG, announced they would stop all 3D support.[1]']","Cigarette advertising on television stopped on January 2, 1971.",,1.0,0.9364596498646833,0.0
when did the us take over wake island,"['Wake Island In the early 1980s the National Park Service conducted an evaluation of Wake Island to determine if the World War II (WWII) cultural resources remaining on Wake, Wilkes and Peale were of national historical significance. As a result of this survey, Wake Island was designated as a National Historic Landmark (NHL) on September 16, 1985, helping to preserve sites and artifacts on the atoll associated with WWII in the Pacific and the transpacific aviation era prior to the war. As a National Historic Landmark, Wake Island was also included in the National Register of Historic Places.[72]', 'Diplomatically, the US was content to see the island remain in Spanish hands so long as it did not pass to a stronger power such as Britain or France.', 'Taussig of USSÂ\xa0Bennington landed on Wake and formally took possession of the island for the United States.', 'Territories of the United States The status of several territories is disputed: Navassa Island is disputed by Haiti, Wake Island is disputed by the Marshall Islands, Swains Island (part of American Samoa) is disputed by Tokelau, and Serranilla Bank and Bajo Nuevo Bank (both administered by Colombia) are disputed by Colombia, Jamaica, Honduras, and Nicaragua.[44][45]', 'Wake Island On January 17, 1899, under orders from President William McKinley, Commander Edward D.']",I cannot answer from the given context.,,1.0,-0.0,0.0
what event provoked congress to propose the eleventh amendment and the states to ratify it,"[""Eleventh Amendment to the United States Constitution The Eleventh Amendment (Amendment XI) to the United States Constitution, which was passed by Congress on March 4, 1794, and ratified by the states on February 7, 1795, deals with each state's sovereign immunity and was adopted to overrule the U.S."", 'Eleventh Amendment to the United States Constitution The Eleventh Amendment was the first Constitutional amendment adopted after the Bill of Rights.', 'Tallmadge Amendment The southern members of Congress upheld that the Tallmadge amendment was unconstitutional because it put restrictions on states as a condition of admission to the Union.', 'Titles of Nobility Amendment On February 1, 1865, the 38th Congress passed and sent to the states for ratification a proposed amendment that would become the Thirteenth Amendment, which abolished slavery.[19][20] When it was proposed and adopted, no one protested that there already was a Thirteenth Amendment â€“ either the 1810 or the 1861 proposals.', 'Also, the Nineteenth Amendment prohibits any U.S. citizen from being denied the right to vote on the basis of sex; the Twenty-fourth Amendment prohibits both Congress and the states from conditioning the right to vote in federal elections on payment of a poll tax or other types of tax; and the Twenty-sixth Amendment prohibits the states and the federal government from using age as a reason for denying the right to vote to U.S.']",I cannot answer from the given context.,,0.0,0.0,0.0
what is the meaning of the dragon boat festival,"['Dragon Boat Festival The Duanwu Festival, also often known, especially in the West, as the Dragon Boat Festival, is a traditional holiday originating in China, occurring near the summer solstice.', ""Meaning (philosophy of language) Kripke also drew the distinction between speaker's meaning and semantic meaning, elaborating on the work of ordinary language philosophers Paul Grice and Keith Donnellan. The speaker's meaning is what the speaker intends to refer to by saying something; the semantic meaning is what the words uttered by the speaker mean according to the language."", 'The game ends with a still image of the boat and the Dragon Knife in the beach while the credits roll.', 'Fireworks Kamuro is a Japanese word meaning ""boys haircut"", which is what this shell resembles when fully exploded in the air.', 'What We Do in the Shadows What We Do in the Shadows is a 2014 New Zealand mockumentary[3] horror comedy film about a group of vampires who live together in Wellington, that is written, directed by, and starring Jemaine Clement and Taika Waititi.[4] It premiered at the Sundance Film Festival in January 2014.[5][6] The film was theatrically released on 18 August 2014 by Madman Entertainment.']",I cannot answer from the given context.,,0.0,0.0,0.0
when was theme from a summer place released,"['Theme from A Summer Place Percy Faith recorded the most popular version of the theme, an instrumental orchestral arrangement, at the Columbia 30th Street Studio in New York City.[2] It was released in September 1959 as a single on Columbia Records, credited to ""Percy Faith and his Orchestra,"" prior to the November 1959 release of the film A Summer Place.[1]', 'Theme from A Summer Place Following its initial film appearance, the theme has been recorded by many artists in both instrumental and vocal versions, and has also appeared in a number of subsequent films and television programs.', 'It was released as the third single from the compilation album Cruel Summer (2012), a collaboration between members of their record label GOOD Music.', 'Home and Away (song) Home and Away star Axle Whitehead (Liam Murphy) recorded a version of the theme song which was used in the show in 2012.[27] Long-serving cast member Lynne McGranger (Irene Roberts) sang the song in a 2013 promotional video for broadcaster TVNZ 2 in New Zealand.[28] In April 2016, the theme song was used in a television commercial promoting a storyline involving an explosion at the Summer Bay Caravan Park.[29][30] Between December 2017 and February 2018, the theme song was also used in television commercials promoting the 2018 season premiere of Home and Away, as well as a sinkhole storyline involving long-time character Alf Stewart (Ray Meagher).[31][32]', 'The Rockford Files The theme song was released as a single and spent two weeks at No.']",The theme from A Summer Place was released in September 1959.,,1.0,0.9402149468489981,0.0
who plays v on orange is the new black,"['List of recurring Orange Is the New Black characters Erica ""Yoga"" Jones (played by Constance Shulman) – An older Caucasian inmate who teaches yoga.', 'In 2013, McGorry began a recurring role on the Netflix dramedy series Orange Is the New Black as corrections officer John Bennett.[5][6]', 'List of Orange Is the New Black characters Sam Healy (played by Michael J. Harney) â€“ Healy is an experienced Corrections Officer and supervisor at Litchfield Penitentiary who has a Master of Social Work and acts as prison counselor to many of the inmates.', 'Black (TV series) She is the mother of Ha-ram who recognizes Han Moo-gang as the grim reaper when it glows orange on his neck and wants him to stay away from her daughter.', 'Star (TV series) The series premiered on December 14, 2016.[2] With the premiere of the series, Amiyah Scott became the third openly transgender person to play a trans major character in a scripted television drama series in America, after Laverne Cox on Orange is the New Black and Jamie Clayton on Sense8.[3][4]']",I cannot answer from the given context.,,1.0,0.0,0.0
who sang in the movie i walk the line,"['The album consisted of Kermit and the other Muppets getting lost at a recording studio and encountering celebrities including Linda Ronstadt, with whom Kermit sang “All I Have to Do is Dream”, Vince Gill who sang “Daydream” with Kermit, Jimmy Buffett who sang “Mr.', ""I Think We're Gonna Need a Bigger Boat The album's title refers to a famous line from the 1975 Steven Spielberg movie Jaws."", ""She played Mama Cox in the 2007 film Walk Hard and played Ruby, Miley Stewart's maternal grandmother, in Hannah Montana: The Movie and Miss Elizabeth Ham in the movie Secretariat, starring Diane Lane."", 'My Heart Belongs to Daddy Martin sang it again in the 1940 movie Love Thy Neighbor.', ""Christian sang I Believe I Can Fly and Can't Take My Eyes Off You, and Kyla sang Emotions and a Barbra Streisand medley.""]",I cannot answer from the given context.,,0.0,0.0,0.0
when does the new season of lost in space come out,"['Lost in Space The fate of the castaways is never resolved, as the series was unexpectedly canceled at the end of season 3.[citation needed]', 'Unlike other television programs, the Judge Judy season finale does not air in April or May; rather, it airs in June, July, or August. When the season finale is extended to July or August, most of the summer episodes preceding it are repeats with new episodes that are few and far in-between.', 'Lost in Space (2018 TV series) Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course.', 'Dead space (physiology) Birds have a disproportionately large anatomic dead space (they have a longer and wider trachea than mammals the same size), reducing the airway resistance. This adaptation does not impact gas exchange because birds flow air through their lungs - they do not breathe in and out like mammals.[7]', ""(1969–86) By the time the season was over, George Best had finally walked out of United for good, playing his last match on New Year's Day 1974, although he did not actually leave the club until the following season when he was given a free transfer and signed for Stockport County.""]",I cannot answer from the given context.,,0.0,-0.0,0.9999999999
