user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
botulinum definition,"['medical Definition of botulinum toxin : a very powerful neurotoxin that causes botulism and is produced by the botulinum bacterium (Clostridium botulinum); also: botulinum toxin type a Note: Botulinum toxin acts primarily on the parasympathetic nervous system.', 'botulinum and E.', 'Also, botulinum toxin does not pass into breast milk.', 'Exotoxins have specific reaction sites in the host; e.g., tetanus and botulinum exotoxins affect nerve tissue, and streptococcal toxins attack vascular tissue.', 'There are five main kinds of botulism: 1  Foodborne botulism can happen by eating foods that have been contaminated with botulinum toxin. 2  Wound botulism can happen if the spores of the bacteria get into a wound and make a toxin. 3  Infant botulism can happen if the spores of the bacteria get into an infantâ\x80\x99s intestines.']",Botulinum toxin is a very powerful neurotoxin that causes botulism and is produced by the botulinum bacterium (Clostridium botulinum); it acts primarily on the parasympathetic nervous system.,,1.0,0.6895200203525457,0.0
central city definition,"['Definition of central city. : a city that constitutes the densely populated center of a metropolitan area.', 'Central Jersey. Central Jersey is the central region of the U.S. state of New Jersey. The designation of central New Jersey with a distinct toponym is a colloquial one rather than an administrative one, with no official definition and even a contentious taxonomic existence.', 'Muhlenberg County Parks and Recreation Beechmont Community Park Bremen Park Brizendine Brothers Nature Park Central Park Central City Convention Center Dunmor Park Gish Park John T.', 'Billboards can also be found around the city advertising for Metropolis, Central City, and Coast City (references to Superman, The Flash and Green Lantern).', 'Morelia (Spanish pronunciation: ; from 1545 to 1828 known as Valladolid) is a city and municipality in the north central part of the state of MichoacÃ¡n in central Mexico.']",A city that constitutes the densely populated center of a metropolitan area.,,1.0,0.0,0.0
hotels in thornton co,"['Econo Lodge Thornton -Denver North, a Thornton hotel near Downtown Denver. 1  For everything you need while on the road, book with our Econo LodgeÂ® Thornton-Denver North hotel in Thornton, CO near Downtown Denver to explore Colorado with ease. Visit these popular attractions near this pet-friendly discount hotel in Thornton during your stay in Colorado: Denver Botanic Gardens.', 'Monserrate Amegual, CO Chief Executive Officer, Excellence Group, Luxury Hotels and Resorts.', '5-star Hotels in Alexandria; 4-star Hotels in Alexandria; 3-star Hotels in Alexandria; Popular Amenities Alexandria Hotels with Pools; Pet Friendly Hotels in Alexandria; Popular Alexandria Categories Alexandria Cheap Hotels; Quiet Hotels in Alexandria; Near Landmarks Hotels near Alexandria Zoological Park; Hotels near Kent Plantation House', '5-star Hotels in Oldsmar; 3-star Hotels in Oldsmar; Near Landmarks Hotels near Oldsmar Library; Hotels near R.', 'Addis Ababa Attractions Addis Ababa Travel Forum Addis Ababa Photos Addis Ababa Guide All Addis Ababa Hotels; Addis Ababa Hotel Deals; Last Minute Hotels in Addis Ababa; By Hotel Type Business Hotels Addis Ababa; Spa Hotels in Addis Ababa; Family Hotels Addis Ababa; Luxury Hotels Addis Ababa; Best Value Hotels in Addis Ababa; Romantic Hotels Addis Ababa']","Econo Lodge Thornton -Denver North, a Thornton hotel near Downtown Denver. For everything you need while on the road, book with our Econo Lodge® Thornton-Denver North hotel in Thornton, CO near Downtown Denver to explore Colorado with ease. Visit these popular attractions near this pet-friendly discount hotel in Thornton during your stay in Colorado: Denver Botanic Gardens.",,1.0,0.6759866694063252,0.0
how bicycle tire tubes are sized,"['Inspect the sidewall of the bicycle tire that needs a new tube.', 'a UCI rule stating the length and the width of the bicycle tubes cannot exceed the ratio of 3:1.', 'Do not attempt to inflate the tire using a standard hand pump. Mounting and inflating tubeless bicycle tires requires a rapid burst of air pressure.', 'Rim (wheel) The rim is the outer edge of a wheel, holding the tire. It makes up the outer circular design of the wheel on which the inside edge of the tire is mounted on vehicles such as automobiles. For example, on a bicycle wheel the rim is a large hoop attached to the outer ends of the spokes of the wheel that holds the tire and tube.', 'How to use the Tire Repair kit to temporarily repair a tire: 1  Be aware of alerts from the Tire Pressure Monitoring System.']",I cannot answer from the given context.,,0.0,-0.0,0.0
"synonyms for the word, decline","['Synonyms for law in Free Thesaurus. Antonyms for law. 117 synonyms for law: constitution, code, legislation, charter, jurisprudence, the police, constabulary, the police force, law enforcement agency.... What are synonyms for law? Law synonyms, law antonyms - FreeThesaurus.com', 'The rate of the decline in entire arctic ice coverage is accelerating. From 1979â\x80\x931996, the average per decade decline in entire ice coverage was a 2.2% decline in ice extent and a 3% decline in ice area.', 'The thesaurus of synonyms and related words is fully integrated into the dictionary. Click on the thesaurus category heading under the button in an entry to see the synonyms and related words for that meaning.', 'The thesaurus of synonyms and related words is fully integrated into the dictionary. Click on the thesaurus category heading under the button in an entry to see the synonyms and related words for that meaning.', 'The thesaurus of synonyms and related words is fully integrated into the dictionary. Click on the thesaurus category heading under the button in an entry to see the synonyms and related words for that meaning.']",I cannot answer from the given context.,,1.0,0.0,0.0
causes for uti in women,"['Funny how this calcium that they push on women for osteoporosis also causes breast cancer, another problem for women.', 'in many cases gbs colonization of the urinary tract in women probably occurs by an ascending route from the vagina where gbs can persist asymptomatically gbs is cultured from approximately 2 % of all uti cases de mouy et al 2007 munoz et al 1992 persson et al 1988', 'Healing Nutrition for UTI and Bladder Infections.', 'Polycystic ovary syndrome, or PCOS, is a hormonal condition that affects women of reproductive age. Women with PCOS typically have many small cysts within the ovaries. PCOS causes hormonal imbalances that can lead to excess body hair, acne, and insulin resistance, which can cause weight gain. In PCOS, the weight gain tends to occur in the abdominal area, increasing the risk for heart disease.', 'A UTI is an infection anywhere in the urinary tract.']",I cannot answer from the given context.,,0.0,-0.0,0.0
how long does respite last,"['How long does sour cream last outside of the refrigerator?', 'We asked you last week how long does your iPhone 6s last on average according to your unscientific observations.', 'Poll results: How long does your iPhone 6s battery last on average?', 'Thread: How long does Norovirus last? How long does Norovirus last?', 'How Long Does Lyme Disease Last ? Lyme disease is caused by the bite of a tick on humans.']",I cannot answer from the given context.,,1.0,0.0,0.0
task definition,"['The definition of sisyphean is a task that is endless and cannot ever be completed. An example of a Sisyphean task is a task that will never be done no matter how long you work at it. Sisyphean', 'Nursesâ\x80\x99 responsibilities for tasks delegated to them by a medical provider include direction and competence to perform the task with consultation and supervision of the medical provider. The law goes on to define the responsibilities involved in the process of delegation of a nursing task to someone less skilled. Delegation of a nursing task involves assessment of the knowledge and skill level of those supervised, providing direction, assistance, observation and', 'The Hawaii Five-0 Task Force is a government task force in Hawaii which was created by Governor Patricia Jameson in an attempt to rid the Hawaiian Islands of crime, corruption and murder as well as any and all threats of terrorism.', 'Army Southern European Task Force was activated.', 'Lighting is classified by intended use as general, accent, or task lighting, depending largely on the distribution of the light produced by the fixture. 1  Task lighting is mainly functional and is usually the most concentrated, for purposes such as reading or inspection of materials.']",I cannot answer from the given context.,,0.0,0.0,0.0
technology working group definition,"['2.0 Promoter Group technical working groups.', 'According to Medscape, endocrinologists practicing in a single specialty group practice earned the highest average compensation in 2012, at $188,000 per year. They were followed closely by those working in multispecialty group practices, who earned an average of $179,000.Those working in solo private practices averaged $163,000 per year, while endocrinologists who taught in colleges and professional schools averaged $164,000 per year.hey were followed closely by those working in multispecialty group practices, who earned an average of $179,000. Those working in solo private practices averaged $163,000 per year, while endocrinologists who taught in colleges and professional schools averaged $164,000 per year.', 'This definition appears very rarely and is found in the following Acronym Finder categories: Information technology (IT) and computers.', '2  Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change).', 'Working in a team oriented environment can be tough, especially when each person in the group wants to implement their best ideas, show their worth to the group and have a strong impact on the project and company as a whole.']",I cannot answer from the given context.,,0.0,0.0,0.0
temperature in clearwater florida per month,"['Clearwater Beach: Annual Weather Averages. January is the hottest month in Clearwater Beach with an average temperature of 59 Â°F (15 Â°C) and the coldest is January at 59 Â°F (15 Â°C). Average Temperature: Clearwater Beach Loading weather data.', 'Days per month in Clearwater of at least 70, 80 or 90 Â°F.', 'Florida Temperatures in July. Typical temperatures for places in Florida during the month of July are listed below.', 'The wettest month is August with an average of 121mm of rain.The best month to swim in the sea is in August when the average sea temperature is 28Â°C (82Â°F).he wettest month is August with an average of 121mm of rain. The best month to swim in the sea is in August when the average sea temperature is 28Â°C (82Â°F).', 'In the month of february, the mean temperature in Addu Atoll is 30Â°C (maximum temperature is 31Â°C and minimum temperature is 29Â°C).']",I cannot answer from the given context.,,0.0,-0.0,0.0
