query_id,question,contexts_shown,answer,context_relevance,answer_faithfulness,answer_relevance
test2482,where is the world cup being held 2018,"[1] 2018 FIFA World Cup The 2018 FIFA World Cup will be the 21st FIFA World Cup, a quadrennial international football tournament contested by the men's national teams of the member associations of FIFA. It is scheduled to take place in Russia from 14 June to 15 July 2018,[2] after the country was awarded the hosting rights on 2 December 2010. This will be the first World Cup held in Europe since the 2006 tournament in Germany; all but one of the stadium venues are in European Russia, west of the Ural Mountains, to keep travel time manageable.

[2] 2018 Men's Hockey World Cup The 2018 Men's Hockey World Cup will be the 14th edition of the Hockey World Cup field hockey tournament. It is scheduled to be held from 28 November to 16 December 2018, at the Kalinga Stadium in Bhubaneswar, India.[1]

[3] 2018 FIFA World Cup qualification – UEFA Group A The draw for the first round (group stage) was held as part of the 2018 FIFA World Cup Preliminary Draw on 25 July 2015, starting 18:00 MSK (UTC+3), at the Konstantinovsky Palace in Strelna, Saint Petersburg, Russia.[1][2]

[4] 2018 FIFA World Cup qualification (CONCACAF) The draw for the third round was held as part of the 2018 FIFA World Cup Preliminary Draw on 25 July 2015, starting 18:00 MSK (UTC+3), at the Konstantinovsky Palace in Strelna, Saint Petersburg, Russia.[12]

[5] Chess World Cup 2017 The Chess World Cup 2017 was a 128-player single-elimination chess tournament, held in Tbilisi, Georgia, from 2 to 27 September 2017. It was won by Armenian grandmaster Levon Aronian. This was the second time he had won the Chess World Cup, 12 years after his first win in 2005.",The 2018 FIFA World Cup is scheduled to take place in Russia.,,,
test485,when does a wrinkle in time come out in canada,"[1] A Wrinkle in Time (2018 film) Principal photography began on November 2, 2016, in Los Angeles, California. With a production budget of over $100 million, the film became the first live-action film with a nine-digit budget to be directed by a woman of color. A Wrinkle in Time premired at the El Capitan Theatre on February 26, 2018, and with a theatrical release on March 9, 2018, through the Disney Digital 3-D, Real D 3D, and IMAX formats.[6] The film received mixed reviews, with critics ""taking issue with the film's heavy use of CGI and numerous plot holes"" while ""celebrating its message of female empowerment and diversity"",[7] and has grossed $124 million worldwide against a break-even point of $400 million, thus being a box office bomb.[8][9]

[2] A Wrinkle in Time (2003 film) A Wrinkle in Time was released on DVD November 16, 2004 by Buena Vista Home Entertainment. The special features included deleted scenes, a ""behind the scenes"" segment, and a ""very rare"" interview with Madeleine L'Engle who discusses the novel.[4]

[3] A Wrinkle in Time Charles Wallace is the youngest Murry child, being five years old. He is very smart and is the most extraordinary and the most vulnerable of the novel's human characters, and the youngest to journey to Camazotz. Charles Wallace did not talk at all until he was nearly four years old, at which time he began to speak in complete sentences. Now five years old, Charles Wallace speaks only to his family, but can empathically or telepathically ""read"" certain people's thoughts and feelings, and above that has an extraordinary vocabulary. A biological ""sport,"" he is intellectually curious, loving, and unfazed by extraordinary people and events. He was the first to meet the Mrs Ws and brought Meg to see them. Initially able to block IT out of his mind, he opens his mind to the Man with Red Eyes and thus falls under IT's control.

[4] A Wrinkle in Time Mrs Which's physical appearance is not set; she appears as a shimmering light most of the time. However, she does once take on the appearance of a traditional witch, complete with black hat and broom. She does not stay long in this form, though, as corporeal appearance is quite difficult for her to maintain. She first appears at the end of Chapter 3. She is the clear leader of the three women and the wisest, and upon appearing, immediately demonstrates her vast knowledge of understanding in tesseract travel. Her distinguishing quirk is her long, drawn-out method of speech, symbolized by doubled and tripled consonants in her words (as in; ""Nnoww, cchilldrenn, yyou musstt nott bee frrightennedd att whatt iss ggoingg tto hhappenn,""). She is the one who usually provides the group, most especially Meg, with the clues the children need to solve the problems encountered during their travels.

[5] Mary Magdalene (2018 film) In February 2016, it was announced Focus Features will distribute the film worldwide except for New Zealand and Australia, where The Weinstein Company and Transmission Films will distribute, respectively.[16] It was originally scheduled to be released in the United States and Canada on November 24, 2017.[17] In August 2017, the release was pushed back to March 30, 2018,[18] In January 2018, it was pulled from the schedule.[19] In March 2018, it was announced The Weinstein Company would no longer distribute the film, and the producers were attempting to find another distributor to release the film.[20]",I cannot answer from the given context.,,,
test2574,where is hallmark channel home and family filmed,"[1] Home and Family Home and Family is a two-hour daily Hallmark series, recorded one day prior, in Los Angeles, California. Steines said that the decision for that was made to encourage actors to be on the show, without having to wake at 4:00Â a.m. The focus of the show is simply entertainment and tips within a ""wholesome image"".[2] They refrain from discussions on current events or politics as well as censor themselves in speech, such as the word ""breast"" is not allowed to be used.[2]

[2] The Family (2013 film) Filming took place in the locations of both Gacé and Le Sap in Normandy,[15] and in New York City. Some of the filming also took place L'Aigle and at Cité du Cinéma in Saint-Denis for 1 month.

[3] Hallmark Channel The network's made-for-TV movies are characterized as family-friendly and inspirational, ranging from holiday-themed films to westerns. In the early stages of the channel's development, Hallmark Channel had a steady one-movie-a-month, or 12-a-year, production schedule with the films mainly being produced by RHI Entertainment. However, in 2008, Crown Media had ramped up its production schedule to approximately 30 movies a year and opened up to other production companies, though RHI still produces some movies for Hallmark Channel.[16] The network premiered 35 original movies during the period from 2009 to 2010.[17] Hallmark Channel released 25 television movies during the 2011 calendar year.

[4] Sarah, Plain and Tall (film) Sarah, Plain and Tall is an American television film in the Hallmark Hall of Fame anthology series. It first aired in February 1991. It is the first of three installments in the film adaptation of Patricia MacLachlan's novel of the same name. Location shots were filmed in Grand Island, NE for the town, church, and railway scenes.

[5] The Addams Family (1964 TV series) The Addams Family was originally produced by head writer Nat Perrin for Filmways, Inc. at General Service Studios in Hollywood, California. Successor company MGM Television (via The Program Exchange for broadcast syndication and 20th Century Fox Home Entertainment for home video/DVD) now owns the rights to the show.","Home and Family is filmed in Los Angeles, California.",,,
test1114,when does star trek discovery air on tv,"[1] Star Trek: Discovery Star Trek: Discovery premiered on September 19, 2017, at ArcLight Hollywood, before debuting on CBS and CBS All Access on September 24. The rest of the 15-episode first season was streamed weekly on All Access. The series' release led to record subscriptions for All Access, and positive reviews from critics who highlighted Martin-Green's performance. A second season was ordered in October 2017.

[2] Endgame (Star Trek: Voyager) ""Endgame"" is the series finale of the American science fiction television series Star Trek: Voyager, episodes 25 and 26 of the seventh season and 171 and 172 in the overall series. It was originally shown May 23, 2001, on the UPN network as a double-length episode and later presented as such in DVD collections, but it is shown in syndicated broadcasts as a two-part story.

[3] Star Trek Into Darkness By 2010, a release date of June 29, 2012, was set,[22] with Lindelof announcing he had begun working on the script with Kurtzman and Orci.[23] Pre-production was set for January 2011, although Burk said actual filming would probably begin during the spring or summer.[24] Actor Zachary Quinto later said that these reports were untrue.[25] Lindelof compared the sequel to The Dark Knight.[26]

[4] Star Trek: The Motion Picture Released in North America on December 7, 1979, Star Trek: The Motion Picture received mixed reviews from critics, many of whom faulted the film for its lack of action scenes and over-reliance on special effects. Its final production cost ballooned to approximately $46 million, and earned $139 million at the worldwide box office, falling short of studio expectations, but enough for Paramount to propose a cheaper costing sequel. Roddenberry was forced out of creative control for production of the film's 1982 sequel, Star Trek II: The Wrath of Khan. In 2001, Wise oversaw a director's cut for a special DVD release of the film, with remastered audio, tightened and added scenes, and new computer-generated effects.

[5] Discovery Channel On January 4, 2006, Discovery Communications announced anchor Ted Koppel, executive producer Tom Bettag and eight other former staff members from the ABC newsmagazine Nightline were joining Discovery Channel. The network was nominated for seven Primetime Emmy Awards that year for shows including The Flight that Fought Back (a documentary about the hijacking of United Airlines Flight 93 during the terrorist attacks of September 11, 2001) and Deadliest Catch (a reality series about a group of seafood fishermen).","Star Trek: Discovery premiered on September 24, 2017, on CBS and CBS All Access.",,,
test724,where did german immigrants settled in the 1800s,"[1] German Americans None of the German states had American colonies. In the 1670s, the first significant groups of German immigrants arrived in the British colonies, settling primarily in Pennsylvania, New York, and Virginia. Immigration continued in very large numbers during the 19th century, with eight million arrivals from Germany. Between 1820 and 1870 over seven and a half million German immigrants came to the United Statesâ€”more than doubling the entire population of the country. By 2010, their population grew to 49.8 million immigrants, reflecting a jump of 6 million people since 2000.

[2] German Americans German immigrants who arrived before the 19th century tended to have been members of the Evangelical Lutheran Churches in Germany, and created the Lutheran Synods of Pennsylvania, North Carolina and New York. The largest Lutheran denominations in the U.S. today—the Evangelical Lutheran Church in America, the Lutheran Church–Missouri Synod, and the Wisconsin Evangelical Lutheran Synod—are all descended from churches started by German immigrants among others. Calvinist Germans founded the Reformed Church in the United States (especially in New York and Pennsylvania), and the Evangelical Synod of North America (strongest in the Midwest), which is now part of the United Church of Christ. Many immigrants joined different churches from those that existed in Germany. Protestants often joined the Methodist church.[25] In the 1740s, Count Nicolas von Zinzendorf tried to unite all the German-speaking Christians—(Lutheran, Reformed, and Separatists)—into one ""Church of God in the Spirit"". The Moravian Church in America is one of the results of this effort, as are the many ""Union"" churches in rural Pennsylvania.

[3] Milwaukee Milwaukee began to grow as a city as high numbers of immigrants, mainly German, made their way to Wisconsin during the 1840s and 1850s. Scholars classify German immigration to the United States in three major waves, and Wisconsin received a significant number of immigrants from all three. The first wave from 1845 to 1855 consisted mainly of people from Southwestern Germany, the second wave from 1865 to 1873 concerned primarily Northwestern Germany, while the third wave from 1880 to 1893 came from Northeastern Germany.[20] In the 1840s, the number of people who left German-speaking lands was 385,434, in the 1850s it reached 976,072, and an all-time high of 1.4 million emigrated in the 1880s. In 1890, the 2.78 million first-generation German Americans represented the second largest foreign-born group in the United States. Of all those who left the German lands between 1835 and 1910, 90 percent went to the United States, most of them traveling to the Mid-Atlantic states and the Midwest.[20]

[4] Germany–United Kingdom relations Ideas flowed back and forth between the two nations.[1] Refugees from Germany's repressive regimes often settled in Britain, most notably Karl Marx and Friedrich Engels. Advances in technology were shared, as in chemistry.[15] Over 100,000 German immigrants also came to Britain. Germany was perhaps one of the world's main centres for innovative social ideas in the late 19th and the early 20th centuries. The British Liberal welfare reforms, around 1910, led by the Liberals H. H. Asquith and David Lloyd George, adopted Bismarck's system of social welfare.[16] Ideas on town planning were also exchanged.[17]

[5] German language in the United States German became the second most widely spoken language in the U.S. starting with mass emigration to Pennsylvania from the German Palatinate and adjacent areas starting in the 1680s, all through the 1700s and to the early 20th century. It was spoken by millions of immigrants from Germany, Switzerland, and the Austro-Hungarian and Russian Empires, and their descendants. Many newspapers, churches and schools operated in German as did many businesses. The use of the language was strongly suppressed by social and legal means during World War I, and German declined as a result, limiting the widespread use of the language mainly to Amish and Old Order Mennonite communities. After the First World War, German lost its position as the second most widely spoken language in the United States.[9][10]","German immigrants settled primarily in Pennsylvania, New York, and Virginia during the 1800s.",,,
test2741,where do refugees come from to australia 2017,"[1] Asylum in Australia In the mid-1990s, numerous boats carrying Chinese and Sino-Vietnamese refugees were returned to their place of origin after asylum claims were denied. The rapid repatriations meant that many citizens were unaware of the refugees.[24] During this period a refugee from Indonesia was detained for 707 days before being granted refugee status.[25]

[2] Asylum in Australia In 2015, the government of Tony Abbott rejected suggestions that it would accept Rohingyas (a persecuted Muslim minority in Myanmar) during the Rohingya refugee crisis, with the Prime Minister responding ""Nope, nope, nope. We have a very clear refugee and humanitarian program"".[45] However, later in the year the government unexpectedly increased its intake of refugees to accommodate persecuted minorities (such as Maronites, Yazidis and Druze) from the conflicts of the Syrian Civil War and Iraq War.[46][47]

[3] Australia (continent) Migration brought large numbers of southern and central Europeans to Australia for the first time. A 1958 government leaflet assured readers that unskilled non-British migrants were needed for ""labour on rugged projects ...work which is not generally acceptable to Australians or British workers.""[65] Australia fought on the side of Britain in the two world wars and became a long-standing ally of the United States when threatened by Imperial Japan during World War II. Trade with Asia increased and a post-war immigration program received more than 6.5 million migrants from every continent. Supported by immigration of people from more than 200 countries since the end of World War II, the population increased to more than 23 million by 2014.[66]

[4] Presidency of Donald Trump On January 27, 2017, Trump signed an executive order which indefinitely suspended admission of asylum seekers fleeing the Syrian Civil War, suspended admission of all other refugees for 120 days, and denied entry to citizens of Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen for 90 days. The order also established a religious test for refugees from Muslim nations by giving priority to refugees of other religions over Muslim refugees.[411] Later, the administration seemed to reverse a portion of part of the order, effectively exempting visitors with a green card.[412][413] After the order was challenged in the federal courts, several federal judges issued rulings enjoining the government from enforcing the order.[413] On January 30, Trump fired acting Attorney General Sally Yates after she stated she would not defend the order in court; Yates was replaced by Dana Boente, who stated the Justice Department would defend the order.[414]

[5] Immigration to New Zealand An influx of Jewish refugees from central Europe came in the 1930s.",I cannot answer from the given context.,,,
test2587,who won women's singles us open 2017,"[1] 2017 US Open – Women's Singles Sloane Stephens won her first Grand Slam title, defeating Madison Keys in the final, 6–3, 6–0.[2] It was the first all-American women's final at the US Open since 2002, and the second time in three years that the final featured two first-time Grand Slam singles finalists from the same country. Stephens became the second unseeded woman in the Open era to win the US Open after Kim Clijsters in 2009.[3][4]

[2] 2017 French Open – Women's Singles Garbiñe Muguruza was the defending champion, but lost to Kristina Mladenovic in the fourth round. Muguruza's defeat—along with those of Svetlana Kuznetsova, Venus Williams and Samantha Stosur in the same round—ensured that for the first time in a Grand Slam tournament since the 1979 Australian Open, none of the quarterfinalists were former Grand Slam champions.[1][2]

[3] 2013 US Open – Women's Singles Serena Williams was the defending champion, and she successfully defended her title, defeating Victoria Azarenka in the final for second year in a row. By winning the tournament, Williams won her fifth US open crown and her seventeenth grand slam title.[1][2][3]

[4] 2018 US Open – Women's Singles final Williams, in her post-match press conference, raised the gender issue again, saying that the violations made her ""feel like it was a sexist remark"", reasserting that men have said worse things on court without violation, and drawing upon an earlier controversy in the tournament where Alizé Cornet was given a code violation for taking off her on-court (an action male players frequently do), as an example of double standards between men and women in tennis. She alluded to her actions being part of her role to stand up for women's rights and equality, and vowed to continue, a statement which drew both isolated applause and murmurs from the attendees.

[5] 2017 Wimbledon Championships Andy Murray was the defending champion in the Gentlemen's singles but lost to Sam Querrey in the quarter-finals. Two-time defending Ladies' singles champion Serena Williams did not defend her title, having ended her season in April due to pregnancy.[3]",Sloane Stephens won the women's singles US Open in 2017.,,,
test867,who played the reverend mother in sound of music,"[1] Peggy Wood Her final screen appearance was as the gentle, wise Mother Abbess in The Sound of Music (1965), for which she was nominated for the Academy Award for Best Supporting Actress and the Golden Globe Award for Best Supporting Actress - Motion Picture. She was thrilled to be in the movie although she knew that she could no longer sing ""Climb Ev'ry Mountain"". She was dubbed (for singing) by Margery McKay. In her autobiography, Marni Nixon, who appeared in the film as Sister Sophia, said Peggy especially liked McKay's singing voice because she sounded as Peggy did in her younger days.

[2] Old Mother Riley Old Mother Riley was a music hall act which originally ran from about 1934 to 1954 played by Arthur Lucan, and from 1954 to the 1980s played by Roy Rolland.[1][2]

[3] Peggy Wood Mary Margaret ""Peggy"" Wood (February 9, 1892 – March 18, 1978) was an American actress of stage, film, and television. She is best remembered for her performance as the title character in the CBS television series Mama (1949–1957), for which she was nominated for a Primetime Emmy Award for Outstanding Lead Actress in a Drama Series; her starring role as Naomi, Ruth's mother-in-law, in The Story of Ruth (1960); and her final screen appearance as Mother Abbess in The Sound of Music (1965), for which she was nominated for an Academy Award and a Golden Globe Award.

[4] The Sound of Music (song) Renée Zellweger performs the song in the 2004 film Bridget Jones: The Edge of Reason.

[5] The Sound of Music (film) Rehearsals for the singing and dance sequences began on February 10, 1964.[37] The husband-and-wife team of Marc Breaux and Dee Dee Wood, who had worked with Andrews on Mary Poppins, worked out the choreography with Saul Chaplin on piano—the arrangements could not be altered under Rodgers and Hammerstein's contract.[38] The stage choreography was not used because it was too restrictive.[39] Breaux and Wood worked out all new choreography better suited for film that incorporated many of the Salzburg locations and settings.[39] They even choreographed the newly added puppet dance sequence for ""The Lonely Goatherd"".[40] The choreography for the Ländler strictly followed the traditional Austrian folk dance.[39] The musical arranger Irwin Kostal prerecorded the songs with a large orchestra and singers on a stage prior to the start of filming.[41] In her book, The Sound of Music: The Making of America's Favorite Movie, Julia Antopol Hirsch says that Kostal used seven children and five adults to record the children's voices; the only scene where the child-actors actually sing is when they sing ""The Sound of Music"" on their own after Maria leaves.[42] Charmian Carr refuted the claim that the voices of the child actors were dubbed in the film and on the soundtrack. Carr contended that all of the children who are in the film sing on the track, but four other children were added to most of the songs to give them a fuller sound, they did not replace them as singers.[43] The voices of some of the adult actors had",Peggy Wood played the reverend mother in The Sound of Music.,,,
test434,where is the light between two oceans filmed,"[1] The Light Between Oceans (film) Principal photography started in September 2014, with filming locations in New Zealand and Australia.[17][18][19] Filming took place in Dunedin, Port Chalmers[20] and on the Otago Peninsula, Saint Bathans in Central Otago and at the Cape Campbell Lighthouse in Marlborough.[21] Filming sites included the former Dunedin Prison in Dunedin[22] and Stuart Street at the former King Edward Technical College building.[23]

[2] Ex Machina (film) Principal photography began on 15 July 2013[17] and was shot over four weeks at Pinewood Studios and two weeks at Juvet Landscape Hotel in Valldalen, Norway.[18] It was filmed in digital at 4K resolution.[19] 15,000 mini-tungsten pea bulb lights were installed into the sets to avoid the fluorescent light often used in science fiction films.[20]

[3] Ellie Darcey-Alden According to Darcey-Alden and Clarke at a 2013 LeakyCon cast junket in London, production alternated between sets at Leavesden Studios and on location shooting by the River Lea in the gardens of Hatfield Park near Hatfield Houseâ€”both set in Hertfordshire, respectively. Of the river scene in particular, Clarke elaborated by saying:

[4] Pirates of the Caribbean: At World's End Filming resumed on August 3, 2006 at the Bonneville Salt Flats in Utah[18] for 70 days off the California coast, as all the shooting required in the Caribbean had been conducted in 2005.[19] Davy Jones's Locker was shot at Utah, and it was shot in a monochromatic way to represent its different feeling from the usual colorful environment of a pirate.[20] The climactic battle was shot in a former air hangar at Palmdale, California,[21] where the cast had to wear wetsuits underneath their costumes on angle-tipped ships. The water-drenched set was kept in freezing temperatures, to make sure bacteria did not come inside and infect the crew.[22] A second unit shot at Niagara Falls.[23] Industrial Light & Magic did 750 effects shots, while Digital Domain also took on 300. They spent just five months finishing the special effects. The film posed numerous challenges in creating water-based effects.[24]

[5] The Waterboy The Waterboy was mostly filmed in the Central Florida and Orlando area as well as around Daytona Beach, DeLand, Florida, Lakeland, Florida, and surrounding areas.","The Light Between Oceans was filmed in New Zealand and Australia, specifically in Dunedin, Port Chalmers, the Otago Peninsula, Saint Bathans in Central Otago, and at the Cape Campbell Lighthouse in Marlborough.",,,
test3125,who sings gimme shelter with mick jagger,"[1] Bonnie Bramlett In 1969, The Rolling Stones originally asked Bonnie to sing a duet with Mick Jagger on their now-infamous song ""Gimme Shelter"", but Bramlett's husband, Delaney, refused to let her perform with the Stones.[3] The Stones then asked soul and gospel singer Merry Clayton to sing on the track. It remains the most prominent contribution to a Rolling Stones track by a female vocalist.[4]

[2] Merry Clayton Merry Clayton (born December 25, 1948) is an American soul and gospel singer and an actress. She provided a number of backing vocal tracks for major performing artists in the 1960s, most notably in her duet with Mick Jagger on the Rolling Stones song ""Gimme Shelter.""[1] Clayton is featured in 20 Feet from Stardom, the Oscar-winning documentary about background singers and their contributions to the music industry. In 2013, she released The Best of Merry Clayton, a compilation of her favorite songs.

[3] Gimme Gimme Good Lovin' ""Gimme Gimme Good Lovin'"" is a song written by Joey Levine and Ritchie Cordell and performed by Crazy Elephant. It reached #12 on the Billboard Hot 100 and on the UK Singles Chart in 1969.[1] The song was featured on their 1969 album, Crazy Elephant.[2]

[4] Ruby Tuesday (song) ""That's a wonderful song,"" Mick Jagger told Jann Wenner in 1995. ""It's just a nice melody, really. And a lovely lyric. Neither of which I wrote, but I always enjoy singing it.""[6] Bill Wyman states in Rolling with the Stones that the lyrics were completely written by Keith Richards with help from Brian Jones on the musical composition.[pageÂ needed] However, Marianne Faithfull recalls it differently; according to her, Brian Jones presented an early version of this melody to the rest of the Rolling Stones.[7] According to Victor Bockris, Richards came up with the basic track and the words and finished the song with Jones in the studio.[8]

[5] Nobody Does It Better The group Me First and the Gimme Gimmes included a punk rock cover of the song on their 1997 album Have a Ball.","Merry Clayton sings ""Gimme Shelter"" with Mick Jagger.",,,
