user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
nitty gritty dirt band fishin in the dark album,"['Fishin\' in the Dark ""Fishin\' in the Dark"" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band.', 'He also had a short stint with the Nitty Gritty Dirt Band in the late 1980s.', 'Dark Is the Way, Light Is a Place Drew Beringer of AbsolutePunk rated the album a 90 out of 100-percent, highlighting how the release contains ""engaging rock and roll album anyone can relate to"" that also ""will serve as the perfect companion.""[13] At Kerrang!, they rated the album three stars out of five, saying how Anberlin with respect to this release ""get it right, returning to form with a combination of heartfelt bombast, big choruses and bona fide hooks.""[21] Adam Thomas of Sputnikmusic rated the album four stars out of five, stating how the release is no masterpiece but still further solidifies the band ""at the top of the US radio-rock universe.""[27] At Mojo, they rated the album two stars out of five, cautioning how ""Listeners outside their target teen demographic will find all this painfully sincere emoting pretty joyless.""[24] Essi Berelian over at Classic Rock rated the album a six out of ten.[28]', ""The Dark Side of the Moon One of the more notable covers of The Dark Side of the Moon is Return to the Dark Side of the Moon: A Tribute to Pink Floyd. Released in 2006, the album is a progressive rock tribute featuring artists such as Adrian Belew, Tommy Shaw, Dweezil Zappa, and Rick Wakeman.[137]  In 2000, The Squirrels released The Not So Bright Side of the Moon, which features a cover of the entire album.[138][139]  The New York dub collective Easy Star All-Stars released Dub Side of the Moon in 2003[140] and Dubber Side of the Moon in 2010.[141] The group Voices on the Dark Side released the album Dark Side of the Moon a Cappella, a complete a cappella version of the album.[142]  The bluegrass band Poor Man's Whiskey frequently play the album in bluegrass style, calling the suite Dark Side of the Moonshine.[143]  A string quartet version of the album was released in 2004.[144]  In 2009, The Flaming Lips released a track-by-track remake of the album in collaboration with Stardeath and White Dwarfs, and featuring Henry Rollins and Peaches as guest musicians.[145]"", 'That\'s kind of what the band always needed.""[59] On March 18, 2015, a new single entitled ""Failure"" as well as a new album, Dark Before Dawn, were announced for release on March 23 and June 23, respectively.[60]']",I cannot answer from the given context.,,1.0,0.0,0.0
when is the new tappan zee bridge going to be finished,"['Tappan Zee Bridge (2017–present) Tappan Zee Constructors began construction in 2013.', ""Tappan Zee Bridge (2017–present) Originally, some motorists thought that bridge tolls could more than double (to $12-$15 for automobiles, eastbound only), rising to those of New York City's Hudson River crossings.[5] However, the state passed legislation freezing the toll on the bridge at $5 through 2020 in its 2016 legislative session.[16]"", 'Tappan Zee Constructors then began demolishing the old bridge.', 'The goal of the project, which is due for completion in 2017, is to make the cathedral look as it would have done when finished in the 13th century.', 'Tempe Town Lake In 2014 Tempe began construction on a new dam 100 feet (30\xa0m) west of the current dam, to be completed over 18 months and finished in late 2015.']",I cannot answer from the given context.,,0.0,-0.0,0.0
when did they stop cigarette advertising on television,"[""Tobacco advertising After World War II, cigarette companies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act.[8] Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel.[9] The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.[10]"", 'Electronic cigarette A 2014 review said, ""the e-cigarette companies have been rapidly expanding using aggressive marketing messages similar to those used to promote cigarettes in the 1950s and 1960s.""[23] E-cigarettes and nicotine are regularly promoted as safe and beneficial in the media and on brand websites.[148] While advertising of tobacco products is banned in most countries, television and radio e-cigarette advertising in some countries may be indirectly encouraging traditional cigarette smoking.[23] There is no evidence that the cigarette brands are selling e-cigarettes as part of a plan to phase out traditional cigarettes, despite some claiming to want to cooperate in ""harm reduction"".[23] In the US, six large e-cigarette businesses spent $59.3 million on promoting e-cigarettes in 2013.[246] Easily circumvented age verification at company websites enables young people to access and be exposed to marketing for e-cigarettes.[45]', 'Rosario Salazar In 1985, Rosario met Karen Walker at a club, while working as a cigarette lady, and went to work for her as a maid, which was where she was working when the series began in 1998.', 'brands, similarly suspended their advertising on YouTube in response to their advertising appearing near offensive content. Google stated that it had ""begun an extensive review of our advertising policies and have made a public commitment to put in place changes that give brands more control over where their ads appear"".[331][332] In early-April 2017, the YouTube channel h3h3Productions presented evidence claiming that a Wall Street Journal article had fabricated screenshots showing major brand advertising on an offensive video containing Johnny Rebel music overlaid on a Chief Keef music video, citing that the video itself had not earned any ad revenue for the uploader. The video was retracted after it was found that the ads had actually been triggered by the use of copyrighted content in the video.[333][334]', '3D television Fewer and fewer 3D TVs were sold and soon TV manufactures stopped making them. Vizio stopped production in 2014 and was followed by others.[90] In January 2017, the last two major television manufacturers still producing 3D televisions, Sony and LG, announced they would stop all 3D support.[1]']","Cigarette advertising on television stopped on January 2, 1971.",,1.0,0.9364596498646833,0.0
when did the us take over wake island,"['Wake Island On January 17, 1899, under orders from President William McKinley, Commander Edward D.', 'Wake Island With the annexation of Hawaii in 1898 and the seizure of Guam and the Philippines during the Spanish–American War that same year, the United States began to consider unclaimed and uninhabited Wake Island, located approximately halfway between Honolulu and Manila, as a good location for a telegraph cable station and coaling station for refueling warships of the rapidly expanding United States Navy and passing merchant and passenger steamships.', 'Wake Island In the early 1980s the National Park Service conducted an evaluation of Wake Island to determine if the World War II (WWII) cultural resources remaining on Wake, Wilkes and Peale were of national historical significance. As a result of this survey, Wake Island was designated as a National Historic Landmark (NHL) on September 16, 1985, helping to preserve sites and artifacts on the atoll associated with WWII in the Pacific and the transpacific aviation era prior to the war. As a National Historic Landmark, Wake Island was also included in the National Register of Historic Places.[72]', 'Taussig of USSÂ\xa0Bennington landed on Wake and formally took possession of the island for the United States.', 'Greene of the 2nd Brigade, Philippine Expeditionary Force, of the Eighth Army Corps, stopped at Wake Island and raised the American flag while en route to the Philippines on the steamship liner SS China.[24]']",I cannot answer from the given context.,,0.5,-0.0,0.0
what event provoked congress to propose the eleventh amendment and the states to ratify it,"[""Eleventh Amendment to the United States Constitution The Eleventh Amendment (Amendment XI) to the United States Constitution, which was passed by Congress on March 4, 1794, and ratified by the states on February 7, 1795, deals with each state's sovereign immunity and was adopted to overrule the U.S."", 'Privileges or Immunities Clause Congress gave final approval to the Privileges or Immunities Clause when the House proposed the Fourteenth Amendment to the states for ratification on June 13, 1866. There was much discussion of this proposed clause as the amendment awaited ratification by the states.', 'Titles of Nobility Amendment On February 1, 1865, the 38th Congress passed and sent to the states for ratification a proposed amendment that would become the Thirteenth Amendment, which abolished slavery.[19][20] When it was proposed and adopted, no one protested that there already was a Thirteenth Amendment â€“ either the 1810 or the 1861 proposals.', 'Eleventh Amendment to the United States Constitution The Eleventh Amendment was the first Constitutional amendment adopted after the Bill of Rights.', 'Article One of the United States Constitution In addition to statutory constraints, Congress and the States have altered the electoral process through amending the Constitution (first in the above mentioned Fifteenth Amendment). The Seventeenth Amendment altered the manner of conducting the elections of Senators; establishing that they are to be elected by the people of the states.']",I cannot answer from the given context.,,0.0,0.0,0.0
what is the meaning of the dragon boat festival,"['Dragon Boat Festival The Duanwu Festival, also often known, especially in the West, as the Dragon Boat Festival, is a traditional holiday originating in China, occurring near the summer solstice.', 'The game ends with a still image of the boat and the Dragon Knife in the beach while the credits roll.', 'The Skye Boat Song ""The Skye Boat Song"" is a modern Scottish song which has entered into the folk canon in recent times.', ""The festival now occurs on the 5th day of the 5th month of the traditional Chinese calendar, which is the source of the festival's alternative name, the Double Fifth Festival.[1] The Chinese calendar is lunisolar, so the date of the festival varies from year to year on the Gregorian calendar."", 'Chinese New Year Chinese New Year,[a][2] also known as the Spring Festival in modern China,[b] is an important Chinese festival celebrated at the turn of the traditional lunisolar Chinese calendar.']",I cannot answer from the given context.,,0.0,0.0,0.9999999999
when was theme from a summer place released,"['Theme from A Summer Place Percy Faith recorded the most popular version of the theme, an instrumental orchestral arrangement, at the Columbia 30th Street Studio in New York City.[2] It was released in September 1959 as a single on Columbia Records, credited to ""Percy Faith and his Orchestra,"" prior to the November 1959 release of the film A Summer Place.[1]', 'Theme from A Summer Place Following its initial film appearance, the theme has been recorded by many artists in both instrumental and vocal versions, and has also appeared in a number of subsequent films and television programs.', 'During the summer of 1952, spent at East Hampton, de Kooning further explored the theme through drawings and pastels.', ""Summer of '69 The music video, released in 1985, was directed by Irish director Steve Barron.[19] In 1985 the music video was nominated for an MTV Video Music Award in the category for Best Male Video."", '2008 Summer Olympics The theme song of the 2008 Olympic Games was ""You and Me,"" which was composed by Chen Qigang, the musical director of the opening ceremony.']",The theme from A Summer Place was released in September 1959.,,1.0,0.9402149468489981,0.0
who plays v on orange is the new black,"['List of Orange Is the New Black characters Sam Healy (played by Michael J. Harney) â€“ Healy is an experienced Corrections Officer and supervisor at Litchfield Penitentiary who has a Master of Social Work and acts as prison counselor to many of the inmates.', 'List of recurring Orange Is the New Black characters Erica ""Yoga"" Jones (played by Constance Shulman) – An older Caucasian inmate who teaches yoga.', 'In 2013, McGorry began a recurring role on the Netflix dramedy series Orange Is the New Black as corrections officer John Bennett.[5][6]', 'Kate Mulgrew Since 2013, Mulgrew stars as Galina ""Red"" Reznikov in the Netflix original series Orange Is the New Black, the role for which she was nominated for her first Primetime Emmy Award in 2014.', 'She is known for the roles of Captain Kathryn Janeway on Star Trek: Voyager and Galina ""Red"" Reznikov on Orange Is the New Black.']",I cannot answer from the given context.,,0.0,0.0,0.0
who sang in the movie i walk the line,"['Walk the Line (soundtrack) Walk the Line: Original Motion Picture Soundtrack is the soundtrack album to the 2005 biographical drama film of the same name released November 15, 2005 by Wind-Up Records.', 'My Heart Belongs to Daddy Martin sang it again in the 1940 movie Love Thy Neighbor.', 'I Got a Name (song) This song is featured in the movie Invincible with Mark Wahlberg in the lead role.', 'Walk the Line Some critics found the film too constrained by Hollywood plot formulas of love and loss, ignoring the last twenty years of Cash\'s life and other more socio-politically controversial reasons he was considered ""the man in black"".[15]', 'The 1980 movie Urban Cowboy, a romantic comedy starring John Travolta and Debra Winger, spawned a successful soundtrack album featuring pop-styled country songs, including ""Lookin\' for Love"" by Johnny Lee, ""The Devil Went Down to Georgia"" by the Charlie Daniels Band, ""Could I Have This Dance"" by Murray and ""Love the World Away"" by Rogers. The songs, and the movie itself, resulted in an early 1980s boom in pop-styled country music, and the era is sometimes known as the ""Urban Cowboy Movement"".']",I cannot answer from the given context.,,0.0,0.0,0.0
when does the new season of lost in space come out,"['Lost in Space (2018 TV series) Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course.', 'Lost in Space The fate of the castaways is never resolved, as the series was unexpectedly canceled at the end of season 3.[citation needed]', 'Lost in Space During its three-season run, many actors made guest appearances, including familiar actors and/or actors who went on to become well-known. Among those appearing in Lost in Space episodes: Kevin Hagen, Alan Hewitt, Sherry Jackson, Werner Klemperer, Warren Oates, Don Matheson, Kurt Russell, Wally Cox, Grant Sullivan, Norman Leavitt, Tommy Farrell, Mercedes McCambridge, Lyle Waggoner, Albert Salmi, Royal Dano, Strother Martin, Michael J.', 'When the season came to an end in 2011, it was announced that the show was intended to be an anthology series, in which each season would be completely different with new characters each season.', 'Lost in Space (film) VHS, DVD, and later a Blu-ray have been released for the film.']",I cannot answer from the given context.,,0.0,-0.0,0.0
