query_id,context_relevance,answer_faithfulness,answer_relevance
test2482,1,1,1
test485,1,0,0
test2574,1,1,1
test1114,1,1,1
test724,1,0,1
test2741,0,1,0
test2587,1,1,1
test867,1,1,1
test434,1,1,1
test3125,1,1,1
test54,1,0,0
test1332,1,1,1
test2863,1,1,1
test558,1,1,1
test2557,1,1,1
test2691,0,1,0
test3420,1,1,1
test142,1,1,1
test2130,1,0,0
test2877,1,1,1
test3393,1,1,1
test3401,1,1,1
test1907,1,0,0
test2456,1,1,1
test500,1,1,1
test3194,1,1,1
test3435,1,1,1
test1422,1,0,0
test706,1,0,0
test2284,0,1,0
test3310,1,1,1
test2303,1,0,0
test3061,1,1,1
test1214,1,1,1
test13,1,1,1
test2265,1,1,1
test2893,1,1,1
test465,1,1,1
test1401,1,1,1
test405,1,1,1
test2670,1,1,1
test638,1,0,0
test3357,1,0,0
test1260,1,1,1
test158,1,1,1
test530,1,0,0
test4,1,1,1
test59,1,1,1
test2953,1,1,1
test113,1,1,1
test479,1,1,1
test1252,1,1,1
test944,0,1,1
test2905,1,1,1
test1318,0,1,0
test358,0,1,0
test1032,1,1,1
test96,1,1,1
test1366,1,0,0
test531,1,1,1
test3413,1,1,1
test1807,1,0,0
test2163,1,0,0
test3353,1,1,1
test537,1,1,1
test196,1,0,0
test3131,1,1,1
test275,1,1,1
test1610,1,0,0
test2719,1,1,1
test2399,1,1,1
test2331,1,1,1
test1899,1,1,1
test1971,1,0,0
test2133,1,1,1
test2022,1,1,1
test1846,1,0,1
test439,1,0,0
test3150,1,1,1
test3222,1,0,0
test1112,1,1,1
test549,1,1,1
test3323,0,1,0
test1213,1,1,1
test2157,1,0,0
test606,1,0,0
test1248,1,1,1
test2949,1,0,0
test2098,1,1,1
test1900,1,1,1
test2651,1,1,1
test3280,0,1,0
test2486,1,1,1
test2192,1,1,1
test3026,1,1,1
test2374,1,1,1
test581,1,1,1
test493,1,1,1
test3046,1,1,1
test70,1,1,1
test1750,1,1,1
test3032,1,0,0
test101,0,1,0
test2160,1,0,0
test2261,1,1,1
test360,1,1,1
test2010,1,1,1
test1570,1,1,1
test2251,1,1,1
test949,1,1,1
test974,1,1,1
test2986,0,1,0
test2300,1,1,1
test137,1,0,0
test3216,1,1,1
test1911,1,1,1
test1739,1,1,1
test1606,1,0,0
test809,1,1,1
test247,1,0,0
test1493,0,1,0
test1231,1,1,1
test2155,1,1,1
test1107,1,0,0
test1580,0,1,0
test1561,1,1,1
test2961,1,1,1
test1360,1,0,0
test876,1,1,1
test2243,0,1,0
test144,1,1,1
test774,1,0,0
test3252,1,1,1
test1865,1,1,1
test992,1,0,0
test362,1,1,1
test1312,0,1,0
test125,1,0,0
test87,1,0,0
test1838,1,1,1
test425,1,0,0
test1392,0,1,0
test3336,1,1,1
test645,1,1,1
test1776,1,1,1
test1841,1,1,1
test116,1,0,0
test1511,1,1,1
test1806,1,0,1
test2997,1,1,1
test35,1,1,1
test807,1,1,1
test269,1,1,1
test86,1,1,1
test3196,1,1,0
test2457,1,0,0
test17,1,1,1
test1485,1,0,0
test2861,1,1,1
test380,1,1,1
test752,1,0,0
test2146,1,1,1
test3007,1,1,1
test141,1,0,0
test3041,1,0,0
test3278,1,1,1
test138,1,1,1
test46,1,1,1
test3144,1,1,1
test741,0,1,0
test187,1,1,1
test1143,0,1,0
test3387,1,1,1
test811,1,0,0
test777,1,1,1
test1221,1,1,1
test2559,1,1,1
test1250,1,1,1
test1020,1,1,1
test2554,1,1,1
test2702,1,1,1
test1338,1,1,1
test2860,0,1,0
test1886,1,1,1
test3149,1,0,0
test998,1,1,1
test2512,1,1,1
test428,1,0,0
test1408,1,1,1
test1206,1,1,1
test3408,1,1,1
test2577,1,1,1
test2817,1,1,1
test1875,1,1,1
test750,1,1,1
test1748,1,1,1
test1023,1,1,1
test625,1,1,1
test1095,1,0,0
test2544,1,1,1
