dataset,config_id,chunking,retrieval,rerank,ir_P@1,ir_P@3,ir_P@5,ir_P@10,ir_MRR,ir_nDCG@10,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy,ares_composite,mean_latency_ms,cost_eur_per_1k
msmarco,fixed__bm25__cross_encoder,fixed,bm25,cross_encoder,0.77,0.2886666666666666,0.1744,0.0874,0.7972857142857143,0.8040653933457452,0.6722348484848485,0.525078564909665,0.1136833333226475,0.8300000000000001,831.3611650089733,0.07943583600000001
msmarco,fixed__hybrid__cross_encoder,fixed,hybrid,cross_encoder,0.894,0.33999999999999997,0.2068,0.1044,0.9347133180544945,0.9484468510455291,0.7304031746031746,0.5794116738698926,0.12048333332207417,0.884,854.3034798961598,0.077429592
msmarco,fixed__bm25__none,fixed,bm25,none,0.5,0.22,0.1428,0.07659999999999999,0.5845851587106994,0.61087011612337,0.6517848484848484,0.4484796421709025,0.07859999999264668,0.7586666666666666,892.8711987535935,0.079179708
msmarco,semantic__dense__cross_encoder,semantic,dense,cross_encoder,0.86,0.32733333333333325,0.202,0.1024,0.9046012472062395,0.9196993994954448,0.6334391774891773,0.5031640909055817,0.1168166666557725,0.8453333333333334,775.016349166166,0.04807092
msmarco,semantic__bm25__cross_encoder,semantic,bm25,cross_encoder,0.73,0.272,0.16639999999999996,0.0846,0.7594133439659756,0.7667866710360424,0.5940714285714287,0.4339979805931207,0.11598333332231583,0.7766666666666667,772.0673769363202,0.049439052
msmarco,fixed__dense__none,fixed,dense,none,0.826,0.32599999999999996,0.2024,0.103,0.885890356616208,0.907771571142479,0.7404976190476191,0.5787636215776606,0.12577222221075732,0.8773333333333332,834.0487406814937,0.073810128
msmarco,semantic__dense__none,semantic,dense,none,0.784,0.30466666666666664,0.19240000000000002,0.1014,0.8440507374923057,0.8690283886539515,0.6446896825396825,0.49310496266502696,0.119099999988755,0.836,752.6708487709984,0.042964368
msmarco,fixed__hybrid__none,fixed,hybrid,none,0.658,0.2813333333333333,0.17880000000000001,0.0956,0.7521723109757722,0.7836259620910091,0.6960119047619048,0.5386911804995603,0.11321111110063685,0.8386666666666667,839.675467255991,0.077336028
msmarco,fixed__dense__cross_encoder,fixed,dense,cross_encoder,0.892,0.3399999999999999,0.2068,0.1044,0.9335663623220549,0.9475386889179965,0.7361542124542125,0.5891759478575814,0.1355777777651874,0.8893333333333334,861.7128568387125,0.07745112000000001
msmarco,semantic__bm25__none,semantic,bm25,none,0.476,0.2106666666666667,0.13599999999999998,0.0748,0.5621348820866637,0.5893671573097929,0.5868222222222224,0.3701710660398485,0.07629999999248167,0.71,757.102499730885,0.050328599999999994
msmarco,semantic__hybrid__none,semantic,hybrid,none,0.648,0.276,0.178,0.09480000000000001,0.7423434581693159,0.7738357868561897,0.6176063492063493,0.46179249840352377,0.10076666665685667,0.806,750.5934778978117,0.047105748
msmarco,semantic__hybrid__cross_encoder,semantic,hybrid,cross_encoder,0.86,0.32733333333333325,0.2028,0.10260000000000002,0.9059789625549217,0.9210715236052492,0.6359730158730159,0.5009723901750044,0.13413888887655065,0.854,790.8374646671582,0.048596424
nq,fixed__bm25__cross_encoder,fixed,bm25,cross_encoder,0.812,0.34,0.20600000000000002,0.10460000000000001,0.8466936507936508,0.8489332829238831,0.6734006493506494,0.48938310355412157,0.130433333320835,0.8386666666666667,862.7300883550197,0.117971508
nq,fixed__hybrid__cross_encoder,fixed,hybrid,cross_encoder,0.884,0.38199999999999995,0.23320000000000002,0.11860000000000001,0.9319996031746032,0.9451105344040361,0.6906976190476192,0.5256783727128366,0.1633999999850133,0.8686666666666666,891.8971080770716,0.11178745200000001
nq,fixed__bm25__none,fixed,bm25,none,0.558,0.2706666666666666,0.1748,0.095,0.6544400101714755,0.6805360345310751,0.6254333333333333,0.4352284627380369,0.10459999999007999,0.7886666666666667,877.4303291731048,0.12199006800000001
nq,semantic__dense__cross_encoder,semantic,dense,cross_encoder,0.806,0.36999999999999994,0.2308,0.1174,0.8793080086580086,0.9028665112378694,0.5609833333333334,0.41561907305596935,0.11558333332231249,0.7953333333333333,827.5016423568595,0.060222371999999996
nq,semantic__bm25__cross_encoder,semantic,bm25,cross_encoder,0.75,0.3286666666666666,0.2028,0.1024,0.8039166666666666,0.8109220053959646,0.5524857142857142,0.3649222626620112,0.09131111110234073,0.7639999999999999,1033.9667832497507,0.06555828
nq,fixed__dense__none,fixed,dense,none,0.85,0.37666666666666665,0.232,0.11760000000000002,0.9048545689093516,0.921561305139936,0.7092095238095238,0.5243778416881704,0.14894444443036572,0.8639999999999999,867.3875651722774,0.10372355999999999
nq,semantic__dense__none,semantic,dense,none,0.832,0.364,0.22720000000000004,0.11740000000000002,0.887332424621449,0.9064779899237764,0.6003333333333334,0.4276679743165372,0.11671111110052074,0.8113333333333334,959.8487574188039,0.059130791999999995
nq,fixed__hybrid__none,fixed,hybrid,none,0.728,0.32999999999999996,0.21120000000000003,0.11240000000000001,0.8094329212679073,0.835711380645648,0.6702642857142858,0.5011158063960355,0.121266666655315,0.8380000000000001,941.2265608555172,0.11474148
nq,fixed__dense__cross_encoder,fixed,dense,cross_encoder,0.886,0.38199999999999995,0.23320000000000002,0.1184,0.9322255835667601,0.9450116455497213,0.7051031746031746,0.5285413965029168,0.14863333331980666,0.8706666666666667,878.1791770798154,0.110512056
nq,semantic__bm25__none,semantic,bm25,none,0.544,0.2646666666666666,0.1728,0.09340000000000001,0.6410753711765588,0.6667385332486986,0.5706666666666668,0.32140084786299783,0.085833333325075,0.718,1194.4283559513278,0.06326196
nq,semantic__hybrid__none,semantic,hybrid,none,0.7,0.3266666666666666,0.21,0.11320000000000002,0.790733042745457,0.822266718934946,0.5560499999999999,0.38403646023043236,0.09979999999082279,0.7786666666666666,744.4056481600273,0.06257665200000001
nq,semantic__hybrid__cross_encoder,semantic,hybrid,cross_encoder,0.808,0.37066666666666664,0.23120000000000002,0.1174,0.8816786435786436,0.9043277755127421,0.5716142857142857,0.4214930051778053,0.13016666665462726,0.7953333333333333,863.7492247396149,0.06272238
