user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
nitty gritty dirt band fishin in the dark album,"['Fishin\' in the Dark ""Fishin\' in the Dark"" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band. It was released in June 1987 as the second single from their album Hold On.[1] It reached number-one on the U.S. and Canadian country charts. It was the band\'s third number-one single on the U.S. country music charts and the second in Canada. After it became available for download, it has sold over a million digital copies by 2015.[2] It was certified Platinum by the RIAA on September 12, 2014.[3]', 'Bernie Leadon In 1985, he recorded an album of bluegrass and gospel favorites under the name Ever Call Ready, featuring Chris Hillman and Al Perkins. He also had a short stint with the Nitty Gritty Dirt Band in the late 1980s.', 'Dark Is the Way, Light Is a Place Drew Beringer of AbsolutePunk rated the album a 90 out of 100-percent, highlighting how the release contains ""engaging rock and roll album anyone can relate to"" that also ""will serve as the perfect companion.""[13] At Kerrang!, they rated the album three stars out of five, saying how Anberlin with respect to this release ""get it right, returning to form with a combination of heartfelt bombast, big choruses and bona fide hooks.""[21] Adam Thomas of Sputnikmusic rated the album four stars out of five, stating how the release is no masterpiece but still further solidifies the band ""at the top of the US radio-rock universe.""[27] At Mojo, they rated the album two stars out of five, cautioning how ""Listeners outside their target teen demographic will find all this painfully sincere emoting pretty joyless.""[24] Essi Berelian over at Classic Rock rated the album a six out of ten.[28]', ""The Dark Side of the Moon One of the more notable covers of The Dark Side of the Moon is Return to the Dark Side of the Moon: A Tribute to Pink Floyd. Released in 2006, the album is a progressive rock tribute featuring artists such as Adrian Belew, Tommy Shaw, Dweezil Zappa, and Rick Wakeman.[137] In 2000, The Squirrels released The Not So Bright Side of the Moon, which features a cover of the entire album.[138][139] The New York dub collective Easy Star All-Stars released Dub Side of the Moon in 2003[140] and Dubber Side of the Moon in 2010.[141] The group Voices on the Dark Side released the album Dark Side of the Moon a Cappella, a complete a cappella version of the album.[142] The bluegrass band Poor Man's Whiskey frequently play the album in bluegrass style, calling the suite Dark Side of the Moonshine.[143] A string quartet version of the album was released in 2004.[144] In 2009, The Flaming Lips released a track-by-track remake of the album in collaboration with Stardeath and White Dwarfs, and featuring Henry Rollins and Peaches as guest musicians.[145]"", 'The Dark Side of the Moon The success of the album brought wealth to all four members of the band; Richard Wright and Roger Waters bought large country houses, and Nick Mason became a collector of upmarket cars.[115] Some of the profits were invested in the production of Monty Python and the Holy Grail.[116] Engineer Alan Parsons received a Grammy Award nomination for Best Engineered Recording, Non-Classical for The Dark Side of the Moon,[117] and he went on to have a successful career as a recording artist with the Alan Parsons Project. Although Waters and Gilmour have on occasion downplayed his contribution to the success of the album, Mason has praised his role.[118] In 2003, Parsons reflected: ""I think they all felt that I managed to hang the rest of my career on Dark Side of the Moon, which has an element of truth to it. But I still wake up occasionally, frustrated about the fact that they made untold millions and a lot of the people involved in the record didn\'t.""[32][nb 8]']","The album for ""Fishin' in the Dark"" is titled ""Hold On.""",,1.0,0.7549915049012309,0.0
when is the new tappan zee bridge going to be finished,"['Tappan Zee Bridge (2017–present) Tappan Zee Constructors began construction in 2013. The north span officially opened to westbound traffic on August 26, 2017; it also opened to eastbound traffic on October 6, 2017. Tappan Zee Constructors then began demolishing the old bridge. Eastbound traffic will be switched to the south span upon its completion. Both spans are expected to be operational by June 15, 2018.', ""Tappan Zee Bridge (2017–present) Originally, some motorists thought that bridge tolls could more than double (to $12-$15 for automobiles, eastbound only), rising to those of New York City's Hudson River crossings.[5] However, the state passed legislation freezing the toll on the bridge at $5 through 2020 in its 2016 legislative session.[16]"", 'Third Mainland Bridge Recently, there have been rumours of cracks on the bridge. This, however, has been denied by authorities, but has been reopened. The eight-lane bridge experienced a new look during the last repairing exercise, painting the bridge guide with the colour of Nigeria green, white, green, and also general painting was carried out for a new look. The repair works on the bridge has been completed and was opened on 30 October 2012.', 'Brooklyn Bridge The Brooklyn Bridge started construction in 1869 and was completed fourteen years later in 1883. It was originally called the New York and Brooklyn Bridge and the East River Bridge, but it was later dubbed the Brooklyn Bridge, a name coming from an earlier January 25, 1867 letter to the editor of the Brooklyn Daily Eagle[8] and formally so named by the city government in 1915. Over the years, the Brooklyn Bridge has undergone several reconfigurations; it formerly carried horse-drawn vehicles and elevated railway lines, but now carries vehicular, pedestrian, and bicycle traffic. Commercial vehicles are banned from the bridge.', 'Gordie Howe International Bridge The bridge will connect to an extension of Highway 401, locally named the Rt. Hon. Herb Gray Parkway, on its east side. The parkway is below-grade and has six through-lanes. It follows (but does not replace) Talbot Road and Huron Church Road from a new interchange at the former end of Highway 401 to the E. C. Row Expressway, where it runs concurrently westward for 2 km (1.2 mi). From there, it turns northwest and follows a new alignment to the border.[31] Initial construction of a noise barrier from North Talbot Road to Howard Avenue began in March 2010. Two new bridges south of the Highway 3/401 junction were also constructed.[32] Full construction of the parkway began in 2011,[33] and was completed in November 2015.[34][35]']","Both spans are expected to be operational by June 15, 2018.",,1.0,0.21173831299280563,0.0
when did they stop cigarette advertising on television,"[""Tobacco advertising After World War II, cigarette companies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act.[8] Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel.[9] The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.[10]"", 'Electronic cigarette A 2014 review said, ""the e-cigarette companies have been rapidly expanding using aggressive marketing messages similar to those used to promote cigarettes in the 1950s and 1960s.""[23] E-cigarettes and nicotine are regularly promoted as safe and beneficial in the media and on brand websites.[148] While advertising of tobacco products is banned in most countries, television and radio e-cigarette advertising in some countries may be indirectly encouraging traditional cigarette smoking.[23] There is no evidence that the cigarette brands are selling e-cigarettes as part of a plan to phase out traditional cigarettes, despite some claiming to want to cooperate in ""harm reduction"".[23] In the US, six large e-cigarette businesses spent $59.3 million on promoting e-cigarettes in 2013.[246] Easily circumvented age verification at company websites enables young people to access and be exposed to marketing for e-cigarettes.[45]', 'Amos \'n\' Andy Advertising pioneer Albert Lasker often took credit for having created the show as a promotional vehicle. After the associations with Pepsodent toothpaste (1929–37) and Campbell\'s Soup (1937–43), primary sponsors included Lever Brothers\' Rinso detergent (1943–50), the Rexall drugstore chain (1950–54) and CBS\' own Columbia brand of television sets (1954–55). President Calvin Coolidge was said to be among the devoted listeners. Huey P. Long took his nickname of ""Kingfish"" from the show. At the peak of the popularity, many movie theaters began the practice of stopping the films for the 15 minutes of the Amos \'n\' Andy show and then playing the program through the theater\'s sound system or simply by placing a radio on the stage.[8] Some theaters attempted to attract patrons by noting the fact that they offered the broadcast in their advertisements. NBC sought to stop the practice by charging the theaters who did so with copyright infringement, claiming that charging admission for a free broadcast was not legal.[38]', ""Advertising to children In the USA, children's advertisings were limited between 1946 and 1983. Legislation then became more liberal throughout the rest of the 1980s.[60] With the Children's Television Act, which was introduced in 1990 and strengthened in August 1996, legislation once again became stricter.[61]"", 'YouTube In March 2017, the government of the United Kingdom pulled its advertising campaigns from YouTube, after reports that its ads had appeared on videos containing extremism content. The government demanded assurances that its advertising would ""be delivered in a safe and appropriate way"". The Guardian newspaper, as well as other major British and U.S. brands, similarly suspended their advertising on YouTube in response to their advertising appearing near offensive content. Google stated that it had ""begun an extensive review of our advertising policies and have made a public commitment to put in place changes that give brands more control over where their ads appear"".[331][332] In early-April 2017, the YouTube channel h3h3Productions presented evidence claiming that a Wall Street Journal article had fabricated screenshots showing major brand advertising on an offensive video containing Johnny Rebel music overlaid on a Chief Keef music video, citing that the video itself had not earned any ad revenue for the uploader. The video was retracted after it was found that the ads had actually been triggered by the use of copyrighted content in the video.[333][334]']","Cigarette advertising on television stopped on January 2, 1971.",,1.0,0.9364596498646833,0.0
when did the us take over wake island,"['Wake Island On January 17, 1899, under orders from President William McKinley, Commander Edward D. Taussig of USSÂ Bennington landed on Wake and formally took possession of the island for the United States. After a 21-gun salute, the flag was raised and a brass plate was affixed to the flagstaff with the following inscription:', 'Wake Island With the annexation of Hawaii in 1898 and the seizure of Guam and the Philippines during the Spanish–American War that same year, the United States began to consider unclaimed and uninhabited Wake Island, located approximately halfway between Honolulu and Manila, as a good location for a telegraph cable station and coaling station for refueling warships of the rapidly expanding United States Navy and passing merchant and passenger steamships. On July 4, 1898, United States Army Brigadier General Francis V. Greene of the 2nd Brigade, Philippine Expeditionary Force, of the Eighth Army Corps, stopped at Wake Island and raised the American flag while en route to the Philippines on the steamship liner SS China.[24]', 'Wake Island In the early 1980s the National Park Service conducted an evaluation of Wake Island to determine if the World War II (WWII) cultural resources remaining on Wake, Wilkes and Peale were of national historical significance. As a result of this survey, Wake Island was designated as a National Historic Landmark (NHL) on September 16, 1985, helping to preserve sites and artifacts on the atoll associated with WWII in the Pacific and the transpacific aviation era prior to the war. As a National Historic Landmark, Wake Island was also included in the National Register of Historic Places.[72]', ""Battle of Long Island Washington and the army were surrounded on Brooklyn Heights with the East River to their backs.[75] As the day went on, the British began to dig trenches, slowly coming closer to the American defenses. By doing this, the British would not have to cross over open ground to assault the American defenses as they did in Boston the year before.[76] Despite this perilous situation, Washington ordered 1,200 more men from Manhattan to Brooklyn on August 28.[75] The men that came over were two Pennsylvania regiments and Colonel John Glover's regiment from Marblehead, Massachusetts. In command of the Pennsylvanian troops was Thomas Mifflin who, after arriving, volunteered to inspect the outer defenses and report back to Washington.[77] In these outer defenses, small skirmishes were still taking place. On the afternoon of August 28, it began to rain and Washington had his cannons bombard the British well into the night.[78]"", 'Occupation of Alcatraz In 1969, Adam Fortunate Eagle planned a symbolic occupation for November 9. University student leaders Mohawk Richard Oakes and Shoshone Bannock LaNada Means, head of the Native American Student Organization at the University of California, Berkeley,[5] with a larger group of student activists joined Fortunate Eagle. A group of five boats was organized to take approximately 75 indigenous peoples over to the island, but none of the boats showed up. Adam Fortunate Eagle convinced Ronald Craig, the owner of the Monte Cristo, a three-masted yacht, to pass by the island when their own boats did not arrive.[3] Oakes, Jim Vaughn (Cherokee), Joe Bill (Eskimo), Ross Harden (Ho-Chunk) and Jerry Hatch jumped overboard, swam to shore, and claimed the island by right of discovery.[6] The Coast Guard quickly removed the men, but later that day, a larger group made their way to the island again, and fourteen stayed overnight. The following day, Oakes delivered a proclamation, written by Fortunate Eagle, to the General Services Administration (GSA) which claimed the island by right of discovery, after which the group left the island.[7]']","The United States took over Wake Island on January 17, 1899.",,1.0,0.8785637343803926,0.49999999995
what event provoked congress to propose the eleventh amendment and the states to ratify it,"[""Eleventh Amendment to the United States Constitution The Eleventh Amendment (Amendment XI) to the United States Constitution, which was passed by Congress on March 4, 1794, and ratified by the states on February 7, 1795, deals with each state's sovereign immunity and was adopted to overrule the U.S. Supreme Court's decision in Chisholm v. Georgia, 2 U.S. 419 (1793).[1]"", 'Privileges or Immunities Clause Congress gave final approval to the Privileges or Immunities Clause when the House proposed the Fourteenth Amendment to the states for ratification on June 13, 1866. There was much discussion of this proposed clause as the amendment awaited ratification by the states. For example, according to a November 15, 1866 pseudonymous letter published in the New York Times:[8]', 'Titles of Nobility Amendment On February 1, 1865, the 38th Congress passed and sent to the states for ratification a proposed amendment that would become the Thirteenth Amendment, which abolished slavery.[19][20] When it was proposed and adopted, no one protested that there already was a Thirteenth Amendment â€“ either the 1810 or the 1861 proposals.', 'Eleventh Amendment to the United States Constitution The Eleventh Amendment was the first Constitutional amendment adopted after the Bill of Rights. The amendment was adopted following the Supreme Court\'s ruling in Chisholm v. Georgia, 2 U.S. 419 (1793). In Chisholm, the Court ruled that federal courts had the authority to hear cases in law and equity brought by private citizens against states and that states did not enjoy sovereign immunity from suits made by citizens of other states in federal court. Thus, the amendment clarified Article III, Section 2 of the Constitution, which gives diversity jurisdiction to the judiciary to hear cases ""between a state and citizens of another state"".[2]', 'Convention to propose amendments to the United States Constitution United States v. Sprague, 282 U.S. 716 (1931): ""[A]rticle 5 is clear in statement and in meaning, contains no ambiguity and calls for no resort to rules of construction. ... It provides two methods for proposing amendments. Congress may propose them by a vote of two-thirds of both houses, or, on the application of the legislatures of two-thirds of the States, must call a convention to propose them.""']","The event that provoked Congress to propose the Eleventh Amendment and the states to ratify it was the U.S. Supreme Court's decision in Chisholm v. Georgia, 2 U.S. 419 (1793), which ruled that federal courts had the authority to hear cases brought by private citizens against states, thereby challenging the concept of state sovereign immunity.",,1.0,0.8765363029932046,0.249999999975
what is the meaning of the dragon boat festival,"[""Dragon Boat Festival The Duanwu Festival, also often known, especially in the West, as the Dragon Boat Festival, is a traditional holiday originating in China, occurring near the summer solstice. It is also known as Zhongxiao Festival (Chinese: 忠孝節; pinyin: Zhōngxiàojié), commemorating fealty and filial piety. The festival now occurs on the 5th day of the 5th month of the traditional Chinese calendar, which is the source of the festival's alternative name, the Double Fifth Festival.[1] The Chinese calendar is lunisolar, so the date of the festival varies from year to year on the Gregorian calendar. In 2016, it occurred on June 9; and in 2017, on May 30."", 'The Skye Boat Song ""The Skye Boat Song"" is a modern Scottish song which has entered into the folk canon in recent times. It can be played as a waltz, recalling the escape of Prince Charles Edward Stuart (Bonnie Prince Charlie) from Uist to the Isle of Skye after his defeat at the Battle of Culloden in 1746.', 'List of festivals in Nepal In Nepal all Hindu ethnic groups celebrate this festival with their own variation . Among the Newars, it is known as Swanti. The festival is celebrated from Trayodashi of Kartik Krishna to Kartik Shukla Dwitiya every year. Tihar in general signifies the festival of lights, where diyas are lit both inside and outside the houses to make it illuminate at night. The five-day festival is considered to be of great importance as it shows reverence to not just the humans and the Gods, but also to the animals like crow, cow and dog, who maintain an intense relationship with the humans. People make patterns on the floor of living rooms or courtyards using materials such as colored rice, dry flour, colored sand or flower petals outside of their house, called ""Rangoli"" which is meant to be sacred welcoming areas for the Hindu deities.[8] During the celebrations gamblers are found in the streets and some gamblers are known to make extreme bets such as staking their properties and some times their own daughter and wives jewelries. .[citation needed]', 'Chinese New Year Chinese New Year,[a][2] also known as the Spring Festival in modern China,[b] is an important Chinese festival celebrated at the turn of the traditional lunisolar Chinese calendar. It is one of several Lunar New Years in Asia. Celebrations traditionally run from the evening preceding the first day, to the Lantern Festival on the 15th day of the first calendar month. The first day of the New Year falls on the new moon between January 21 and February 20[3] In 2018, the first day of the Lunar New Year was on Friday, 16 February, initiating the year of the Dog.', 'is an oath that any dragon cannot break) if Hiccup sets him free. The oath was that the Dragon Furious will help free the prisoners on the island and never harm humans. Hiccup realizes that the key he has can free the Dragon Furious and they free the thirteen fiancÃ©s and cause chaos in the village. The Dragon Furious, however, then reveals that he only has HALF A HEART; therefore he can obey a part of the oath and ignore the other (the Dragon Furious picked the first part, obviously). He sets fire to the Berserk woods and tells Hiccup that a year after he leaves the Archipelago, he shall return to destroy the humans along with a dragon army (The Dragon Furious really hates humans). Hiccup, Camicazi, Fishlegs, Toothless, the Windwalker and the Chickenpoxer return to Berk along with the honey.']","The Dragon Boat Festival, also known as the Duanwu Festival, commemorates fealty and filial piety.",,1.0,0.8755677824959597,0.0
when was theme from a summer place released,"['Theme from A Summer Place Percy Faith recorded the most popular version of the theme, an instrumental orchestral arrangement, at the Columbia 30th Street Studio in New York City.[2] It was released in September 1959 as a single on Columbia Records, credited to ""Percy Faith and his Orchestra,"" prior to the November 1959 release of the film A Summer Place.[1]', 'Theme from A Summer Place Following its initial film appearance, the theme has been recorded by many artists in both instrumental and vocal versions, and has also appeared in a number of subsequent films and television programs. The best-known cover version of the theme is an instrumental version by Percy Faith and his orchestra that was a Number One hit for nine weeks on the Billboard Hot 100 chart in 1960.[1]', ""Summer of '69 The music video, released in 1985, was directed by Irish director Steve Barron.[19] In 1985 the music video was nominated for an MTV Video Music Award in the category for Best Male Video. While the song did not win the award, it was one of the four nominated songs from Adams' fourth studio album Reckless.[20] The video includes appearances by Lysette Anthony and Garwin Sanford."", '2008 Summer Olympics The theme song of the 2008 Olympic Games was ""You and Me,"" which was composed by Chen Qigang, the musical director of the opening ceremony. It was performed during the opening ceremony by Chinese singer Liu Huan and British singer Sarah Brightman.[49][50]', ""The A-Team The original main theme by Mike Post and Pete Carpenter was released on the vinyl LP Mike Post – Television Theme Songs (Elektra Records E1-60028Y, 1982) and again on the Mike Post – Mike Post LP (RCA Records AFL1-5183, 1984), both long out-of-print; however, this was not the same version of the theme as heard on-screen. The theme, as heard on seasons two through four (including the opening narration and sound effects), was also released on TVT's Television's Greatest Hits: 70s and 80s.""]",The theme from A Summer Place was released in September 1959.,,1.0,0.9402149468489981,0.0
who plays v on orange is the new black,"['List of Orange Is the New Black characters Sam Healy (played by Michael J. Harney) â€“ Healy is an experienced Corrections Officer and supervisor at Litchfield Penitentiary who has a Master of Social Work and acts as prison counselor to many of the inmates. He is initially presented as someone who, though rigid, genuinely wants to help the inmates under his care. Due to his preference for avoiding confrontation, Healy is contemptuously referred to as ""Samantha"" by Caputo, who feels that Healy is not tough enough on the inmates. Healy generally appears weary and often tells the inmates what they want to hear so they will leave him alone - he later admits to his own counselor that he is dissatisfied with his job, having gone into it with such idealistic notions of changing the world, but his experiences have left him cynical. Despite this, he still shows a sense of justice, such as forging evidence to show that Suzanne (who was going to take for the fall for an assault she did not commit) was in fact innocent. Healy has an outspoken personal vendetta against lesbians for unknown reasons, cautioning Piper at the beginning of the series not to be involved with lesbian activity. While early on he appears particularly sympathetic towards Piper and even acts biased in her favor, he increasingly dislikes her as he hears rumors of her alleged lesbian activities. His hatred of lesbians, first presented as a quirk, is later revealed to be a deep-seated pathological problem when he explosively sends', 'Kate Mulgrew Since 2013, Mulgrew stars as Galina ""Red"" Reznikov in the Netflix original series Orange Is the New Black, the role for which she was nominated for her first Primetime Emmy Award in 2014. The popular character was re-signed for seasons two, three, four and five. On working in the series she was reunited with her Mercy co-star Taylor Schilling.', 'Kate Mulgrew Katherine Kiernan Maria ""Kate"" Mulgrew (born April 29, 1955) is an American actress. She is known for the roles of Captain Kathryn Janeway on Star Trek: Voyager and Galina ""Red"" Reznikov on Orange Is the New Black. She first came to attention in the role of Mary Ryan on the daytime soap opera Ryan\'s Hope. Mulgrew has won an Obie Award, and has received a Golden Globe Award and Primetime Emmy Award nomination. She is an active member of the Alzheimer\'s Association National Advisory Council and the voice of Cleveland\'s MetroHealth System.', 'List of recurring Orange Is the New Black characters Erica ""Yoga"" Jones (played by Constance Shulman) – An older Caucasian inmate who teaches yoga. She has an unusually calm, peaceful demeanor, completely out of place in the prison environment, and as such gives no indication about why she might be in prison. Her calmness shatters, however, when she has a fight with an angry Janae, who deduces that her commitment to spirituality and yoga stems from her having committed a particularly heinous crime, and cruelly suggests that she may have killed a child — leading to Jones snapping and hitting her across the face. Later, while the two are working in the rec room, Jones explains that while she was a marijuana farmer in California, she accidentally shot and killed an 8-year old child she mistook for a deer, and is therefore in prison for manslaughter. Watson realizes, as she had thought, that Jones is indeed using her yoga and commitment to spirituality to cope with the intense emotional pain and guilt that she feels as a result of her crime. During the second season, she is seen participating in a hunger strike with Brook, to protest prison conditions. This is also her attempt to protest Janae having been thrown in the SHU, but her efforts are met with indifference by Janae herself, who coldly rebuffs her. During the fourth season, she is selected to be Judy King\'s roommate after she gets a private cell. She frequently criticizes Judy\'s special treatment, while not completely abstaining from', 'Matt McGorry On television, McGorry made his debut in 2011 on the ABC daytime soap opera One Life to Live. He later appeared in small guest-starring roles on Person of Interest, Gossip Girl, and Royal Pains. In 2013, McGorry began a recurring role on the Netflix dramedy series Orange Is the New Black as corrections officer John Bennett.[5][6]']",I cannot answer from the given context.,,0.0,0.0,0.0
who sang in the movie i walk the line,"['Walk the Line (soundtrack) Walk the Line: Original Motion Picture Soundtrack is the soundtrack album to the 2005 biographical drama film of the same name released November 15, 2005 by Wind-Up Records. There are nine songs performed by Joaquin Phoenix (as Johnny Cash), four songs by Reese Witherspoon (as June Carter Cash), one song by Waylon Payne (as Jerry Lee Lewis), one song by Johnathan Rice (as Roy Orbison), two songs by Tyler Hilton (as Elvis Presley), and one song by Shooter Jennings (as Waylon Jennings). At the Golden Globe Awards Joaquin Phoenix was awarded the Best Actor - Musical or Comedy and Reese Witherspoon was awarded the Best Actress - Musical or Comedy, as well as the film won the Best Picture - Musical or Comedy. Joaquin Phoenix and Reese Witherspoon were also nominated for the Academy Award for Best Actor and Best Actress, which Witherspoon won.', 'Phineas and Ferb the Movie: Across the 2nd Dimension The soundtrack of the movie Phineas and Ferb: Across the 1st and 2nd Dimensions includes 8 songs from the movie and 14 songs from the series, released on August 2. Guns n\' Roses guitarist Slash co-wrote and performed in a song for the soundtrack titled ""Kick It Up a Notch"". The song ""I Walk Away"" is not included in the soundtrack. A song cut from the film, ""Mysterious Force"", is included.', 'I Got a Name (song) This song is featured in the movie Invincible with Mark Wahlberg in the lead role.', 'Walk the Line Some critics found the film too constrained by Hollywood plot formulas of love and loss, ignoring the last twenty years of Cash\'s life and other more socio-politically controversial reasons he was considered ""the man in black"".[15]', 'Walk This Way While the Runâ€“D.M.C. cover is nearly identical to the original version, the Girls Aloud/Sugababes version has a few changes tweaked into the song; the additional line ""Walk this way, you wanna talk this way"" is added, the vocoder is added, the rap breakdown, the lyrics are moved around, and the beat is slightly sped up and realized on a drum machine to add a further dance-pop feel to the song.']",Joaquin Phoenix (as Johnny Cash) and Reese Witherspoon (as June Carter Cash) sang in the movie Walk the Line.,,1.0,0.8622650655463228,0.0
when does the new season of lost in space come out,"['Lost in Space (2018 TV series) Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course. It is written by Matt Sazama and Burk Sharpless and consists of ten episodes produced by Legendary Television, Synthesis Entertainment, Clickety-Clack Productions, and Applebox Entertainment, with Zack Estrin serving as showrunner. Netflix released the series on April 13, 2018.[1]', 'Lost in Space The fate of the castaways is never resolved, as the series was unexpectedly canceled at the end of season 3.[citation needed]', 'Lost in Space During its three-season run, many actors made guest appearances, including familiar actors and/or actors who went on to become well-known. Among those appearing in Lost in Space episodes: Kevin Hagen, Alan Hewitt, Sherry Jackson, Werner Klemperer, Warren Oates, Don Matheson, Kurt Russell, Wally Cox, Grant Sullivan, Norman Leavitt, Tommy Farrell, Mercedes McCambridge, Lyle Waggoner, Albert Salmi, Royal Dano, Strother Martin, Michael J. Pollard, Byron Morrow, Arte Johnson, Fritz Feld, John Carradine, Al Lewis, Hans Conried, Dennis Patrick, Michael Rennie among many others. Future Hill Street Blues stars, Daniel J. Travanti (billed as ""Danny Travanty"") and Michael Conrad, made guest appearances on separate episodes. Jonathan Harris, although a permanent cast member, was listed in the opening credits as ""Special Guest Star"" of every episode of Lost in Space.', 'Judge Judy Altogether, there are 260 new episodes each season. There is at least one new episode for every weekday, with the exception of a few hiatuses during most of the summer and a couple of holidays.[49] The cases are all pre-recorded for editing purposes and will usually air one to three months after being taped. The cases are mixed up and not shown in order of when they were recorded.[50] While the cases taped in March end the seasons, the cases taped throughout April, May, June, and July start out each season in September and last through October.[51] Throughout the very beginning of each season, two new Judge Judy episodes air per day. After two weeks, this is reduced to one new airing a day, followed by a repeat. There are also various other moments throughout the year where two new episodes are shown for a few weeks. This has sometimes included January when the show returns from its winter hiatus. Two new episodes are also shown daily during the ""sweeps"" months of November, February, and May. Unlike other television programs, the Judge Judy season finale does not air in April or May; rather, it airs in June, July, or August. When the season finale is extended to July or August, most of the summer episodes preceding it are repeats with new episodes that are few and far in-between.', 'The Adventures of Tintin (film) In March 2013, Spielberg said, ""Don\'t hold me to it, but we\'re hoping the film will come out around Christmas-time in 2015. We know which books we\'re making, we can\'t share that now but we\'re combining two books which were always intended to be combined by HergÃ©."" He refused to confirm the names of the books, but said The Blue Lotus would probably be the third Tintin film.[133] In December 2014, when asked if the Tintin sequel would be his next project after The Hobbit trilogy, Jackson said that it would be made ""at some point soon"". However, he added that he wanted to direct two New Zealand films before that.[134]']",I cannot answer from the given context.,,0.0,-0.0,0.0
