user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
nitty gritty dirt band fishin in the dark album,"['Fishin\' in the Dark ""Fishin\' in the Dark"" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band.', 'He also had a short stint with the Nitty Gritty Dirt Band in the late 1980s.', ""The Dark Side of the Moon One of the more notable covers of The Dark Side of the Moon is Return to the Dark Side of the Moon: A Tribute to Pink Floyd. Released in 2006, the album is a progressive rock tribute featuring artists such as Adrian Belew, Tommy Shaw, Dweezil Zappa, and Rick Wakeman.[137]  In 2000, The Squirrels released The Not So Bright Side of the Moon, which features a cover of the entire album.[138][139]  The New York dub collective Easy Star All-Stars released Dub Side of the Moon in 2003[140] and Dubber Side of the Moon in 2010.[141] The group Voices on the Dark Side released the album Dark Side of the Moon a Cappella, a complete a cappella version of the album.[142]  The bluegrass band Poor Man's Whiskey frequently play the album in bluegrass style, calling the suite Dark Side of the Moonshine.[143]  A string quartet version of the album was released in 2004.[144]  In 2009, The Flaming Lips released a track-by-track remake of the album in collaboration with Stardeath and White Dwarfs, and featuring Henry Rollins and Peaches as guest musicians.[145]"", 'is a compilation album by the heavy metal band Pantera, released on September 23, 2003, two months before their breakup.', 'That\'s kind of what the band always needed.""[59] On March 18, 2015, a new single entitled ""Failure"" as well as a new album, Dark Before Dawn, were announced for release on March 23 and June 23, respectively.[60]']",I cannot answer from the given context.,,0.0,0.0,0.0
when is the new tappan zee bridge going to be finished,"['Tappan Zee Bridge (2017–present) Tappan Zee Constructors began construction in 2013.', ""Tappan Zee Bridge (2017–present) Originally, some motorists thought that bridge tolls could more than double (to $12-$15 for automobiles, eastbound only), rising to those of New York City's Hudson River crossings.[5] However, the state passed legislation freezing the toll on the bridge at $5 through 2020 in its 2016 legislative session.[16]"", 'Tappan Zee Constructors then began demolishing the old bridge.', 'Brooklyn Bridge The Brooklyn Bridge started construction in 1869 and was completed fourteen years later in 1883. It was originally called the New York and Brooklyn Bridge and the East River Bridge, but it was later dubbed the Brooklyn Bridge, a name coming from an earlier January 25, 1867 letter to the editor of the Brooklyn Daily Eagle[8] and formally so named by the city government in 1915. Over the years, the Brooklyn Bridge has undergone several reconfigurations; it formerly carried horse-drawn vehicles and elevated railway lines, but now carries vehicular, pedestrian, and bicycle traffic.', 'Cornish–Windsor Covered Bridge The bridge is owned and maintained by the State of New Hampshire, and though often associated with Windsor, is in fact part of the town of Cornish, since the defined boundary between New Hampshire and Vermont is at the western mean low-water mark of the river. When one drives onto the bridge from the Windsor side of the river one is immediately in New Hampshire.[6]']",I cannot answer from the given context.,,0.0,-0.0,0.0
when did they stop cigarette advertising on television,"[""Tobacco advertising After World War II, cigarette companies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act.[8] Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel.[9] The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.[10]"", 'Electronic cigarette A 2014 review said, ""the e-cigarette companies have been rapidly expanding using aggressive marketing messages similar to those used to promote cigarettes in the 1950s and 1960s.""[23] E-cigarettes and nicotine are regularly promoted as safe and beneficial in the media and on brand websites.[148] While advertising of tobacco products is banned in most countries, television and radio e-cigarette advertising in some countries may be indirectly encouraging traditional cigarette smoking.[23] There is no evidence that the cigarette brands are selling e-cigarettes as part of a plan to phase out traditional cigarettes, despite some claiming to want to cooperate in ""harm reduction"".[23] In the US, six large e-cigarette businesses spent $59.3 million on promoting e-cigarettes in 2013.[246] Easily circumvented age verification at company websites enables young people to access and be exposed to marketing for e-cigarettes.[45]', 'Advertisement film In many countries, including the United States, television campaign advertisements are considered[by whom?] indispensable for a political campaign. In other countries, such as France, political advertising on television is heavily restricted,[5] while some countries, such as Norway, completely ban political advertisements.', 'Advertisement film In India, the Code for Self-Regulation of Advertising in India, established by the Advertising Standards Council of India (ASCI), is applicable on Television Commercials (TVCs). If consumers see an advertisement which they consider misleading or offensive, they can write to ASCI.[34] As per the provisions under The Cable Television Networks (Regulation) Act of 1995, and the Policy Guidelines for Uplinking of Television Channels from India (first introduced in 2000), give the government the power to block the transmission and re-transmission of any channel in the country.[35] Telecom Regulatory Authority of India has clear guidelines for TV advertising in India.[36] The Indian television channels are widely segmented through Broadcast television, Cable television, Satellite television, Internet Protocol television.[37][better\xa0source\xa0needed] There are 857 permitted private satellite stations and also 190 government channels under the list of television stations in India.[38][better\xa0source\xa0needed] The TV advertising rate varies for TV ad spots, regional/national channels, prime/non-prime time and also on the media planning platform.[39] The Advertising Standards Council Of India has defined the principles and guidelines for individuals, corporate bodies and associations engaged in or otherwise concerned with the practice of advertising for medium such as television.', ""Direct-to-consumer advertising The Food and Drug Administration is responsible for regulating DTC advertising in the United States. The FDA's latest version of guidelines, though still in draft form, for pharmaceutical drug advertising was updated in 2009.[2] Forms of DTC advertising include TV, print, radio and other mass and social media. There are ethical and regulatory concerns regarding DTC advertising, specifically the extent to which these ads may unduly influence the prescribing of the prescription medicines based on consumer demands when, in some cases, they may not be medically necessary.""]","Cigarette advertising on television stopped on January 2, 1971.",,1.0,0.9364596498646833,0.0
when did the us take over wake island,"['Wake Island In the early 1980s the National Park Service conducted an evaluation of Wake Island to determine if the World War II (WWII) cultural resources remaining on Wake, Wilkes and Peale were of national historical significance. As a result of this survey, Wake Island was designated as a National Historic Landmark (NHL) on September 16, 1985, helping to preserve sites and artifacts on the atoll associated with WWII in the Pacific and the transpacific aviation era prior to the war. As a National Historic Landmark, Wake Island was also included in the National Register of Historic Places.[72]', 'Taussig of USSÂ\xa0Bennington landed on Wake and formally took possession of the island for the United States.', 'Wake Island On January 17, 1899, under orders from President William McKinley, Commander Edward D.', 'Wake Island With the annexation of Hawaii in 1898 and the seizure of Guam and the Philippines during the Spanish–American War that same year, the United States began to consider unclaimed and uninhabited Wake Island, located approximately halfway between Honolulu and Manila, as a good location for a telegraph cable station and coaling station for refueling warships of the rapidly expanding United States Navy and passing merchant and passenger steamships.', 'Greene of the 2nd Brigade, Philippine Expeditionary Force, of the Eighth Army Corps, stopped at Wake Island and raised the American flag while en route to the Philippines on the steamship liner SS China.[24]']",I cannot answer from the given context.,,0.0,-0.0,0.0
what event provoked congress to propose the eleventh amendment and the states to ratify it,"[""Eleventh Amendment to the United States Constitution The Eleventh Amendment (Amendment XI) to the United States Constitution, which was passed by Congress on March 4, 1794, and ratified by the states on February 7, 1795, deals with each state's sovereign immunity and was adopted to overrule the U.S."", 'Eleventh Amendment to the United States Constitution The Eleventh Amendment was the first Constitutional amendment adopted after the Bill of Rights.', 'Twenty-sixth Amendment to the United States Constitution During debate of the 1970 extension of the Voting Rights Act, Senator Ted Kennedy argued that the Equal Protection Clause of the Fourteenth Amendment allowed Congress to pass national legislation lowering the voting age.', 'Convention to propose amendments to the United States Constitution United States v.', 'Tenth Amendment to the United States Constitution In 1998, the Court again ruled that the Brady Handgun Violence Prevention Act violated the Tenth Amendment in Printz v.']",I cannot answer from the given context.,,0.0,0.0,0.0
what is the meaning of the dragon boat festival,"['Dragon Boat Festival The Duanwu Festival, also often known, especially in the West, as the Dragon Boat Festival, is a traditional holiday originating in China, occurring near the summer solstice.', ""The festival now occurs on the 5th day of the 5th month of the traditional Chinese calendar, which is the source of the festival's alternative name, the Double Fifth Festival.[1] The Chinese calendar is lunisolar, so the date of the festival varies from year to year on the Gregorian calendar."", 'Red Dragon (1595) Under the command of Thomas Best, Red Dragon took part in the tenth voyage of the East India Company, securing trading rights for the company at Surat in September 1612, and two months later engaging a Portuguese fleet and driving them from the Gulf of Cambay at the Battle of Swally. Hosiander (or Osiander) assisted Red Dragon in defeating the fleet, which consisted of some 30 vessels.[1][Note 2]', 'The game ends with a still image of the boat and the Dragon Knife in the beach while the credits roll.', 'The origin of this festival is the cult to Virgin Mary of Chiquinquirá, when various religious activities, processions, and music in the typical ""Gaita style"" to honor ""La Chinita"" (nickname of this Virgin).']",I cannot answer from the given context.,,0.0,0.0,0.0
when was theme from a summer place released,"['Theme from A Summer Place Percy Faith recorded the most popular version of the theme, an instrumental orchestral arrangement, at the Columbia 30th Street Studio in New York City.[2] It was released in September 1959 as a single on Columbia Records, credited to ""Percy Faith and his Orchestra,"" prior to the November 1959 release of the film A Summer Place.[1]', 'Theme from A Summer Place Following its initial film appearance, the theme has been recorded by many artists in both instrumental and vocal versions, and has also appeared in a number of subsequent films and television programs.', 'It was released as the third single from the compilation album Cruel Summer (2012), a collaboration between members of their record label GOOD Music.', 'The A-Team The original main theme by Mike Post and Pete Carpenter was released on the vinyl LP Mike Post\xa0– Television Theme Songs (Elektra Records E1-60028Y, 1982) and again on the Mike Post\xa0– Mike Post LP (RCA Records AFL1-5183, 1984), both long out-of-print; however, this was not the same version of the theme as heard on-screen.', '2008 Summer Olympics The theme song of the 2008 Olympic Games was ""You and Me,"" which was composed by Chen Qigang, the musical director of the opening ceremony.']",The theme from A Summer Place was released in September 1959.,,1.0,0.9402149468489981,0.0
who plays v on orange is the new black,"['List of recurring Orange Is the New Black characters Erica ""Yoga"" Jones (played by Constance Shulman) – An older Caucasian inmate who teaches yoga.', 'In 2013, McGorry began a recurring role on the Netflix dramedy series Orange Is the New Black as corrections officer John Bennett.[5][6]', 'List of Orange Is the New Black characters Sam Healy (played by Michael J. Harney) â€“ Healy is an experienced Corrections Officer and supervisor at Litchfield Penitentiary who has a Master of Social Work and acts as prison counselor to many of the inmates.', 'She is known for the roles of Captain Kathryn Janeway on Star Trek: Voyager and Galina ""Red"" Reznikov on Orange Is the New Black.', 'Kate Mulgrew Since 2013, Mulgrew stars as Galina ""Red"" Reznikov in the Netflix original series Orange Is the New Black, the role for which she was nominated for her first Primetime Emmy Award in 2014.']",I cannot answer from the given context.,,0.0,0.0,0.0
who sang in the movie i walk the line,"['Walk the Line (soundtrack) Walk the Line: Original Motion Picture Soundtrack is the soundtrack album to the 2005 biographical drama film of the same name released November 15, 2005 by Wind-Up Records.', 'Walk the Line Some critics found the film too constrained by Hollywood plot formulas of love and loss, ignoring the last twenty years of Cash\'s life and other more socio-politically controversial reasons he was considered ""the man in black"".[15]', 'A very good directory for line dance locations is VineRight.com It appears there is a new movie coming on this subject located at LineDance the Movie', 'She smiled as she sang, smiled rather sadly, and sang only a single line of a song.[2]', 'The 1980 movie Urban Cowboy, a romantic comedy starring John Travolta and Debra Winger, spawned a successful soundtrack album featuring pop-styled country songs, including ""Lookin\' for Love"" by Johnny Lee, ""The Devil Went Down to Georgia"" by the Charlie Daniels Band, ""Could I Have This Dance"" by Murray and ""Love the World Away"" by Rogers. The songs, and the movie itself, resulted in an early 1980s boom in pop-styled country music, and the era is sometimes known as the ""Urban Cowboy Movement"".']",I cannot answer from the given context.,,0.0,0.0,0.0
when does the new season of lost in space come out,"['Lost in Space The fate of the castaways is never resolved, as the series was unexpectedly canceled at the end of season 3.[citation needed]', 'Lost in Space (2018 TV series) Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course.', 'Lost in Space During its three-season run, many actors made guest appearances, including familiar actors and/or actors who went on to become well-known. Among those appearing in Lost in Space episodes: Kevin Hagen, Alan Hewitt, Sherry Jackson, Werner Klemperer, Warren Oates, Don Matheson, Kurt Russell, Wally Cox, Grant Sullivan, Norman Leavitt, Tommy Farrell, Mercedes McCambridge, Lyle Waggoner, Albert Salmi, Royal Dano, Strother Martin, Michael J.', 'Lost in Space (film) VHS, DVD, and later a Blu-ray have been released for the film.', 'Lost in Space (2018 TV series) The series was released on April 13, 2018, on Netflix.[1] On March 31, 2018, the pilot of the series was screened exclusively at Awesome Con in Washington, D.C., followed by a Q&A session with series executive directors and writers Matt Sazama & Burk Sharpless.[19]']",I cannot answer from the given context.,,0.0,-0.0,0.0
