user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_relevancy
nitty gritty dirt band fishin in the dark album,"['Fishin\' in the Dark ""Fishin\' in the Dark"" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band. It was released in June 1987 as the second single from their album Hold On.[1] It reached number-one on the U.S. and Canadian country charts. It was the band\'s third number-one single on the U.S. country music charts and the second in Canada. After it became available for download, it has sold over a million digital copies by 2015.[2] It was certified Platinum by the RIAA on September 12, 2014.[3]', ""The Dark Side of the Moon One of the more notable covers of The Dark Side of the Moon is Return to the Dark Side of the Moon: A Tribute to Pink Floyd. Released in 2006, the album is a progressive rock tribute featuring artists such as Adrian Belew, Tommy Shaw, Dweezil Zappa, and Rick Wakeman.[137] In 2000, The Squirrels released The Not So Bright Side of the Moon, which features a cover of the entire album.[138][139] The New York dub collective Easy Star All-Stars released Dub Side of the Moon in 2003[140] and Dubber Side of the Moon in 2010.[141] The group Voices on the Dark Side released the album Dark Side of the Moon a Cappella, a complete a cappella version of the album.[142] The bluegrass band Poor Man's Whiskey frequently play the album in bluegrass style, calling the suite Dark Side of the Moonshine.[143] A string quartet version of the album was released in 2004.[144] In 2009, The Flaming Lips released a track-by-track remake of the album in collaboration with Stardeath and White Dwarfs, and featuring Henry Rollins and Peaches as guest musicians.[145]"", 'Running Bear Mud recorded the song on their 1974 debut album Mud Rock which reached #8 in the UK charts.', 'Crawling (song) The bonus feature on the CD is the same footage that is a hidden easter egg on Frat Party at the Pankake Festival. However, the footage here is uncensored, while the footage on ""Frat Party"" is censored.', 'Ratt A couple months after the album release, the band released a home video titled Ratt: The Video. The video featured the music videos from the Ratt EP, Out of the Cellar and Invasion of Your Privacy. The video is currently out of print and is very rare and difficult to find. The video was the first commercially available video to certify Gold sales status in the USA and eventually reached Platinum.']","The album for ""Fishin' in the Dark"" by the Nitty Gritty Dirt Band is titled ""Hold On.""",,1.0,0.9059120067227566,0.0
when is the new tappan zee bridge going to be finished,"['Tappan Zee Bridge (2017–present) Tappan Zee Constructors began construction in 2013. The north span officially opened to westbound traffic on August 26, 2017; it also opened to eastbound traffic on October 6, 2017. Tappan Zee Constructors then began demolishing the old bridge. Eastbound traffic will be switched to the south span upon its completion. Both spans are expected to be operational by June 15, 2018.', ""Tappan Zee Bridge (2017–present) Originally, some motorists thought that bridge tolls could more than double (to $12-$15 for automobiles, eastbound only), rising to those of New York City's Hudson River crossings.[5] However, the state passed legislation freezing the toll on the bridge at $5 through 2020 in its 2016 legislative session.[16]"", 'Brooklyn Bridge The Brooklyn Bridge started construction in 1869 and was completed fourteen years later in 1883. It was originally called the New York and Brooklyn Bridge and the East River Bridge, but it was later dubbed the Brooklyn Bridge, a name coming from an earlier January 25, 1867 letter to the editor of the Brooklyn Daily Eagle[8] and formally so named by the city government in 1915. Over the years, the Brooklyn Bridge has undergone several reconfigurations; it formerly carried horse-drawn vehicles and elevated railway lines, but now carries vehicular, pedestrian, and bicycle traffic. Commercial vehicles are banned from the bridge.', ""Forth Road Bridge A programme of work is scheduled to take place in 2018 to replace expansion joints in both towers along with replacing the truss end links. Plans to replace these joints were postponed by the bridge management following the Scottish Government's commitment to the construction of the Queensferry Crossing; the original work proposals would have involved round-the-clock contraflows during the installation of ramps and mini-bridges to carry traffic over the work area, and heavy lorries being diverted.[35]"", 'San Francisco–Oakland Bay Bridge The completed replacement and the old bridge (2013)']","Both spans are expected to be operational by June 15, 2018.",,1.0,0.21173831299280563,0.0
when did they stop cigarette advertising on television,"[""Tobacco advertising After World War II, cigarette companies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act.[8] Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel.[9] The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.[10]"", 'Electronic cigarette A 2014 review said, ""the e-cigarette companies have been rapidly expanding using aggressive marketing messages similar to those used to promote cigarettes in the 1950s and 1960s.""[23] E-cigarettes and nicotine are regularly promoted as safe and beneficial in the media and on brand websites.[148] While advertising of tobacco products is banned in most countries, television and radio e-cigarette advertising in some countries may be indirectly encouraging traditional cigarette smoking.[23] There is no evidence that the cigarette brands are selling e-cigarettes as part of a plan to phase out traditional cigarettes, despite some claiming to want to cooperate in ""harm reduction"".[23] In the US, six large e-cigarette businesses spent $59.3 million on promoting e-cigarettes in 2013.[246] Easily circumvented age verification at company websites enables young people to access and be exposed to marketing for e-cigarettes.[45]', 'Tobacco advertising When marketing cigarettes to the developing world, tobacco companies use the Western lifestyle as a mechanism to lure this demographic into purchasing their products.[31] The tobacco industry targeted young rural men by creating advertisements with images of cowboys, hunters, and race car drivers.Teens in rural areas are less likely to be exposed to anti-tobacco messages in the media. Low income and predominantly minority neighborhoods often have more tobacco retailers and more tobacco advertising than other neighborhoods.[32]', 'History of advertising A leadership position in British advertising was held by Cope Bros & Co tobacco company, founded in Liverpool in 1848 by Thomas and George Cope. Smoking, of course, had been common for centuries, but the innovations consisted in brand names, heavy advertising, and market segmentation according to class. An innovative appeal was to health consciousness; the ads directed at the middle-class men promised that ""smoke not only checks disease but preserves the lungs."" A rugged heavy taste was pitched to working men, soldiers and sailors, while ""delicately fragrant"" was part of the appeal to the upper-class. The packaging was attractive, posters were omnipresent to show that smoking was a normal part of English life; lobbying was used to undercut the anti-tobacco lobby.[6]', ""Advertising to children In the USA, children's advertisings were limited between 1946 and 1983. Legislation then became more liberal throughout the rest of the 1980s.[60] With the Children's Television Act, which was introduced in 1990 and strengthened in August 1996, legislation once again became stricter.[61]""]","Cigarette advertising on television stopped on January 2, 1971.",,1.0,0.9364596498646833,0.0
when did the us take over wake island,"['Wake Island On January 17, 1899, under orders from President William McKinley, Commander Edward D. Taussig of USSÂ Bennington landed on Wake and formally took possession of the island for the United States. After a 21-gun salute, the flag was raised and a brass plate was affixed to the flagstaff with the following inscription:', 'Wake Island With the annexation of Hawaii in 1898 and the seizure of Guam and the Philippines during the Spanish–American War that same year, the United States began to consider unclaimed and uninhabited Wake Island, located approximately halfway between Honolulu and Manila, as a good location for a telegraph cable station and coaling station for refueling warships of the rapidly expanding United States Navy and passing merchant and passenger steamships. On July 4, 1898, United States Army Brigadier General Francis V. Greene of the 2nd Brigade, Philippine Expeditionary Force, of the Eighth Army Corps, stopped at Wake Island and raised the American flag while en route to the Philippines on the steamship liner SS China.[24]', 'Wake Island In the early 1980s the National Park Service conducted an evaluation of Wake Island to determine if the World War II (WWII) cultural resources remaining on Wake, Wilkes and Peale were of national historical significance. As a result of this survey, Wake Island was designated as a National Historic Landmark (NHL) on September 16, 1985, helping to preserve sites and artifacts on the atoll associated with WWII in the Pacific and the transpacific aviation era prior to the war. As a National Historic Landmark, Wake Island was also included in the National Register of Historic Places.[72]', 'United States territorial acquisitions With Hawaii came two remote coral atolls: the Palmyra Atoll which had been annexed by the U.S. in 1859, abandoned, then claimed in 1862 by the Kingdom of Hawaii, and the Stewart Islands, which had joined the Kingdom a few years before Palmyra. At Hawaiian statehood in 1959, Palmyra and arguably the Stewarts were excluded from the new state. Palmyra remained an incorporated U.S. territory, while the Stewarts were claimed and are now controlled by the Solomon Islands.[9]', ""Roanoke Island Thirty years later during the War of 1812 the British Royal Navy planned for an Invasion of North Carolina's Outer Banks, the invasion was aborted on Hattaras Island because there was nothing worthwhile for the British to occupy or pillage. The Invasion force then moved northward to attack Chesapeake Bay communities in Virginia.[27] Roanoke Island continued its isolation until authorities of the Confederate States of America hastily prepared Roanoke Island to defend Coastal North Carolina from the invading Unionist Navy and Army. After passing by Cape Hatteras Union forces attacked Roanoke Island in 1862.""]","The United States took over Wake Island on January 17, 1899.",,1.0,0.8785637343803926,0.49999999995
what event provoked congress to propose the eleventh amendment and the states to ratify it,"[""Eleventh Amendment to the United States Constitution The Eleventh Amendment (Amendment XI) to the United States Constitution, which was passed by Congress on March 4, 1794, and ratified by the states on February 7, 1795, deals with each state's sovereign immunity and was adopted to overrule the U.S. Supreme Court's decision in Chisholm v. Georgia, 2 U.S. 419 (1793).[1]"", 'Eleventh Amendment to the United States Constitution The Eleventh Amendment was the first Constitutional amendment adopted after the Bill of Rights. The amendment was adopted following the Supreme Court\'s ruling in Chisholm v. Georgia, 2 U.S. 419 (1793). In Chisholm, the Court ruled that federal courts had the authority to hear cases in law and equity brought by private citizens against states and that states did not enjoy sovereign immunity from suits made by citizens of other states in federal court. Thus, the amendment clarified Article III, Section 2 of the Constitution, which gives diversity jurisdiction to the judiciary to hear cases ""between a state and citizens of another state"".[2]', 'Tenth Amendment to the United States Constitution In 1998, the Court again ruled that the Brady Handgun Violence Prevention Act violated the Tenth Amendment in Printz v. United States.[19] The act required state and local law enforcement officials to conduct background checks on people attempting to purchase handguns. Justice Antonin Scalia, writing for the majority, applied New York v. United States to show that the law violated the Tenth Amendment. Since the act ""forced participation of the State\'s executive in the actual administration of a federal program"", it was unconstitutional.[19]', 'Talk:Thirteenth Amendment to the United States Constitution/Archive 1 This was deleted', 'Sixteenth Amendment to the United States Constitution Article I, Section 2, Clause 3:']","The event that provoked Congress to propose the Eleventh Amendment and the states to ratify it was the U.S. Supreme Court's decision in Chisholm v. Georgia, which ruled that federal courts had the authority to hear cases brought by private citizens against states, thereby indicating that states did not enjoy sovereign immunity from such suits.",,1.0,0.9110231235643397,0.49999999995
what is the meaning of the dragon boat festival,"[""Dragon Boat Festival The Duanwu Festival, also often known, especially in the West, as the Dragon Boat Festival, is a traditional holiday originating in China, occurring near the summer solstice. It is also known as Zhongxiao Festival (Chinese: 忠孝節; pinyin: Zhōngxiàojié), commemorating fealty and filial piety. The festival now occurs on the 5th day of the 5th month of the traditional Chinese calendar, which is the source of the festival's alternative name, the Double Fifth Festival.[1] The Chinese calendar is lunisolar, so the date of the festival varies from year to year on the Gregorian calendar. In 2016, it occurred on June 9; and in 2017, on May 30."", 'Nagaland Hornbill Festival[83] was launched by the Government of Nagaland in December 2000 to encourage intertribal interaction and to promote cultural heritage of the state. Organized by the State Tourism Department and Art & Culture Department. Hornbill Festival showcases a mÃ©lange of cultural displays under one roof. This festival takes place between 1 and 10 December every year.', ""Japanese festivals Information: This is the day when families pray for the happiness and prosperity of their girls and to help ensure that they grow up healthy and beautiful. The celebration takes place both inside the home and at the seashore. Both parts are meant to ward off evil spirits from girls. Young girls put on their best kimonos and visit their friends'"", 'Japanese festivals Japanese festivals are traditional festive occasions. Some festivals have their roots in Chinese festivals centuries ago, but have undergone great changes as they mixed with local customs.', 'Red Dragon (1595) Under the command of Thomas Best, Red Dragon took part in the tenth voyage of the East India Company, securing trading rights for the company at Surat in September 1612, and two months later engaging a Portuguese fleet and driving them from the Gulf of Cambay at the Battle of Swally. Hosiander (or Osiander) assisted Red Dragon in defeating the fleet, which consisted of some 30 vessels.[1][Note 2]']","The Dragon Boat Festival, also known as the Duanwu Festival, commemorates fealty and filial piety.",,1.0,0.8755677753788291,0.0
when was theme from a summer place released,"['Theme from A Summer Place Following its initial film appearance, the theme has been recorded by many artists in both instrumental and vocal versions, and has also appeared in a number of subsequent films and television programs. The best-known cover version of the theme is an instrumental version by Percy Faith and his orchestra that was a Number One hit for nine weeks on the Billboard Hot 100 chart in 1960.[1]', 'Theme from A Summer Place Percy Faith recorded the most popular version of the theme, an instrumental orchestral arrangement, at the Columbia 30th Street Studio in New York City.[2] It was released in September 1959 as a single on Columbia Records, credited to ""Percy Faith and his Orchestra,"" prior to the November 1959 release of the film A Summer Place.[1]', 'Summertime (DJ Jazzy Jeff & The Fresh Prince song) American CD Single', 'Summer of \'69 ""Summer of \'69"" remains popular to this day in many countries around the world.[12] Bryan Adams sang ""Summer of \'69"" during the 2011 Cricket World Cup opening ceremony in Bangladesh.[13]', ""Summer of '69 The music video, released in 1985, was directed by Irish director Steve Barron.[19] In 1985 the music video was nominated for an MTV Video Music Award in the category for Best Male Video. While the song did not win the award, it was one of the four nominated songs from Adams' fourth studio album Reckless.[20] The video includes appearances by Lysette Anthony and Garwin Sanford.""]",The theme from A Summer Place was released in September 1959.,,1.0,0.9402149409170578,0.0
who plays v on orange is the new black,"['Kate Mulgrew Since 2013, Mulgrew stars as Galina ""Red"" Reznikov in the Netflix original series Orange Is the New Black, the role for which she was nominated for her first Primetime Emmy Award in 2014. The popular character was re-signed for seasons two, three, four and five. On working in the series she was reunited with her Mercy co-star Taylor Schilling.', 'Lorraine Toussaint Toussaint received critical acclaim and an Independent Spirit Award nomination for her performance in the 2012 drama film Middle of Nowhere, written and directed by Ava DuVernay. In 2014, she played the role of Yvonne ""Vee"" Parker, the main antagonist in the second season of the Netflix comedy-drama series Orange Is the New Black, for which she received critical acclaim and a Critics\' Choice Television Award for Best Supporting Actress in a Drama Series. She later played the role of Amelia Boynton Robinson in the 2014 historical drama film Selma, directed by Ava DuVernay.', 'Matt McGorry On television, McGorry made his debut in 2011 on the ABC daytime soap opera One Life to Live. He later appeared in small guest-starring roles on Person of Interest, Gossip Girl, and Royal Pains. In 2013, McGorry began a recurring role on the Netflix dramedy series Orange Is the New Black as corrections officer John Bennett.[5][6]', 'List of Orange Is the New Black characters Sam Healy (played by Michael J. Harney) â€“ Healy is an experienced Corrections Officer and supervisor at Litchfield Penitentiary who has a Master of Social Work and acts as prison counselor to many of the inmates. He is initially presented as someone who, though rigid, genuinely wants to help the inmates under his care. Due to his preference for avoiding confrontation, Healy is contemptuously referred to as ""Samantha"" by Caputo, who feels that Healy is not tough enough on the inmates. Healy generally appears weary and often tells the inmates what they want to hear so they will leave him alone - he later admits to his own counselor that he is dissatisfied with his job, having gone into it with such idealistic notions of changing the world, but his experiences have left him cynical. Despite this, he still shows a sense of justice, such as forging evidence to show that Suzanne (who was going to take for the fall for an assault she did not commit) was in fact innocent. Healy has an outspoken personal vendetta against lesbians for unknown reasons, cautioning Piper at the beginning of the series not to be involved with lesbian activity. While early on he appears particularly sympathetic towards Piper and even acts biased in her favor, he increasingly dislikes her as he hears rumors of her alleged lesbian activities. His hatred of lesbians, first presented as a quirk, is later revealed to be a deep-seated pathological problem when he explosively sends', 'Kimiko Glenn Kimiko Elizabeth Glenn (born June 27, 1989) is an American actress and singer, known for portraying Brook Soso in the Netflix series Orange Is the New Black, Dawn Williams in the Broadway musical Waitress and Ezor in Voltron: Legendary Defender.']","Lorraine Toussaint plays Yvonne ""V"" Parker on Orange Is the New Black.",,1.0,0.6156812946220607,0.49999999995
who sang in the movie i walk the line,"['Walk the Line (soundtrack) Walk the Line: Original Motion Picture Soundtrack is the soundtrack album to the 2005 biographical drama film of the same name released November 15, 2005 by Wind-Up Records. There are nine songs performed by Joaquin Phoenix (as Johnny Cash), four songs by Reese Witherspoon (as June Carter Cash), one song by Waylon Payne (as Jerry Lee Lewis), one song by Johnathan Rice (as Roy Orbison), two songs by Tyler Hilton (as Elvis Presley), and one song by Shooter Jennings (as Waylon Jennings). At the Golden Globe Awards Joaquin Phoenix was awarded the Best Actor - Musical or Comedy and Reese Witherspoon was awarded the Best Actress - Musical or Comedy, as well as the film won the Best Picture - Musical or Comedy. Joaquin Phoenix and Reese Witherspoon were also nominated for the Academy Award for Best Actor and Best Actress, which Witherspoon won.', 'Walk the Line Some critics found the film too constrained by Hollywood plot formulas of love and loss, ignoring the last twenty years of Cash\'s life and other more socio-politically controversial reasons he was considered ""the man in black"".[15]', 'A Walk to Remember The soundtrack was re-released on October 21, 2003[12] as a special expanded edition and featured three songs that were not originally included on the first release of the soundtrack but were featured in the film. The song ""Only Hope"" by Moore had dialogue added that featuring Shane West as his character Landon Carter taken from the scene from where the song is featured in the film, as well as West\'s narration at the end of the film.', 'Across the Line (2015 film) The film was originally titled Undone.[4] The film was produced by Floyd Kane, Michael Donovan, Mark Gosine and Amos Adetuyi and was written by Kane, a native of East Preston, NS. Kane attended Cole Harbour High school when a race riot erupted at the school in 1989.', ""It's Been a Long, Long Time The song was also included in the 1950 film I'll Get By when it was sung and danced by June Haver, Gloria DeHaven and Dan Dailey. It was also used as a bonus track on the soundtrack of Captain America: The Winter Soldier.""]","Joaquin Phoenix (as Johnny Cash) and Reese Witherspoon (as June Carter Cash) sang in the movie ""Walk the Line.""",,1.0,0.8746312509415765,0.0
when does the new season of lost in space come out,"['Lost in Space (2018 TV series) The series was released on April 13, 2018, on Netflix.[1] On March 31, 2018, the pilot of the series was screened exclusively at Awesome Con in Washington, D.C., followed by a Q&A session with series executive directors and writers Matt Sazama & Burk Sharpless.[19]', 'Lost in Space (2018 TV series) Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course. It is written by Matt Sazama and Burk Sharpless and consists of ten episodes produced by Legendary Television, Synthesis Entertainment, Clickety-Clack Productions, and Applebox Entertainment, with Zack Estrin serving as showrunner. Netflix released the series on April 13, 2018.[1]', 'Lost in Space The fate of the castaways is never resolved, as the series was unexpectedly canceled at the end of season 3.[citation needed]', 'Lost (TV series) The second season was released under the title Lost: The Complete Second Season â€“ The Extended Experience as a wide screen seven-disc Region 1 DVD box set on September 5, 2006. The sets include several DVD extras, including behind the scenes footage, deleted scenes, and a ""Lost Connections"" chart, which shows how all of the characters on the island are inter-connected.[197] Again, the season was initially delivered in two sets for Region 2: the first twelve episodes were released as a widescreen four-disc DVD box set on July 17, 2006, while the remaining episodes of season 2 were released as a four-disc DVD box set on October 2, 2006.[198] The set was released in Region 4 on October 4, 2006.', 'Lost in Space During its three-season run, many actors made guest appearances, including familiar actors and/or actors who went on to become well-known. Among those appearing in Lost in Space episodes: Kevin Hagen, Alan Hewitt, Sherry Jackson, Werner Klemperer, Warren Oates, Don Matheson, Kurt Russell, Wally Cox, Grant Sullivan, Norman Leavitt, Tommy Farrell, Mercedes McCambridge, Lyle Waggoner, Albert Salmi, Royal Dano, Strother Martin, Michael J. Pollard, Byron Morrow, Arte Johnson, Fritz Feld, John Carradine, Al Lewis, Hans Conried, Dennis Patrick, Michael Rennie among many others. Future Hill Street Blues stars, Daniel J. Travanti (billed as ""Danny Travanty"") and Michael Conrad, made guest appearances on separate episodes. Jonathan Harris, although a permanent cast member, was listed in the opening credits as ""Special Guest Star"" of every episode of Lost in Space.']",I cannot answer from the given context.,,0.0,-0.0,0.3333333333
