query_id,question,contexts_shown,answer,context_relevance,answer_faithfulness,answer_relevance
853057,what is the voltage in israel,"[1] The electric current in the US is 110 volts, and Israel (along with most of Europe) uses 220 volts. Naturally, if you plug an American 110-volt appliance into an Israeli socket, it will probably burn out. Therefore, a transformer, or another type of converting device, is needed to convert the 220 volts to 110 volts.

[2] In Canada and the United States, wall outlet voltage is standardized at 110 to 120 volts (anywhere in that range is considered OK). In Europe - most of the rest of the worldâ¦, actually - it is standardized at 220 volts.

[3] Two factors considered in classifying a voltage as high voltage are the possibility of causing a spark in air, and the danger of electric shock by contact or proximity. The definitions may refer to the voltage between two conductors of a system, or between any conductor and ground. In electric power transmission engineering, high voltage is usually considered any voltage over approximately 35,000 volts.

[4] Not so far. The highest voltage yet attained for current electricity is 5 million volts: The highest electrical potential ever produced by man, over 5,000,000 volts, has been achieved in the laboratory of Dr. Gregory Breit and Dr. M.A. Tuve at the Department of Terrestrial Magnetism of the Carnegie Institution of Washington.

[5] This difference in charge between the two points is called voltage. It is measured in volts, which, technically, is the potential energy difference between two points that will impart one joule of energy per coulomb of charge that passes through it (donât panic if this makes no sense, all will be explained).",The voltage in Israel is 220 volts.,,,
1100119,har-co credit union routing number,"[1] HAR-CO Credit Union Website Home Page HAR-CO Credit Union Online Banking Website Credit Union Mobile Application Click here Routing Number: 255076892. Find us on Twitter and Facebook! Phone Number 410-838-9090. More Information. HAR-CO Credit Union of Bel Air, Maryland has been serving its members for more than 59 years, currently from 3 locations. Classified as a state-chartered natural person credit union. Checking services include no cost share drafts, share certificates with low minimum balance requirements, bill pay services and overdraft lines of credit.

[2] Ent Federal Credit Union Routing Number ent federal credit union routing aba number 307070005 routing number is a 9-digit number designed and assigned to Ent Federal Credit Union by The American Bankers Association (ABA) to identify the financial institution upon which a payment was drawn.

[3] Secure Area | Privacy | Â© 2014 Greater Nevada Credit Union All Rights Reserved. Greater Nevada Credit Union | P.O. Box 2128, Carson City, NV 89702 | Phone: (800)421-6674 | Fax: (775)884-7050

[4] 262277260 is a routing number of TUSCALOOSA CREDIT UNION. Check detailed information about 262277260. This bank routing number is required for electronic funds transfer. Bank routing number of TUSCALOOSA CREDIT UNION is the first nine digits of the number along the bottom left section of your check. The routing number for checking, savings and money market accounts identifies the financial institution where the account was opened and is located.

[5] LANSING, KS 66043. Credit Union Of Leavenworth County's routing number (the leftmost number on the bottom of a check) is 301179041. Sometimes, banks have multiple routing numbers for different branches or uses. Please make sure this is the correct routing number for your branch!",The routing number for HAR-CO Credit Union is 255076892.,,,
1093487,laws synonyms,"[1] Synonyms for law in Free Thesaurus. Antonyms for law. 117 synonyms for law: constitution, code, legislation, charter, jurisprudence, the police, constabulary, the police force, law enforcement agency.... What are synonyms for law? Law synonyms, law antonyms - FreeThesaurus.com

[2] Here are a few terms to get you started: adjective law (or procedural law): That area of the law that deals with procedural rules of evidence, pleadings and practice. administrative law: The area of law that concerns government agencies.

[3] List of Synonyms. 1 Action Come â advance, approach, arrive, near, reach. 2 Antonyms Begin â start, open, launch, initiate, commence, inaugurate, originate. 3 Descriptive Describe â portray, characterize, picture, narrate, relate, recount, represent, report, record. 4 Feelings Anger â enrage, infuriate, arouse, nettle, exasperate, inflame, madden.

[4] 3. Synonyms allow [ chiefly Southern & Midland ] , conceive, consider, deem, esteem, feel, figure, guess, hold, imagine, judge, reckon [ chiefly dialect ] , suppose, think. Related Words regard, view; accept, perceive; depend, rely, trust; assume, presume, presuppose, surmise; conclude, deduce, infer.elated Words muse (upon), reflect (on or upon), reminisce; analyze, explore, review; conclude, reason; second-guess, speculate (about); brood (about or over), dwell (on or upon), fixate (on or upon), fret (about or over), obsess (about or over); believe, conceive, opine; absorb, assimilate, digest, drink (in).

[5] 3 a court case for enforcing a right or claim filed an action in county court to recover his lawn mower from his neighbor, who claims he âgaveâ it to her Synonyms lawsuit, proceeding, suitRelated Words litigation; case, cause, complaint; counterclaim, countersuit, cross action, cross-claim.","constitution, code, legislation, charter, jurisprudence, the police, constabulary, the police force, law enforcement agency.",,,
191536,frappe definition,"[1] In the Boston area, a frappe (pronounced frap and spelled without the accent) is a thick milkshake with ice cream, derived from the French word frappÃ©. The original Frappuccino beverage was developed, named, trademarked and sold by George Howell's Eastern Massachusetts coffee shop chain, The Coffee Connection.

[2] The name Frasier is an English baby name. In English the meaning of the name Frasier is: French town. Scottish Meaning: The name Frasier is a Scottish baby name. In Scottish the meaning of the name Frasier is: of the forest men.SoulUrge Number: 6. Expression Number: 4. People with this name have a deep inner desire for a stable, loving family or community, and a need to work with others and to be appreciated.n Scottish the meaning of the name Frasier is: of the forest men. SoulUrge Number: 6. Expression Number: 4. People with this name have a deep inner desire for a stable, loving family or community, and a need to work with others and to be appreciated.

[3] Frac Flowback Water Treatment. Frac Flowback Water Treatment is a procedure that employs gel also referred to as a proppant. A proppant is a solid component, generally treated sand or manufactured ceramic materials, designed to preserve an induced hydraulic fracture spread out, throughout or following a fracturing treatment.

[4] Blend 3/4 cup milk, 3/4 cup cold water, the instant-coffee frappe mix, and sugar in a blender until combined, about 30 seconds. Divide among 3 tall glasses filled with ice. Pour 2 tablespoons milk into each glass. Serve immediately, topped with cotton candy.

[5] Old English freond friend, present participle of freogan to love, to favor, from Proto-Germanic *frijojanan to love (cf. Old Norse frÃ¦ndi, Old Frisian friund, Middle High German friunt, German Freund, Gothic frijonds friend, all alike from present participle forms).","A frappe is a thick milkshake with ice cream, derived from the French word frappé.",,,
1022735,what percentage of people in the world speak english,"[1] The estimated number of people in the world that speak English fluently is about 30 percent of the population. If the world's population is about 7,264,712,400 people. Thiâ¦s would mean that roughly 2,179,413,720 people in the world currently speak English fluently.

[2] We're here to remind you that not only is it important, it may very well be necessary. It's true that there are more and more people learning and speaking English these days. In fact, English is, according to some measures, the most widely spoken language in the world, the de facto lingua franca. Approximately 1.5 billion people around the world speak English, whether as their native tongue or as a foreign language, and this number is still growing.

[3] What percent of people speak English in Germany? Well over 90 percent because in Germany it is very widely looked down upon if you don't become fluent in English as a second language in Germany. In some parts of Germany, it' â¦ s illegal to not be fluent in English by the age of eight.

[4] 10 Bizarre Languages Still Spoken Around the World. Language is a funny thing. There are about 500 million people who speak English on this planet, and itâs not even the most common language in the world (Mandarin tops the charts at over a billion).

[5] Data displayed in the above graphs is based on 2012 census data. No comments yet, be the first to add one. In Raleigh 82% of the people speak English and 10% of people speak Spanish, also in Raleigh 46.6% of people are married.",About 30 percent of the world's population speaks English fluently.,,,
839878,what is the population of falls in wyoming county pa,"[1] Location of Falls Township in Pennsylvania. Location of Pennsylvania in the United States. Falls Township is a township in Wyoming County, Pennsylvania, United States. The population was 1,995 at the 2010 census.

[2] Hot Springs County, Wyoming. Hot Springs County is a county located in the U.S. state of Wyoming. As of the 2010 census, the population was 4,812, making it the second-least populous county in Wyoming. Its county seat is Thermopolis. The county is named for the hot springs located in Hot Springs State Park.

[3] People in group quarters in Hot Springs County, Wyoming in 2010: 1 50 people in nursing facilities/skilled-nursing facilities. 2 12 people in group homes intended for adults. 3 11 people in residential treatment centers for juveniles (non-correctional) 8 people in local jails and other municipal confinement facilities.

[4] Buffalo is a city in Johnson County, Wyoming, United States. The population was 4,585 at the 2010 census. It is the county seat of Johnson County.

[5] Three Springs, PA Profile: Facts, Map & Data. Three Springs, Pennsylvania - Basic Facts. The Borough of Three Springs had a population of 563 as of July 1, 2016. Three Springs ranks in the lower quartile for Population Density and Diversity Index when compared to the other cities, towns and Census Designated Places (CDPs) in Pennsylvania. See peer rankings below.",I cannot answer from the given context.,,,
53897,biological culture definition,"[1] (2) The biological culture such cells. Supplement. Biological cultures are a common laboratory means in order to study living organisms. There are different types of biological cultures, such as cell culture, tissue culture, and organ culture. Cell culture is a biological culture of cells of multicellular eukaryotes. Tissue culture is the cultivation of tissues from multicellular organisms. Organ culture is the cultivation of a part or all of an animal organ in a sterile controlled medium.

[2] A pure culture is one in which only one kind of microbial species is found whereas in mixed culture two or more microbial species formed colonies. pure culture is a culture consisting of only one strain. YOU CAN OBTAIN A PURE CULTURE BY PICKING OUT A SMALL PORTION OF THE MIXED CULTURE(which will form the pure culture) AND GROWING THEM ON A NEW CULTURE MEDIA.

[3] Six Levels of Culture. TMCâs unique concept of culture is at the core of the theory and practical application of the Cultural Orientations Approach. TMC defines culture as the complex pattern of ideas, emotions, and observable/symbolic manifestations that tend to be expected, reinforced, and rewarded by and within a particular group.

[4] Professor Geert Hofstede conducted one of the most comprehensive studies of how values in the workplace are influenced by culture. He defines culture as âthe collective programming of the mind distinguishing the members of one group or category of people from othersâ. The six dimensions of national culture are based on extensive research done by Professor Geert Hofstede, Gert Jan Hofstede, Michael Minkov and their research teams. If you want to make academic research within the field of culture, we advise you familiarize yourself with Hofstedeâs books.

[5] Biological determinism is a term used in some literature to describe the belief that human behavior is controlled solely by an individual's genes or some component of physiology.","Biological culture is a common laboratory means in order to study living organisms, and it includes different types such as cell culture, tissue culture, and organ culture. Cell culture is a biological culture of cells of multicellular eukaryotes, tissue culture is the cultivation of tissues from multicellular organisms, and organ culture is the cultivation of a part or all of an animal organ in a sterile controlled medium.",,,
998735,where is jones beach,"[1] Jones Beach State Park. Jones Beach State Park (colloquially, Jones Beach) is a state park of the U.S. state of New York. It is in southern Nassau County, in the hamlet of Wantagh, on Jones Beach Island, a barrier island linked to Long Island by the Meadowbrook State Parkway, Wantagh State Parkway, and Ocean Parkway.

[2] West Palm Beach is a city in and the county seat of Palm Beach County, Florida, United States. It is one of the three main cities in South Florida. The population was 99,919 at the 2010 census.

[3] With the whitest sand Iâve ever seen against a beautiful backdrop, according to Jemma York of Academy Travel (and the Guinness Book of World Records), Hyams Beach â located on the south coast of New South Wales â is the perfect relaxation spot.

[4] Beaches on this map. 1 Muir Beach Muir Beach (the beach) is part of Golden Gate National Recreation Area and located in the small town of Muir Beach, California. 2 Stinson Beach Stinson Beach (the beach) is a large public beach within Golden Gate National Recreation Area located in the town of Stinson Beach, California.

[5] Early life. Jones was born in Los Angeles, California. Her first name comes from the heroine of the novel The Good Earth by Pearl S. Buck. Her father left the family when his daughter was a child. Her mother, Scarlett Johnson, married Johnny Dark. In 1979, Scarlett suffered a stroke and aphasia.","Jones Beach is located in southern Nassau County, in the hamlet of Wantagh, on Jones Beach Island, a barrier island linked to Long Island by the Meadowbrook State Parkway, Wantagh State Parkway, and Ocean Parkway.",,,
1049774,cost of attendance eastern illinois university,"[1] Eastern Illinois University has roughly 8,000 students. Admission is selective. Tuition is approximately $8,550 per year for residents of Illinois and other bordering states, while it is $10,680 for non-residents. Additional fees amount to $2,762.32. The university estimates its average cost-of-attendance to be approximately $24,640 per academic year. Tuition is expected to increase in the 2016-2017 academic year.

[2] Tuition for Lewis University is $27,830 for the 2014/2015 academic year. This is 10% more expensive than the national average private non-profit four year college tuition of $25,229.The cost is $5,873 and 27% more expensive than the average Illinois tuition of $21,957 for 4 year colleges.Tuition ranks 61st in Illinois amongst 4 year colleges for affordability and is the 25th most expensive 4 year college in the state.Price does not vary by residence.uition for Lewis University is $27,830 for the 2014/2015 academic year. This is 10% more expensive than the national average private non-profit four year college tuition of $25,229.

[3] Total Costs. The annual tuition and living expense budget to go to Kendall College was $39,109 for the 2015/2016 academic year. The cost is the same for all students regardless of Illinois residence status as there is no in-state discount.

[4] Estimated Cost of Attendance For 2016-2017 (9 month Fall/Spring full-time) View the tuition & fees chart. * Fees based on double occupancy rate and 15 meals per week. Note: all fees are for academic year 2016-2017 and are subject to change. Notes on Costs: 1 Full Time - defined as 12 or more credit hours each term. Tuition - based on the location of all classes being on the main campus.

[5] Approximate cost to attend the University of Kentucky for the 2012â13 academic year is $23,100 for a Kentucky resident. This includes: $9,816 for tuition and fees. $10,200 for room and board. $800 for books and supplies. $2,284 for miscellaneous and travel expenses.","The average cost-of-attendance at Eastern Illinois University is approximately $24,640 per academic year.",,,
771170,what is mercury's orbital period,"[1] It takes Mercury about 59 Earth days to spin once on its axis (the rotation period), and about 88 Earth days to complete one orbit about the Sun. However, the length of the day on Mercury (sunrise to ...more.

[2] Mercury (Hg) is an element that occurs in the environment naturally as a result of human activity. It is a silvery color and the only metal that is liquid and room temperature.It is considered one of the heavy metal because of its atomic weight and can be found as number eighty on the periodic table of elements.ercury (Hg) is an element that occurs in the environment naturally as a result of human activity. It is a silvery color and the only metal that is liquid and room temperature.

[3] In 2005, the first planets around main-sequence stars that may be terrestrial were found: Gliese 876 d, has a mass 7 to 9 times that of Earth and an orbital period of just two Earth days. It orbits the red dwarf Gliese 876, 15 light years from Earth.

[4] The average distance is approximately 225 million km ( or 1.50403 AU). The Earth has a shorter orbital period than Mars, it passes in between Mars and the Sun approximately every 780 days, or 2 years and 50 days. At that time , Mars is seen in the opposite direction from the Sun, at opposition. The time interval between Marsâ opposition and its least distance to Earth can be as large as 8 and a half days. In 2001, for example, opposition took place on June 13 but least distance was on June 21.

[5] The synchronization of rotation and orbital period means that, for an observer on the surface of the Earth, an object in geosynchronous orbit returns to exactly the same position in the sky after a period of one sidereal day. special case of geosynchronous orbit is the geostationary orbit, which is a circular geosynchronous orbit at zero inclination (that is, directly above the equator).",Mercury's orbital period is about 88 Earth days.,,,
